종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
헥토파이낸셜 *,26550.0,+17.74%,3771824.0,94573.0,1170851.0,234340,https://kr.tradingview.com/symbols/KRX-234340/,"3,709억"
카카오페이,68400.0,+7.72%,1318516.0,87346.0,1493760.0,377300,https://kr.tradingview.com/symbols/KRX-377300/,"92,439억"
카페24 *,38650.0,+7.66%,123513.0,4673.0,245494.0,042000,https://kr.tradingview.com/symbols/KRX-042000/,"9,374억"
다날 *,9720.0,+7.17%,20477529.0,198855.0,9290356.0,064260,https://kr.tradingview.com/symbols/KRX-064260/,"7,307억"
NHN KCP *,24250.0,+6.59%,1560426.0,36861.0,2055576.0,060250,https://kr.tradingview.com/symbols/KRX-060250/,"9,739억"
인포뱅크 *,5960.0,+6.24%,703445.0,4414.0,54659.0,039290,https://kr.tradingview.com/symbols/KRX-039290/,518억
쿠콘 *,35150.0,+4.93%,83227.0,2886.0,86358.0,294570,https://kr.tradingview.com/symbols/KRX-294570/,"3,547억"
갤럭시아머니트리 *,11650.0,+3.83%,790780.0,9194.0,2165880.0,094480,https://kr.tradingview.com/symbols/KRX-094480/,"4,570억"
KG이니시스 *,11740.0,+2.98%,229517.0,2689.0,294634.0,035600,https://kr.tradingview.com/symbols/KRX-035600/,"3,235억"
KG모빌리언스 *,5430.0,+2.45%,234385.0,1270.0,384707.0,046440,https://kr.tradingview.com/symbols/KRX-046440/,"2,064억"
NHN,31600.0,+1.94%,23502.0,739.0,78820.0,181710,https://kr.tradingview.com/symbols/KRX-181710/,"1,350억"
한국정보통신 *,7920.0,+1.54%,15907.0,126.0,21421.0,025770,https://kr.tradingview.com/symbols/KRX-025770/,"2,966억"
인포바인 *,85100.0,-0.35%,25888.0,2112.0,71492.0,115310,https://kr.tradingview.com/symbols/KRX-115310/,"2,717억"
