종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
GST *,29025.0,+6.51%,217321.0,6210.0,439754.0,083450,https://kr.tradingview.com/symbols/KRX-083450/,"5,354억"
SK,317500.0,+6.01%,165419.0,51753.0,355062.0,034730,https://kr.tradingview.com/symbols/KRX-034730/,"23,196억"
한중엔시에스 *,48950.0,+5.27%,116061.0,5696.0,248354.0,107640,https://kr.tradingview.com/symbols/KRX-107640/,"4,437억"
유니셈 *,10840.0,+5.24%,528808.0,5667.0,788948.0,036200,https://kr.tradingview.com/symbols/KRX-036200/,"3,327억"
GS,67500.0,+4.81%,205660.0,13732.0,306041.0,078930,https://kr.tradingview.com/symbols/KRX-078930/,"62,811억"
한화에어로스페이스,1298000.0,+4.76%,130215.0,168136.0,312729.0,012450,https://kr.tradingview.com/symbols/KRX-012450/,"669,293억"
워트 *,7570.0,+3.56%,81859.0,614.0,142747.0,396470,https://kr.tradingview.com/symbols/KRX-396470/,"1,224억"
LG전자,99950.0,+3.47%,696114.0,69557.0,1073877.0,066570,https://kr.tradingview.com/symbols/KRX-066570/,"162,886억"
SK이노베이션,108200.0,+1.22%,248166.0,26711.0,589696.0,096770,https://kr.tradingview.com/symbols/KRX-096770/,"182,915억"
케이엔솔 *,12630.0,+1.20%,98797.0,1241.0,319086.0,053080,https://kr.tradingview.com/symbols/KRX-053080/,"1,642억"
3S *,1392.0,-1.69%,293884.0,410.0,848310.0,060310,https://kr.tradingview.com/symbols/KRX-060310/,739억
