종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
HD건설기계,128500.0,+19.76%,1152508.0,136880.0,429822.0,267270,https://kr.tradingview.com/symbols/KRX-267270/,"61,647억"
아이톡시 *,934.0,+10.01%,1152959.0,1071.0,778184.0,052770,https://kr.tradingview.com/symbols/KRX-052770/,136억
현대건설,106400.0,+7.69%,961329.0,101096.0,1111606.0,000720,https://kr.tradingview.com/symbols/KRX-000720/,"118,371억"
디와이파워,13880.0,+7.02%,121648.0,1642.0,72675.0,210540,https://kr.tradingview.com/symbols/KRX-210540/,"1,530억"
에스와이스틸텍 *,3765.0,+6.66%,3834512.0,14181.0,1345701.0,365330,https://kr.tradingview.com/symbols/KRX-365330/,"1,889억"
SG *,2825.0,+6.60%,3615976.0,10129.0,3389245.0,255220,https://kr.tradingview.com/symbols/KRX-255220/,"2,936억"
대모 *,8800.0,+6.54%,400590.0,3480.0,372170.0,317850,https://kr.tradingview.com/symbols/KRX-317850/,737억
대양전기공업 *,29400.0,+5.76%,45359.0,1330.0,81959.0,108380,https://kr.tradingview.com/symbols/KRX-108380/,"2,813억"
현대에버다임 *,8640.0,+5.62%,440430.0,3757.0,261398.0,041440,https://kr.tradingview.com/symbols/KRX-041440/,"1,550억"
포스코인터내셔널,64400.0,+5.40%,659532.0,41932.0,698679.0,047050,https://kr.tradingview.com/symbols/KRX-047050/,"113,294억"
대동,10030.0,+4.81%,151846.0,1502.0,161875.0,000490,https://kr.tradingview.com/symbols/KRX-000490/,"2,891억"
TYM,7200.0,+4.80%,360587.0,2562.0,437216.0,002900,https://kr.tradingview.com/symbols/KRX-002900/,"2,981억"
다산네트웍스 *,3650.0,+4.73%,394343.0,1416.0,460859.0,039560,https://kr.tradingview.com/symbols/KRX-039560/,"1,446억"
대동기어 *,18490.0,+4.35%,341987.0,6227.0,370392.0,008830,https://kr.tradingview.com/symbols/KRX-008830/,"1,662억"
누보 *,1127.0,+4.35%,1555012.0,1791.0,217756.0,332290,https://kr.tradingview.com/symbols/KRX-332290/,450억
서암기계공업 *,4985.0,+3.75%,107585.0,532.0,188511.0,100660,https://kr.tradingview.com/symbols/KRX-100660/,628억
에스와이 *,2845.0,+3.45%,321978.0,908.0,312143.0,109610,https://kr.tradingview.com/symbols/KRX-109610/,"1,391억"
혜인,5260.0,+3.34%,36875.0,191.0,88431.0,003010,https://kr.tradingview.com/symbols/KRX-003010/,667억
현대코퍼레이션,22850.0,+3.16%,25541.0,579.0,76105.0,011760,https://kr.tradingview.com/symbols/KRX-011760/,"3,023억"
다스코,3190.0,+2.90%,76641.0,241.0,103617.0,058730,https://kr.tradingview.com/symbols/KRX-058730/,603억
수산세보틱스,1715.0,+2.63%,147877.0,251.0,263653.0,017550,https://kr.tradingview.com/symbols/KRX-017550/,"1,070억"
도화엔지니어링,6210.0,+2.48%,44934.0,275.0,62909.0,002150,https://kr.tradingview.com/symbols/KRX-002150/,"2,094억"
동일고무벨트,7050.0,+2.47%,20195.0,141.0,72988.0,163560,https://kr.tradingview.com/symbols/KRX-163560/,980억
이노인스트루먼트 *,543.0,+2.45%,59290.0,32.0,165608.0,215790,https://kr.tradingview.com/symbols/KRX-215790/,219억
서연탑메탈 *,3820.0,+1.87%,48320.0,184.0,74394.0,019770,https://kr.tradingview.com/symbols/KRX-019770/,443억
폴라리스AI *,1803.0,+1.86%,319905.0,574.0,614220.0,039980,https://kr.tradingview.com/symbols/KRX-039980/,"1,312억"
대동금속 *,5520.0,+1.28%,3338.0,18.0,4686.0,020400,https://kr.tradingview.com/symbols/KRX-020400/,176억
희림 *,4235.0,+0.95%,20349.0,86.0,92836.0,037440,https://kr.tradingview.com/symbols/KRX-037440/,590억
에쓰씨엔지니어링,1842.0,+0.71%,451585.0,825.0,846406.0,023960,https://kr.tradingview.com/symbols/KRX-023960/,701억
퍼스텍,4635.0,+0.43%,1228500.0,5675.0,5722411.0,010820,https://kr.tradingview.com/symbols/KRX-010820/,"2,261억"
유신 *,25050.0,+0.20%,93272.0,2332.0,363400.0,054930,https://kr.tradingview.com/symbols/KRX-054930/,752억
오늘이엔엠 *,803.0,-0.50%,243124.0,192.0,320910.0,192410,https://kr.tradingview.com/symbols/KRX-192410/,375억
프리엠스 *,6640.0,-0.60%,14816.0,98.0,54692.0,053160,https://kr.tradingview.com/symbols/KRX-053160/,398억
스페코 *,2485.0,-0.60%,73084.0,181.0,164434.0,013810,https://kr.tradingview.com/symbols/KRX-013810/,364억
파라텍 *,1487.0,-3.82%,1064007.0,1637.0,3651416.0,033540,https://kr.tradingview.com/symbols/KRX-033540/,561억
