종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
LS ELECTRIC,605000.0,+15.02%,377944.0,223251.0,247333.0,010120,https://kr.tradingview.com/symbols/KRX-010120/,"181,800억"
파워로직스 *,6160.0,+10.39%,3463436.0,21431.0,527765.0,047310,https://kr.tradingview.com/symbols/KRX-047310/,"2,285억"
신성델타테크 *,78800.0,+7.21%,198203.0,15663.0,441723.0,065350,https://kr.tradingview.com/symbols/KRX-065350/,"21,630억"
비츠로테크 *,10760.0,+5.70%,485056.0,5180.0,615445.0,042370,https://kr.tradingview.com/symbols/KRX-042370/,"2,824억"
탑엔지니어링 *,3815.0,+4.23%,78017.0,292.0,102366.0,065130,https://kr.tradingview.com/symbols/KRX-065130/,607억
원익피앤이 *,4290.0,+4.00%,441060.0,1895.0,1146220.0,217820,https://kr.tradingview.com/symbols/KRX-217820/,"2,036억"
인지디스플레 *,1485.0,+3.92%,122640.0,180.0,90466.0,037330,https://kr.tradingview.com/symbols/KRX-037330/,652억
한양이엔지 *,30700.0,+3.54%,104622.0,3236.0,221407.0,045100,https://kr.tradingview.com/symbols/KRX-045100/,"5,535억"
아모텍 *,10080.0,+2.96%,133521.0,1361.0,476697.0,052710,https://kr.tradingview.com/symbols/KRX-052710/,"1,473억"
고려제강,21750.0,+2.11%,31340.0,673.0,38501.0,002240,https://kr.tradingview.com/symbols/KRX-002240/,"5,872억"
인지컨트롤스,7150.0,+1.27%,85145.0,606.0,213346.0,023800,https://kr.tradingview.com/symbols/KRX-023800/,"1,130억"
덕성,4700.0,+1.08%,55703.0,259.0,132693.0,004830,https://kr.tradingview.com/symbols/KRX-004830/,737억
서남 *,2915.0,+0.17%,318176.0,930.0,484901.0,294630,https://kr.tradingview.com/symbols/KRX-294630/,769억
아센디오,1731.0,-4.05%,111704.0,196.0,130428.0,012170,https://kr.tradingview.com/symbols/KRX-012170/,188억
모비스 *,4500.0,-5.76%,2475464.0,11407.0,3087543.0,250060,https://kr.tradingview.com/symbols/KRX-250060/,"1,448억"
