종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
이미지스 *,2380.0,+26.93%,14394504.0,32551.0,4951462.0,115610,https://kr.tradingview.com/symbols/KRX-115610/,566억
카페24 *,38600.0,+7.52%,123557.0,4675.0,245494.0,042000,https://kr.tradingview.com/symbols/KRX-042000/,"9,374억"
다날 *,9720.0,+7.17%,20517216.0,199241.0,9290356.0,064260,https://kr.tradingview.com/symbols/KRX-064260/,"7,307억"
브레인즈컴퍼니 *,4895.0,+6.53%,28737.0,136.0,38569.0,099390,https://kr.tradingview.com/symbols/KRX-099390/,402억
인포뱅크 *,5960.0,+6.24%,703463.0,4414.0,54659.0,039290,https://kr.tradingview.com/symbols/KRX-039290/,518억
다산네트웍스 *,3650.0,+4.73%,394274.0,1416.0,460859.0,039560,https://kr.tradingview.com/symbols/KRX-039560/,"1,446억"
갤럭시아머니트리 *,11660.0,+3.92%,791937.0,9208.0,2165880.0,094480,https://kr.tradingview.com/symbols/KRX-094480/,"4,570억"
위세아이텍 *,6120.0,+3.90%,31714.0,192.0,53046.0,065370,https://kr.tradingview.com/symbols/KRX-065370/,452억
핑거 *,12330.0,+3.79%,129643.0,1593.0,222297.0,163730,https://kr.tradingview.com/symbols/KRX-163730/,"1,160억"
키네마스터 *,2320.0,+3.34%,41294.0,95.0,77217.0,139670,https://kr.tradingview.com/symbols/KRX-139670/,328억
유라클 *,14490.0,+2.55%,47725.0,683.0,62347.0,088340,https://kr.tradingview.com/symbols/KRX-088340/,631억
폴라리스오피스 *,4675.0,+2.41%,272935.0,1269.0,511859.0,041020,https://kr.tradingview.com/symbols/KRX-041020/,"2,325억"
인지소프트 *,21700.0,+2.36%,7159.0,153.0,9855.0,100030,https://kr.tradingview.com/symbols/KRX-100030/,713억
엠로 *,40400.0,+2.15%,41649.0,1695.0,89360.0,058970,https://kr.tradingview.com/symbols/KRX-058970/,"4,994억"
네이블 *,7240.0,+1.97%,168189.0,1353.0,4327.0,153460,https://kr.tradingview.com/symbols/KRX-153460/,473억
유비벨록스 *,5430.0,+1.31%,42226.0,228.0,83750.0,089850,https://kr.tradingview.com/symbols/KRX-089850/,800억
유엔젤,4560.0,+1.11%,78865.0,357.0,58751.0,072130,https://kr.tradingview.com/symbols/KRX-072130/,588억
지어소프트 *,7680.0,+1.05%,59307.0,453.0,91444.0,051160,https://kr.tradingview.com/symbols/KRX-051160/,"1,188억"
MDS테크 *,1433.0,+0.92%,1865315.0,2677.0,4342608.0,086960,https://kr.tradingview.com/symbols/KRX-086960/,"1,457억"
셀바스AI *,12790.0,+0.87%,241057.0,3095.0,380848.0,108860,https://kr.tradingview.com/symbols/KRX-108860/,"3,442억"
포니링크 *,789.0,+0.77%,150076.0,118.0,371422.0,064800,https://kr.tradingview.com/symbols/KRX-064800/,"1,008억"
이루온 *,1429.0,+0.28%,124671.0,177.0,172407.0,065440,https://kr.tradingview.com/symbols/KRX-065440/,390억
텔코웨어,15390.0,-0.06%,6483.0,99.0,10574.0,078000,https://kr.tradingview.com/symbols/KRX-078000/,"1,422억"
