종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
LK삼양 *,1857.0,+29.95%,11929402.0,20626.0,1816204.0,225190,https://kr.tradingview.com/symbols/KRX-225190/,"1,309억"
나노팀 *,12200.0,+20.55%,6582603.0,80894.0,973094.0,417010,https://kr.tradingview.com/symbols/KRX-417010/,"2,465억"
이노메트리 *,8020.0,+8.09%,182376.0,1436.0,81376.0,302430,https://kr.tradingview.com/symbols/KRX-302430/,789억
제일일렉트릭 *,10300.0,+6.19%,415677.0,4225.0,453742.0,199820,https://kr.tradingview.com/symbols/KRX-199820/,"2,282억"
롯데이노베이트,23100.0,+5.72%,218201.0,5126.0,78050.0,286940,https://kr.tradingview.com/symbols/KRX-286940/,"3,510억"
한중엔시에스 *,49150.0,+5.70%,116087.0,5697.0,248354.0,107640,https://kr.tradingview.com/symbols/KRX-107640/,"4,437억"
아모그린텍 *,7390.0,+4.67%,133951.0,978.0,204414.0,125210,https://kr.tradingview.com/symbols/KRX-125210/,"1,219억"
금호에이치티,538.0,+4.47%,10097900.0,5754.0,1595850.0,214330,https://kr.tradingview.com/symbols/KRX-214330/,"1,173억"
토비스 *,15520.0,+3.12%,58583.0,893.0,66642.0,051360,https://kr.tradingview.com/symbols/KRX-051360/,"2,335억"
그리드위즈 *,15810.0,+2.93%,21645.0,339.0,63665.0,453450,https://kr.tradingview.com/symbols/KRX-453450/,"1,256억"
켐트로스 *,6380.0,+2.90%,423953.0,2680.0,880920.0,220260,https://kr.tradingview.com/symbols/KRX-220260/,"1,694억"
서연이화,15190.0,+1.81%,153587.0,2320.0,310156.0,200880,https://kr.tradingview.com/symbols/KRX-200880/,"4,100억"
엣지파운드리 *,1524.0,+1.60%,248343.0,379.0,689693.0,105550,https://kr.tradingview.com/symbols/KRX-105550/,"1,193억"
신진에스엠 *,1918.0,+1.43%,20640.0,39.0,48229.0,138070,https://kr.tradingview.com/symbols/KRX-138070/,336억
이닉스 *,10800.0,+1.31%,37578.0,402.0,63757.0,452400,https://kr.tradingview.com/symbols/KRX-452400/,980억
민테크 *,2550.0,+1.19%,77893.0,197.0,146032.0,452200,https://kr.tradingview.com/symbols/KRX-452200/,605억
아이텍 *,8220.0,+0.86%,229200.0,1902.0,832641.0,119830,https://kr.tradingview.com/symbols/KRX-119830/,"1,945억"
와이엠텍 *,8050.0,+0.75%,23330.0,187.0,45871.0,273640,https://kr.tradingview.com/symbols/KRX-273640/,883억
한빛레이저 *,4795.0,+0.52%,180625.0,863.0,302778.0,452190,https://kr.tradingview.com/symbols/KRX-452190/,"1,120억"
엠젠솔루션 *,1032.0,+0.29%,143076.0,148.0,356421.0,032790,https://kr.tradingview.com/symbols/KRX-032790/,530억
신흥에스이씨 *,6150.0,+0.16%,354747.0,2191.0,630164.0,243840,https://kr.tradingview.com/symbols/KRX-243840/,"2,371억"
엔바이오니아 *,10000.0,0.00%,13173.0,131.0,30416.0,317870,https://kr.tradingview.com/symbols/KRX-317870/,855억
케이엔에스 *,14560.0,-0.14%,279594.0,4132.0,394240.0,432470,https://kr.tradingview.com/symbols/KRX-432470/,"1,277억"
디와이덕양,2135.0,-0.23%,186530.0,395.0,206820.0,024900,https://kr.tradingview.com/symbols/KRX-024900/,695억
태성 *,72700.0,-0.41%,445256.0,32365.0,631896.0,323280,https://kr.tradingview.com/symbols/KRX-323280/,"22,232억"
삼기에너지솔루션즈 *,1739.0,-0.46%,327503.0,568.0,329443.0,419050,https://kr.tradingview.com/symbols/KRX-419050/,995억
한컴라이프케어,2855.0,-0.70%,244412.0,702.0,442871.0,372910,https://kr.tradingview.com/symbols/KRX-372910/,790억
제이케이시냅스 *,3665.0,-3.17%,145163.0,530.0,113443.0,060230,https://kr.tradingview.com/symbols/KRX-060230/,296억
캐리 *,1365.0,-4.34%,75811.0,105.0,89078.0,313760,https://kr.tradingview.com/symbols/KRX-313760/,153억
