종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
세아베스틸지주,80500.0,+13.54%,611603.0,48289.0,301988.0,001430,https://kr.tradingview.com/symbols/KRX-001430/,"28,582억"
포스코스틸리온,42900.0,+7.79%,110287.0,4714.0,37735.0,058430,https://kr.tradingview.com/symbols/KRX-058430/,"2,574억"
POSCO홀딩스,351500.0,+2.93%,281930.0,98821.0,584426.0,005490,https://kr.tradingview.com/symbols/KRX-005490/,"284,884억"
대한제강,10750.0,+2.48%,126538.0,1372.0,118943.0,084010,https://kr.tradingview.com/symbols/KRX-084010/,"3,695억"
현대제철,30250.0,+2.37%,392157.0,11845.0,1458838.0,004020,https://kr.tradingview.com/symbols/KRX-004020/,"4,367억"
동국제강,8350.0,+1.95%,169816.0,1407.0,478861.0,460860,https://kr.tradingview.com/symbols/KRX-460860/,"4,142억"
고려제강,21700.0,+1.88%,31345.0,673.0,38501.0,002240,https://kr.tradingview.com/symbols/KRX-002240/,"5,872억"
KG스틸,5480.0,+1.67%,177892.0,969.0,333049.0,016380,https://kr.tradingview.com/symbols/KRX-016380/,"5,480억"
세아제강,117400.0,+0.77%,3188.0,373.0,11533.0,306200,https://kr.tradingview.com/symbols/KRX-306200/,"3,330억"
동국씨엠,5170.0,+0.58%,35056.0,181.0,98672.0,460850,https://kr.tradingview.com/symbols/KRX-460850/,"1,546억"
한국철강,9230.0,-0.43%,15429.0,143.0,17927.0,104700,https://kr.tradingview.com/symbols/KRX-104700/,"3,364억"
