종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
인콘 *,494.0,+30.00%,22030998.0,10251.0,24619321.0,083640,https://kr.tradingview.com/symbols/KRX-083640/,384억
포커스에이아이 *,3195.0,+11.52%,636290.0,1916.0,1000860.0,331380,https://kr.tradingview.com/symbols/KRX-331380/,936억
한화비전,63300.0,+11.25%,2014208.0,126977.0,1241696.0,489790,https://kr.tradingview.com/symbols/KRX-489790/,"31,959억"
에스원,83700.0,+4.10%,39249.0,3229.0,100288.0,012750,https://kr.tradingview.com/symbols/KRX-012750/,"31,767억"
현대에이치티 *,8320.0,+3.23%,48435.0,400.0,85762.0,039010,https://kr.tradingview.com/symbols/KRX-039010/,718억
슈프리마 *,43550.0,+2.83%,50354.0,2177.0,82148.0,236200,https://kr.tradingview.com/symbols/KRX-236200/,"3,161억"
피제이전자 *,8140.0,+2.26%,107209.0,869.0,194738.0,006140,https://kr.tradingview.com/symbols/KRX-006140/,"1,221억"
슈프리마에이치큐 *,6890.0,+1.62%,60426.0,416.0,68519.0,094840,https://kr.tradingview.com/symbols/KRX-094840/,722억
픽셀플러스 *,7300.0,+0.69%,16883.0,123.0,43520.0,087600,https://kr.tradingview.com/symbols/KRX-087600/,599억
지슨 *,1589.0,+0.57%,39060.0,63.0,109174.0,446840,https://kr.tradingview.com/symbols/KRX-446840/,871억
시선AI *,3590.0,+0.42%,236055.0,844.0,485837.0,340810,https://kr.tradingview.com/symbols/KRX-340810/,465억
이랜시스 *,8550.0,+0.23%,1327322.0,11385.0,2196987.0,264850,https://kr.tradingview.com/symbols/KRX-264850/,"2,586억"
아이디스 *,17780.0,+0.11%,35035.0,622.0,22680.0,143160,https://kr.tradingview.com/symbols/KRX-143160/,"1,905억"
이노뎁 *,4950.0,-0.40%,22760.0,113.0,46149.0,303530,https://kr.tradingview.com/symbols/KRX-303530/,363억
앤씨앤 *,603.0,-0.66%,238606.0,147.0,243846.0,092600,https://kr.tradingview.com/symbols/KRX-092600/,152억
트루엔 *,7720.0,-1.28%,50560.0,390.0,57902.0,417790,https://kr.tradingview.com/symbols/KRX-417790/,808억
벨로크 *,1109.0,-1.33%,72873.0,82.0,80930.0,424760,https://kr.tradingview.com/symbols/KRX-424760/,219억
카티스 *,751.0,-1.44%,586938.0,442.0,689945.0,140430,https://kr.tradingview.com/symbols/KRX-140430/,401억
싸이버원 *,3875.0,-2.02%,97663.0,379.0,117351.0,356890,https://kr.tradingview.com/symbols/KRX-356890/,463억
