종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
아모센스 *,16150.0,+13.25%,452050.0,7147.0,534878.0,357580,https://kr.tradingview.com/symbols/KRX-357580/,"1,822억"
엘티씨 *,27500.0,+8.91%,215456.0,5691.0,290370.0,170920,https://kr.tradingview.com/symbols/KRX-170920/,"2,905억"
범한퓨얼셀 *,31900.0,+7.77%,73243.0,2298.0,94010.0,382900,https://kr.tradingview.com/symbols/KRX-382900/,"2,795억"
두산퓨얼셀,33800.0,+5.63%,278731.0,9265.0,408937.0,336260,https://kr.tradingview.com/symbols/KRX-336260/,"22,137억"
비에이치아이 *,73300.0,+5.32%,294172.0,21300.0,710381.0,083650,https://kr.tradingview.com/symbols/KRX-083650/,"22,682억"
한선엔지니어링 *,10830.0,+4.84%,181838.0,1974.0,139175.0,452280,https://kr.tradingview.com/symbols/KRX-452280/,"1,871억"
LS머트리얼즈 *,16360.0,+2.57%,875611.0,14310.0,2344871.0,417200,https://kr.tradingview.com/symbols/KRX-417200/,"11,068억"
금양그린파워 *,10400.0,+2.16%,16687.0,172.0,59875.0,282720,https://kr.tradingview.com/symbols/KRX-282720/,"1,260억"
SK이터닉스,19240.0,+1.96%,124003.0,2368.0,459298.0,475150,https://kr.tradingview.com/symbols/KRX-475150/,"6,494억"
미코 *,17670.0,+0.63%,659142.0,11582.0,1081048.0,059090,https://kr.tradingview.com/symbols/KRX-059090/,"5,905억"
SK디앤디,12610.0,+0.08%,14945.0,188.0,40844.0,210980,https://kr.tradingview.com/symbols/KRX-210980/,"2,348억"
