종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
넥스턴앤롤코리아 *,3105.0,+20.82%,2507664.0,7503.0,113014.0,089140,https://kr.tradingview.com/symbols/KRX-089140/,463억
와이지-원 *,8570.0,+7.13%,1198969.0,10252.0,1738211.0,019210,https://kr.tradingview.com/symbols/KRX-019210/,"2,877억"
SNT다이내믹스,51500.0,+4.36%,59301.0,3035.0,120694.0,003570,https://kr.tradingview.com/symbols/KRX-003570/,"17,125억"
화천기계,5920.0,+3.86%,670245.0,3877.0,1771144.0,010660,https://kr.tradingview.com/symbols/KRX-010660/,"1,302억"
서암기계공업 *,4985.0,+3.75%,107537.0,532.0,188511.0,100660,https://kr.tradingview.com/symbols/KRX-100660/,628억
화천기공,39900.0,+3.37%,20204.0,803.0,16301.0,000850,https://kr.tradingview.com/symbols/KRX-000850/,878억
한국정밀기계 *,3105.0,+3.16%,63041.0,193.0,102876.0,101680,https://kr.tradingview.com/symbols/KRX-101680/,261억
대성하이텍 *,4975.0,+2.90%,135593.0,669.0,280580.0,129920,https://kr.tradingview.com/symbols/KRX-129920/,682억
스맥 *,6320.0,+2.60%,632880.0,3978.0,1460783.0,099440,https://kr.tradingview.com/symbols/KRX-099440/,"4,313억"
유니온머티리얼,1504.0,+1.83%,422103.0,634.0,474363.0,047400,https://kr.tradingview.com/symbols/KRX-047400/,632억
한국주강,1807.0,+1.06%,16424.0,29.0,43925.0,025890,https://kr.tradingview.com/symbols/KRX-025890/,204억
SIMPAC,4835.0,-0.10%,48997.0,237.0,203119.0,009160,https://kr.tradingview.com/symbols/KRX-009160/,"3,161억"
에이비프로바이오 *,180.0,-1.64%,1434659.0,261.0,2455342.0,195990,https://kr.tradingview.com/symbols/KRX-195990/,512억
