종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
한전산업,16100.0,+20.51%,10482977.0,173486.0,278637.0,130660,https://kr.tradingview.com/symbols/KRX-130660/,"5,249억",2026.02.03,-1416,23666
금양그린파워 *,12080.0,+16.15%,681543.0,8016.0,27884.0,282720,https://kr.tradingview.com/symbols/KRX-282720/,"1,464억",2026.02.03,-1403,6370
한전기술,148200.0,+12.19%,2216219.0,328414.0,247989.0,052690,https://kr.tradingview.com/symbols/KRX-052690/,"56,642억",2026.02.03,30152,29517
대우건설,5590.0,+9.18%,15304062.0,85263.0,4573775.0,047040,https://kr.tradingview.com/symbols/KRX-047040/,"23,233억",2026.02.03,-336399,334469
대한전선,33500.0,+8.77%,13240835.0,434469.0,15605824.0,001440,https://kr.tradingview.com/symbols/KRX-001440/,"62,460억",2026.02.03,663642,2708080
비에이치아이 *,78700.0,+7.37%,758960.0,58800.0,391846.0,083650,https://kr.tradingview.com/symbols/KRX-083650/,"24,353억",2026.02.03,87996,-22169
지투파워 *,9500.0,+6.26%,6363863.0,61319.0,308813.0,388050,https://kr.tradingview.com/symbols/KRX-388050/,"1,777억",2026.02.03,-164,124360
두산에너빌리티,96500.0,+5.81%,12423376.0,1184462.0,4647177.0,034020,https://kr.tradingview.com/symbols/KRX-034020/,"618,142억",2026.02.03,188154,1030295
태웅 *,32150.0,+5.76%,368236.0,11748.0,167036.0,044490,https://kr.tradingview.com/symbols/KRX-044490/,"6,432억",2026.02.03,-7698,13815
우진,25950.0,+5.49%,1024522.0,26900.0,652876.0,105840,https://kr.tradingview.com/symbols/KRX-105840/,"5,241억",2026.02.03,-181994,27267
한국전력,62700.0,+5.38%,6239564.0,392921.0,2599478.0,015760,https://kr.tradingview.com/symbols/KRX-015760/,"402,511억",2026.02.03,227285,-453603
태광 *,27850.0,+5.09%,253934.0,6965.0,239113.0,023160,https://kr.tradingview.com/symbols/KRX-023160/,"7,380억",2026.02.03,-107958,28743
보성파워텍 *,8140.0,+4.90%,6279646.0,51106.0,1996735.0,006910,https://kr.tradingview.com/symbols/KRX-006910/,"3,999억",2026.02.03,-1,133955
LS ELECTRIC,639000.0,+4.41%,304500.0,193667.0,444911.0,010120,https://kr.tradingview.com/symbols/KRX-010120/,"191,700억",2026.02.03,41347,129717
광명전기,1468.0,+4.26%,928131.0,1339.0,315215.0,017040,https://kr.tradingview.com/symbols/KRX-017040/,636억,2026.02.03,-82,91157
현대건설,113000.0,+4.05%,2061889.0,231006.0,1502300.0,000720,https://kr.tradingview.com/symbols/KRX-000720/,"125,832억",2026.02.03,87600,310731
티플랙스 *,3165.0,+3.94%,504766.0,1588.0,91413.0,081150,https://kr.tradingview.com/symbols/KRX-081150/,768억,2026.02.03,-6774,-1660
한신기계,4240.0,+3.67%,2776412.0,11830.0,602172.0,011700,https://kr.tradingview.com/symbols/KRX-011700/,"1,376억",2026.02.03,-63,142538
우진엔텍 *,27000.0,+3.65%,343686.0,9302.0,149905.0,457550,https://kr.tradingview.com/symbols/KRX-457550/,"2,516억",2026.02.03,-733,24231
강원에너지 *,16960.0,+3.60%,546380.0,9367.0,326769.0,114190,https://kr.tradingview.com/symbols/KRX-114190/,"4,430억",2026.02.03,-1,-14656
한전KPS,58000.0,+3.57%,528592.0,30647.0,199038.0,051600,https://kr.tradingview.com/symbols/KRX-051600/,"26,100억",2026.02.03,-31461,39975
에너토크 *,8720.0,+3.56%,418061.0,3660.0,79561.0,019990,https://kr.tradingview.com/symbols/KRX-019990/,851억,2026.02.03,-1,33769
대창솔루션 *,2125.0,+3.41%,370291.0,778.0,525460.0,096350,https://kr.tradingview.com/symbols/KRX-096350/,783억,2026.02.03,0,1199
우리기술 *,9480.0,+3.38%,27687687.0,265195.0,12525717.0,032820,https://kr.tradingview.com/symbols/KRX-032820/,"15,809억",2026.02.03,551663,1079374
제일테크노스 *,5980.0,+3.28%,48834.0,288.0,29659.0,038010,https://kr.tradingview.com/symbols/KRX-038010/,538억,2026.02.03,701,346
SG&G *,1889.0,+3.17%,211657.0,393.0,107737.0,040610,https://kr.tradingview.com/symbols/KRX-040610/,644억,2026.02.03,-7197,1408
한텍 *,38050.0,+2.98%,145159.0,5494.0,176291.0,098070,https://kr.tradingview.com/symbols/KRX-098070/,"4,232억",2026.02.03,2459,35037
GS건설,19740.0,+2.81%,1325980.0,25913.0,1209163.0,006360,https://kr.tradingview.com/symbols/KRX-006360/,"16,894억",2026.02.03,51921,460444
수산인더스트리,25500.0,+2.41%,68283.0,1731.0,58540.0,126720,https://kr.tradingview.com/symbols/KRX-126720/,"3,643억",2026.02.03,515,-8457
성광벤드 *,32500.0,+2.36%,193255.0,6269.0,179503.0,014620,https://kr.tradingview.com/symbols/KRX-014620/,"8,631억",2026.02.03,4313,2063
HRS *,5200.0,+2.16%,155456.0,798.0,69292.0,036640,https://kr.tradingview.com/symbols/KRX-036640/,850억,2026.02.03,-2907,9265
금화피에스시 *,33200.0,+2.00%,17337.0,575.0,8659.0,036190,https://kr.tradingview.com/symbols/KRX-036190/,"1,992억",2026.02.03,952,1506
서전기전 *,4310.0,+1.89%,243061.0,1051.0,125561.0,189860,https://kr.tradingview.com/symbols/KRX-189860/,418억,2026.02.03,0,17835
일진파워 *,16030.0,+1.84%,827930.0,13271.0,394810.0,094820,https://kr.tradingview.com/symbols/KRX-094820/,"2,417억",2026.02.03,-59,66663
원일티엔아이 *,19640.0,+1.76%,52191.0,1025.0,50751.0,136150,https://kr.tradingview.com/symbols/KRX-136150/,"1,646억",2026.02.03,3200,19688
한미글로벌,20150.0,+1.66%,290472.0,5795.0,352748.0,053690,https://kr.tradingview.com/symbols/KRX-053690/,"2,208억",2026.02.03,23170,110063
하이록코리아 *,33600.0,+1.66%,41538.0,1388.0,33371.0,013030,https://kr.tradingview.com/symbols/KRX-013030/,"3,954억",2026.02.03,758,-4022
DL이앤씨,46500.0,+1.53%,341858.0,15793.0,424475.0,375500,https://kr.tradingview.com/symbols/KRX-375500/,"17,993억",2026.02.03,15908,80550
SNT에너지,45650.0,+1.44%,262214.0,11937.0,371903.0,100840,https://kr.tradingview.com/symbols/KRX-100840/,"9,441억",2026.02.03,-20062,22566
디티앤씨 *,2430.0,+1.04%,32527.0,78.0,36960.0,187220,https://kr.tradingview.com/symbols/KRX-187220/,284억,2026.02.03,0,746
효성중공업,2384000.0,+0.72%,57591.0,136382.0,98873.0,298040,https://kr.tradingview.com/symbols/KRX-298040/,"222,297억",2026.02.03,-3934,18136
삼영엠텍 *,14580.0,+0.55%,301067.0,4377.0,240711.0,054540,https://kr.tradingview.com/symbols/KRX-054540/,"1,895억",2026.02.03,4,88678
오르비텍 *,4550.0,+0.44%,919228.0,4233.0,723250.0,046120,https://kr.tradingview.com/symbols/KRX-046120/,"1,261억",2026.02.03,3232,156314
비엠티 *,12580.0,+0.24%,35872.0,453.0,83622.0,086670,https://kr.tradingview.com/symbols/KRX-086670/,"1,249억",2026.02.03,-17157,49629
삼미금속 *,17920.0,+0.11%,5969721.0,113499.0,16698320.0,012210,https://kr.tradingview.com/symbols/KRX-012210/,"3,977억",2026.02.03,-5000,32860
디케이락 *,10360.0,+0.10%,190785.0,1979.0,217326.0,105740,https://kr.tradingview.com/symbols/KRX-105740/,"1,053억",2026.02.03,7702,104454
대창스틸 *,2070.0,0.00%,21156.0,44.0,18546.0,140520,https://kr.tradingview.com/symbols/KRX-140520/,437억,2026.02.03,769,184
에스앤더블류 *,3985.0,-0.37%,27952.0,111.0,24137.0,103230,https://kr.tradingview.com/symbols/KRX-103230/,287억,2026.02.03,0,-4948
