종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
코이즈 *,5590.0,+30.00%,601939.0,3220.0,552443.0,121850,https://kr.tradingview.com/symbols/KRX-121850/,171억
에스켐 *,5730.0,+15.18%,184594.0,1029.0,17845.0,475660,https://kr.tradingview.com/symbols/KRX-475660/,454억
롯데에너지머티리얼즈,47750.0,+13.83%,2184089.0,102393.0,682519.0,020150,https://kr.tradingview.com/symbols/KRX-020150/,"25,004억"
PI첨단소재,19480.0,+13.59%,1616532.0,30764.0,1015955.0,178920,https://kr.tradingview.com/symbols/KRX-178920/,"5,721억"
이녹스 *,15150.0,+11.15%,2109851.0,33571.0,1275372.0,088390,https://kr.tradingview.com/symbols/KRX-088390/,"1,422억"
고려아연,1829000.0,+6.59%,56308.0,102278.0,48365.0,010130,https://kr.tradingview.com/symbols/KRX-010130/,"381,767억"
에코프로머티,71100.0,+6.28%,1370491.0,95932.0,442476.0,450080,https://kr.tradingview.com/symbols/KRX-450080/,"5,167억"
동원시스템즈,29550.0,+5.72%,122299.0,3577.0,49328.0,014820,https://kr.tradingview.com/symbols/KRX-014820/,"8,567억"
DI동일,21400.0,+5.42%,150069.0,3164.0,106771.0,001530,https://kr.tradingview.com/symbols/KRX-001530/,"4,222억"
한농화성,25950.0,+4.43%,1094792.0,28607.0,769029.0,011500,https://kr.tradingview.com/symbols/KRX-011500/,"4,058억"
파워로직스 *,6400.0,+4.40%,2289766.0,14435.0,4146466.0,047310,https://kr.tradingview.com/symbols/KRX-047310/,"2,343억"
더블유씨피 *,9300.0,+4.26%,555183.0,5113.0,524158.0,393890,https://kr.tradingview.com/symbols/KRX-393890/,"3,147억"
글로벌에스엠 *,439.0,+4.03%,325866.0,140.0,231539.0,900070,https://kr.tradingview.com/symbols/KRX-900070/,236억
영화테크 *,8560.0,+4.01%,578103.0,5143.0,65256.0,265560,https://kr.tradingview.com/symbols/KRX-265560/,915억
삼진엘앤디 *,801.0,+3.89%,86238.0,68.0,150766.0,054090,https://kr.tradingview.com/symbols/KRX-054090/,200억
애경케미칼,10490.0,+3.86%,863672.0,9095.0,653447.0,161000,https://kr.tradingview.com/symbols/KRX-161000/,"5,103억"
신성에스티 *,39800.0,+3.78%,186118.0,7246.0,154247.0,416180,https://kr.tradingview.com/symbols/KRX-416180/,"3,598억"
LG화학,318000.0,+3.75%,351475.0,110924.0,349494.0,051910,https://kr.tradingview.com/symbols/KRX-051910/,"224,484억"
상아프론테크 *,18070.0,+3.67%,82395.0,1471.0,53271.0,089980,https://kr.tradingview.com/symbols/KRX-089980/,"2,889억"
강원에너지 *,16960.0,+3.60%,546380.0,9367.0,326769.0,114190,https://kr.tradingview.com/symbols/KRX-114190/,"4,430억"
에코프로 *,175800.0,+3.53%,5710501.0,1011729.0,3998633.0,086520,https://kr.tradingview.com/symbols/KRX-086520/,"238,694억"
솔루스첨단소재,8300.0,+3.49%,264550.0,2163.0,245588.0,336370,https://kr.tradingview.com/symbols/KRX-336370/,"5,828억"
광무 *,2265.0,+3.42%,253162.0,567.0,363747.0,029480,https://kr.tradingview.com/symbols/KRX-029480/,"1,402억"
유진테크놀로지 *,3975.0,+3.38%,33422.0,131.0,38187.0,240600,https://kr.tradingview.com/symbols/KRX-240600/,275억
율촌화학,27850.0,+3.34%,71406.0,1962.0,62235.0,008730,https://kr.tradingview.com/symbols/KRX-008730/,"6,907억"
삼아알미늄,30450.0,+3.22%,127601.0,3825.0,263585.0,006110,https://kr.tradingview.com/symbols/KRX-006110/,"4,480억"
이랜텍 *,10900.0,+3.12%,353961.0,3873.0,214893.0,054210,https://kr.tradingview.com/symbols/KRX-054210/,"2,757억"
대진첨단소재 *,4020.0,+3.08%,335672.0,1324.0,233945.0,393970,https://kr.tradingview.com/symbols/KRX-393970/,717억
