종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
하림지주 *,19610.0,+29.95%,7878231.0,145260.0,6017872.0,003380,https://kr.tradingview.com/symbols/KRX-003380/,"21,964억"
삼표시멘트 *,18440.0,+29.95%,920002.0,16965.0,12541066.0,038500,https://kr.tradingview.com/symbols/KRX-038500/,"19,900억"
대성산업,11240.0,+29.94%,20619870.0,213468.0,11154274.0,128820,https://kr.tradingview.com/symbols/KRX-128820/,"5,084억"
동양고속,69900.0,+19.90%,2666587.0,181600.0,1486948.0,084670,https://kr.tradingview.com/symbols/KRX-084670/,"2,024억"
KCTC,7990.0,+16.13%,17659674.0,138749.0,4741360.0,009070,https://kr.tradingview.com/symbols/KRX-009070/,"2,397억"
신도리코,61800.0,+12.57%,169164.0,10193.0,79777.0,029530,https://kr.tradingview.com/symbols/KRX-029530/,"6,229억"
BYC,48950.0,+10.12%,13014.0,615.0,7805.0,001460,https://kr.tradingview.com/symbols/KRX-001460/,"3,057억"
천일고속,330000.0,+9.27%,232959.0,77728.0,129816.0,000650,https://kr.tradingview.com/symbols/KRX-000650/,"4,716억"
경방,11700.0,+8.13%,3922343.0,46285.0,4508876.0,000050,https://kr.tradingview.com/symbols/KRX-000050/,"3,208억"
신영와코루,17990.0,+7.08%,107435.0,1885.0,128165.0,005800,https://kr.tradingview.com/symbols/KRX-005800/,"1,619억"
세이브존I&C,3475.0,+5.46%,2009677.0,6966.0,1359702.0,067830,https://kr.tradingview.com/symbols/KRX-067830/,"1,426억"
DI동일,21400.0,+5.42%,150069.0,3164.0,106771.0,001530,https://kr.tradingview.com/symbols/KRX-001530/,"4,222억"
방림,5750.0,+4.36%,571389.0,3205.0,148329.0,003610,https://kr.tradingview.com/symbols/KRX-003610/,"2,312억"
아이에스동서,24750.0,+3.99%,154486.0,3764.0,258662.0,010780,https://kr.tradingview.com/symbols/KRX-010780/,"7,471억"
일신방직,13780.0,+3.45%,149613.0,2072.0,68651.0,003200,https://kr.tradingview.com/symbols/KRX-003200/,"3,164억"
동원산업,42950.0,+3.25%,143119.0,6099.0,70076.0,006040,https://kr.tradingview.com/symbols/KRX-006040/,"18,962억"
이마트,94600.0,+2.94%,259291.0,24491.0,261312.0,139480,https://kr.tradingview.com/symbols/KRX-139480/,"26,106억"
서부T&D *,18580.0,+2.26%,3431810.0,65960.0,1490991.0,006730,https://kr.tradingview.com/symbols/KRX-006730/,"12,063억"
롯데칠성,137800.0,+1.85%,130095.0,18486.0,46465.0,005300,https://kr.tradingview.com/symbols/KRX-005300/,"12,786억"
HDC현대산업개발,21350.0,+0.23%,299207.0,6358.0,426953.0,294870,https://kr.tradingview.com/symbols/KRX-294870/,"14,071억"
신세계,322500.0,+0.16%,85637.0,27533.0,78328.0,004170,https://kr.tradingview.com/symbols/KRX-004170/,"31,106억"
