종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
사조산업,72200.0,+11.94%,96614.0,6718.0,42845.0,007160,https://kr.tradingview.com/symbols/KRX-007160/,"3,610억"
우성,18090.0,+6.04%,22614.0,409.0,6899.0,006980,https://kr.tradingview.com/symbols/KRX-006980/,559억
이지홀딩스 *,5480.0,+4.58%,375300.0,2019.0,234604.0,035810,https://kr.tradingview.com/symbols/KRX-035810/,"3,535억"
하림 *,3220.0,+4.04%,11819354.0,38886.0,1128456.0,136480,https://kr.tradingview.com/symbols/KRX-136480/,"3,420억"
대성미생물 *,7470.0,+3.61%,237160.0,1770.0,181048.0,036480,https://kr.tradingview.com/symbols/KRX-036480/,284억
신라교역,9510.0,+3.48%,27884.0,260.0,8008.0,004970,https://kr.tradingview.com/symbols/KRX-004970/,"1,522억"
사조대림,37450.0,+3.45%,28148.0,1044.0,6860.0,003960,https://kr.tradingview.com/symbols/KRX-003960/,"3,432억"
동원산업,42950.0,+3.25%,143119.0,6099.0,70076.0,006040,https://kr.tradingview.com/symbols/KRX-006040/,"18,962억"
한일사료 *,3100.0,+3.16%,307200.0,945.0,132280.0,005860,https://kr.tradingview.com/symbols/KRX-005860/,"1,222억"
팜스토리 *,1175.0,+3.07%,1487525.0,1741.0,457357.0,027710,https://kr.tradingview.com/symbols/KRX-027710/,"1,309억"
태경비케이,4710.0,+2.73%,178268.0,829.0,67422.0,014580,https://kr.tradingview.com/symbols/KRX-014580/,"1,299억"
CJ씨푸드,2870.0,+2.32%,442728.0,1261.0,236733.0,011150,https://kr.tradingview.com/symbols/KRX-011150/,"1,031억"
마니커,790.0,+1.80%,364861.0,286.0,174996.0,027740,https://kr.tradingview.com/symbols/KRX-027740/,502억
동원수산,5980.0,+1.70%,25395.0,150.0,30704.0,030720,https://kr.tradingview.com/symbols/KRX-030720/,278억
한성기업,5170.0,+1.57%,29634.0,152.0,38215.0,003680,https://kr.tradingview.com/symbols/KRX-003680/,321억
사조오양,8370.0,+1.21%,5943.0,49.0,11306.0,006090,https://kr.tradingview.com/symbols/KRX-006090/,789억
동우팜투테이블 *,2130.0,+1.19%,123178.0,264.0,44937.0,088910,https://kr.tradingview.com/symbols/KRX-088910/,550억
정다운 *,2585.0,+1.17%,152048.0,391.0,103515.0,208140,https://kr.tradingview.com/symbols/KRX-208140/,845억
우진비앤지 *,803.0,+0.63%,78237.0,63.0,46634.0,018620,https://kr.tradingview.com/symbols/KRX-018620/,232억
신라에스지 *,5420.0,+0.37%,20165.0,108.0,7655.0,025870,https://kr.tradingview.com/symbols/KRX-025870/,217억
