종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
윌비스,366.0,+11.59%,9472487.0,3477.0,848510.0,008600,https://kr.tradingview.com/symbols/KRX-008600/,246억
DSC인베스트먼트 *,9280.0,+10.61%,5828686.0,53532.0,1474174.0,241520,https://kr.tradingview.com/symbols/KRX-241520/,"2,506억"
사람인 *,13480.0,+3.37%,114907.0,1536.0,10608.0,143240,https://kr.tradingview.com/symbols/KRX-143240/,"1,578억"
메가엠디 *,1887.0,+3.23%,57269.0,107.0,48047.0,133750,https://kr.tradingview.com/symbols/KRX-133750/,442억
원티드랩 *,3420.0,+1.63%,64274.0,217.0,44420.0,376980,https://kr.tradingview.com/symbols/KRX-376980/,334억
TS인베스트먼트 *,1440.0,+1.41%,906306.0,1331.0,258672.0,246690,https://kr.tradingview.com/symbols/KRX-246690/,643억
오픈놀 *,3645.0,+0.69%,24633.0,89.0,33633.0,440320,https://kr.tradingview.com/symbols/KRX-440320/,358억
아이비김영 *,2130.0,+0.47%,53097.0,113.0,135260.0,339950,https://kr.tradingview.com/symbols/KRX-339950/,957억
데이원컴퍼니 *,4480.0,+0.45%,43903.0,196.0,27873.0,373160,https://kr.tradingview.com/symbols/KRX-373160/,618억
대성창투 *,1676.0,+0.36%,128354.0,214.0,342815.0,027830,https://kr.tradingview.com/symbols/KRX-027830/,905억
