종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
이렘 *,651.0,+9.78%,5929939.0,3963.0,1436656.0,009730,https://kr.tradingview.com/symbols/KRX-009730/,403억
SK오션플랜트,18390.0,+6.12%,765755.0,13857.0,811027.0,100090,https://kr.tradingview.com/symbols/KRX-100090/,"11,490억"
세아제강,124100.0,+4.99%,16388.0,1992.0,5687.0,306200,https://kr.tradingview.com/symbols/KRX-306200/,"3,520억"
KBI동양철관,1878.0,+2.23%,1565846.0,2909.0,1200189.0,008970,https://kr.tradingview.com/symbols/KRX-008970/,"1,949억"
한국주철관,6830.0,+2.09%,45090.0,305.0,47097.0,000970,https://kr.tradingview.com/symbols/KRX-000970/,"1,557억"
휴스틸,4250.0,+1.92%,415369.0,1750.0,203056.0,005010,https://kr.tradingview.com/symbols/KRX-005010/,"2,388억"
넥스틸,11280.0,+1.81%,141447.0,1581.0,128742.0,092790,https://kr.tradingview.com/symbols/KRX-092790/,"2,933억"
하이스틸,3745.0,+1.49%,208450.0,777.0,219016.0,071090,https://kr.tradingview.com/symbols/KRX-071090/,756억
유에스티 *,2220.0,+1.14%,205339.0,450.0,678778.0,263770,https://kr.tradingview.com/symbols/KRX-263770/,526억
금강공업,6540.0,-0.46%,382705.0,2489.0,1103021.0,014280,https://kr.tradingview.com/symbols/KRX-014280/,"1,918억"
율촌 *,1880.0,-6.70%,1388430.0,2661.0,4292047.0,146060,https://kr.tradingview.com/symbols/KRX-146060/,451억
