종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
사조산업,72200.0,+11.94%,96614.0,6718.0,42845.0,007160,https://kr.tradingview.com/symbols/KRX-007160/,"3,610억"
사조씨푸드,9850.0,+8.36%,260638.0,2501.0,183573.0,014710,https://kr.tradingview.com/symbols/KRX-014710/,"1,696억"
신라교역,9510.0,+3.48%,27884.0,260.0,8008.0,004970,https://kr.tradingview.com/symbols/KRX-004970/,"1,522억"
사조대림,37450.0,+3.45%,28148.0,1044.0,6860.0,003960,https://kr.tradingview.com/symbols/KRX-003960/,"3,432억"
동원산업,42950.0,+3.25%,143119.0,6099.0,70076.0,006040,https://kr.tradingview.com/symbols/KRX-006040/,"18,962억"
CJ씨푸드,2870.0,+2.32%,442728.0,1261.0,236733.0,011150,https://kr.tradingview.com/symbols/KRX-011150/,"1,031억"
동원수산,5980.0,+1.70%,25395.0,150.0,30704.0,030720,https://kr.tradingview.com/symbols/KRX-030720/,278억
한성기업,5170.0,+1.57%,29634.0,152.0,38215.0,003680,https://kr.tradingview.com/symbols/KRX-003680/,321억
사조오양,8370.0,+1.21%,5943.0,49.0,11306.0,006090,https://kr.tradingview.com/symbols/KRX-006090/,789억
신라에스지 *,5420.0,+0.37%,20165.0,108.0,7655.0,025870,https://kr.tradingview.com/symbols/KRX-025870/,217억
