종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
아이엠티 *,13050.0,+29.98%,1749308.0,21129.0,103770.0,451220,https://kr.tradingview.com/symbols/KRX-451220/,"1,028억",2026.02.09,417,12350
레이저쎌 *,3280.0,+29.90%,7673665.0,24477.0,717212.0,412350,https://kr.tradingview.com/symbols/KRX-412350/,427억,2026.02.09,890,22595
디아이,37200.0,+25.46%,2726096.0,96910.0,499349.0,003160,https://kr.tradingview.com/symbols/KRX-003160/,"1,528억",2026.02.09,220071,240742
유니테스트 *,21400.0,+22.71%,6502818.0,135533.0,2319463.0,086390,https://kr.tradingview.com/symbols/KRX-086390/,"4,523억",2026.02.09,86225,-45764
와이씨 *,21950.0,+16.82%,4141234.0,88739.0,807187.0,232140,https://kr.tradingview.com/symbols/KRX-232140/,"18,009억",2026.02.09,170061,252354
오픈엣지테크놀로지 *,16150.0,+13.33%,948805.0,14965.0,147835.0,394280,https://kr.tradingview.com/symbols/KRX-394280/,"4,244억",2026.02.09,62553,217749
큐알티 *,19540.0,+10.77%,315096.0,6065.0,94088.0,405100,https://kr.tradingview.com/symbols/KRX-405100/,"2,401억",2026.02.09,6185,71482
에스티아이 *,36500.0,+8.63%,483501.0,17509.0,278849.0,039440,https://kr.tradingview.com/symbols/KRX-039440/,"5,660억",2026.02.09,49939,71084
예스티 *,23900.0,+8.14%,600504.0,14376.0,360402.0,122640,https://kr.tradingview.com/symbols/KRX-122640/,"5,103억",2026.02.09,69954,87804
케이씨텍,50500.0,+7.79%,200658.0,9987.0,167879.0,281820,https://kr.tradingview.com/symbols/KRX-281820/,"1,449억",2026.02.09,-13546,13960
디아이티 *,22500.0,+7.66%,225131.0,4976.0,272645.0,110990,https://kr.tradingview.com/symbols/KRX-110990/,"4,252억",2026.02.09,1198,1374
제너셈 *,6230.0,+6.50%,174645.0,1079.0,175737.0,217190,https://kr.tradingview.com/symbols/KRX-217190/,819억,2026.02.09,-1,15355
미래반도체 *,18700.0,+6.43%,295459.0,5500.0,136548.0,254490,https://kr.tradingview.com/symbols/KRX-254490/,"2,700억",2026.02.09,-1,50425
오로스테크놀로지 *,27350.0,+6.42%,365794.0,9656.0,120074.0,322310,https://kr.tradingview.com/symbols/KRX-322310/,"2,562억",2026.02.09,-7708,44393
와이씨켐 *,24350.0,+5.87%,268928.0,6465.0,185477.0,112290,https://kr.tradingview.com/symbols/KRX-112290/,"2,462억",2026.02.09,-8,47322
SK하이닉스,887000.0,+5.72%,4228584.0,3746145.0,5581574.0,000660,https://kr.tradingview.com/symbols/KRX-000660/,"6,457,381억",2026.02.09,745055,-162083
이오테크닉스 *,418000.0,+5.69%,95548.0,39405.0,129320.0,039030,https://kr.tradingview.com/symbols/KRX-039030/,"51,496억",2026.02.09,27842,-6447
윈팩 *,568.0,+5.58%,899958.0,505.0,612124.0,097800,https://kr.tradingview.com/symbols/KRX-097800/,775억,2026.02.09,0,308595
엠케이전자 *,10500.0,+5.42%,465204.0,4897.0,344427.0,033160,https://kr.tradingview.com/symbols/KRX-033160/,"2,373억",2026.02.09,-149,145256
피에스케이홀딩스 *,72900.0,+5.35%,187814.0,13707.0,293519.0,031980,https://kr.tradingview.com/symbols/KRX-031980/,"15,719억",2026.02.09,29820,-34874
워트 *,7570.0,+4.99%,119082.0,896.0,106148.0,396470,https://kr.tradingview.com/symbols/KRX-396470/,"1,220억",2026.02.09,0,49566
삼성전자,166400.0,+4.92%,24964732.0,4169899.0,36358081.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,"985,278억",2026.02.09,4465185,510164
마이크로투나노 *,16050.0,+4.56%,109493.0,1739.0,121552.0,424980,https://kr.tradingview.com/symbols/KRX-424980/,950억,2026.02.09,17128,738
테크윙 *,45950.0,+4.55%,577056.0,26247.0,624088.0,089030,https://kr.tradingview.com/symbols/KRX-089030/,"17,026억",2026.02.09,15095,114160
제우스 *,18800.0,+4.39%,515352.0,9649.0,553084.0,079370,https://kr.tradingview.com/symbols/KRX-079370/,"5,831억",2026.02.09,-34897,35262
고영 *,33800.0,+3.05%,1593280.0,53390.0,2452664.0,098460,https://kr.tradingview.com/symbols/KRX-098460/,"23,205억",2026.02.09,110545,226267
한화비전,67800.0,+1.50%,1104394.0,75344.0,2922544.0,489790,https://kr.tradingview.com/symbols/KRX-489790/,"34,231억",2026.02.09,-60271,59747
한미반도체,197800.0,+0.92%,1365865.0,270196.0,1470302.0,042700,https://kr.tradingview.com/symbols/KRX-042700/,"188,528억",2026.02.09,31345,-162425
