종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
에이디테크놀로지 *,40150.0,+13.58%,688986.0,27235.0,206325.0,200710,https://kr.tradingview.com/symbols/KRX-200710/,"5,396억",2026.02.09,1707,183701
오픈엣지테크놀로지 *,16150.0,+13.33%,948805.0,14965.0,147835.0,394280,https://kr.tradingview.com/symbols/KRX-394280/,"4,244억",2026.02.09,62553,217749
제주반도체 *,47300.0,+12.09%,5709019.0,267349.0,2964463.0,080220,https://kr.tradingview.com/symbols/KRX-080220/,"16,291억",2026.02.09,62274,594998
큐알티 *,19540.0,+10.77%,315096.0,6065.0,94088.0,405100,https://kr.tradingview.com/symbols/KRX-405100/,"2,401억",2026.02.09,6185,71482
가온칩스 *,70800.0,+9.60%,201438.0,13979.0,185891.0,399720,https://kr.tradingview.com/symbols/KRX-399720/,"8,213억",2026.02.09,11740,4460
삼성전기,304000.0,+7.04%,685190.0,205546.0,545238.0,009150,https://kr.tradingview.com/symbols/KRX-009150/,"227,069억",2026.02.09,114979,129390
유니퀘스트,6710.0,+6.85%,371997.0,2444.0,266888.0,077500,https://kr.tradingview.com/symbols/KRX-077500/,"1,449억",2026.02.09,-670,91066
퀄리타스반도체 *,13870.0,+6.61%,187696.0,2588.0,180939.0,432720,https://kr.tradingview.com/symbols/KRX-432720/,"1,962억",2026.02.09,0,70260
어보브반도체 *,12560.0,+6.26%,422261.0,5280.0,387355.0,102120,https://kr.tradingview.com/symbols/KRX-102120/,"2,233억",2026.02.09,0,137876
칩스앤미디어 *,19820.0,+6.05%,380213.0,7501.0,283503.0,094360,https://kr.tradingview.com/symbols/KRX-094360/,"4,218억",2026.02.09,84,87079
태성 *,77600.0,+6.01%,369276.0,28171.0,444838.0,323280,https://kr.tradingview.com/symbols/KRX-323280/,"23,697억",2026.02.09,33588,73708
SK하이닉스,887000.0,+5.72%,4228584.0,3746145.0,5581574.0,000660,https://kr.tradingview.com/symbols/KRX-000660/,"6,457,381억",2026.02.09,745055,-162083
삼성전자,166400.0,+4.92%,24964732.0,4169899.0,36358081.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,"985,278억",2026.02.09,4465185,510164
텔레칩스 *,15160.0,+4.41%,173808.0,2614.0,232281.0,054450,https://kr.tradingview.com/symbols/KRX-054450/,"2,296억",2026.02.09,3,67486
마음AI *,17200.0,+4.24%,76807.0,1313.0,142499.0,377480,https://kr.tradingview.com/symbols/KRX-377480/,"1,223억",2026.02.09,0,11779
아이언디바이스 *,3565.0,+3.78%,301342.0,1058.0,275762.0,464500,https://kr.tradingview.com/symbols/KRX-464500/,498억,2026.02.09,0,41877
리노공업 *,99000.0,+3.45%,835970.0,81961.0,1036216.0,058470,https://kr.tradingview.com/symbols/KRX-058470/,"75,450억",2026.02.09,158293,-150465
대덕전자,60900.0,+3.40%,801625.0,48718.0,921310.0,353200,https://kr.tradingview.com/symbols/KRX-353200/,395억,2026.02.09,102101,-32368
노타 *,38300.0,+3.23%,243801.0,9411.0,274921.0,486990,https://kr.tradingview.com/symbols/KRX-486990/,"8,167억",2026.02.09,-13392,44626
심텍 *,54400.0,+2.84%,511576.0,27842.0,685979.0,222800,https://kr.tradingview.com/symbols/KRX-222800/,"2,314억",2026.02.09,-8645,-55608
HPSP *,46450.0,+1.31%,2016683.0,93651.0,2063486.0,403870,https://kr.tradingview.com/symbols/KRX-403870/,"39,018억",2026.02.09,73571,-405169
네패스 *,19000.0,+0.26%,245803.0,4699.0,280534.0,033640,https://kr.tradingview.com/symbols/KRX-033640/,"4,381억",2026.02.09,-6420,-87376
에이팩트 *,6890.0,+0.15%,980258.0,6860.0,1309428.0,200470,https://kr.tradingview.com/symbols/KRX-200470/,"2,919억",2026.02.09,24893,-36545
네패스아크 *,22500.0,-4.46%,659850.0,14999.0,752702.0,330860,https://kr.tradingview.com/symbols/KRX-330860/,"2,741억",2026.02.09,-6941,-175029
