종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
웨이비스 *,18130.0,+18.57%,1420231.0,24622.0,317103.0,289930,https://kr.tradingview.com/symbols/KRX-289930/,"2,270억"
라이콤 *,2855.0,+14.66%,4093058.0,11562.0,269740.0,388790,https://kr.tradingview.com/symbols/KRX-388790/,874억
나무기술 *,2785.0,+14.37%,7524616.0,20777.0,1476041.0,242040,https://kr.tradingview.com/symbols/KRX-242040/,964억
한울소재과학 *,3090.0,+10.95%,426066.0,1283.0,91513.0,091440,https://kr.tradingview.com/symbols/KRX-091440/,953억
PI첨단소재,20650.0,+9.09%,760791.0,15597.0,468536.0,178920,https://kr.tradingview.com/symbols/KRX-178920/,"6,064억"
이노와이어리스 *,34550.0,+7.97%,263042.0,8860.0,263760.0,073490,https://kr.tradingview.com/symbols/KRX-073490/,"2,627억"
자람테크놀로지 *,45350.0,+7.34%,386022.0,17163.0,225641.0,389020,https://kr.tradingview.com/symbols/KRX-389020/,"2,811억"
RFHIC *,49100.0,+6.51%,446308.0,21637.0,381464.0,218410,https://kr.tradingview.com/symbols/KRX-218410/,"13,013억"
SK텔레콤,73400.0,+6.07%,1479780.0,108409.0,2886610.0,017670,https://kr.tradingview.com/symbols/KRX-017670/,"157,656억"
서진시스템 *,35650.0,+5.63%,884054.0,30921.0,914231.0,178320,https://kr.tradingview.com/symbols/KRX-178320/,"2,396억"
KT,59300.0,+5.33%,626248.0,36460.0,704494.0,030200,https://kr.tradingview.com/symbols/KRX-030200/,"149,449억"
삼성전자,166400.0,+4.92%,24964732.0,4169899.0,36358081.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,"985,278억"
아이크래프트 *,3900.0,+4.84%,727252.0,2870.0,232238.0,052460,https://kr.tradingview.com/symbols/KRX-052460/,570억
오이솔루션 *,16780.0,+4.61%,237178.0,3960.0,229037.0,138080,https://kr.tradingview.com/symbols/KRX-138080/,"1,996억"
LS마린솔루션 *,28950.0,+4.51%,171394.0,4896.0,280075.0,060370,https://kr.tradingview.com/symbols/KRX-060370/,"15,123억"
유비쿼스 *,13080.0,+4.39%,129328.0,1684.0,183165.0,264450,https://kr.tradingview.com/symbols/KRX-264450/,"1,918억"
케이엠더블유 *,19200.0,+4.35%,250440.0,4765.0,307588.0,032500,https://kr.tradingview.com/symbols/KRX-032500/,"7,859억"
우리넷 *,7760.0,+4.30%,199660.0,1531.0,156941.0,115440,https://kr.tradingview.com/symbols/KRX-115440/,838억
오파스넷 *,6830.0,+4.27%,125238.0,840.0,113364.0,173130,https://kr.tradingview.com/symbols/KRX-173130/,891억
휴먼테크놀로지 *,4460.0,+3.96%,98937.0,439.0,50840.0,175140,https://kr.tradingview.com/symbols/KRX-175140/,"1,113억"
웨이브일렉트로 *,4460.0,+3.84%,32686.0,146.0,48109.0,095270,https://kr.tradingview.com/symbols/KRX-095270/,641억
LS에코에너지,42500.0,+3.79%,199651.0,8474.0,267915.0,229640,https://kr.tradingview.com/symbols/KRX-229640/,"13,016억"
LG전자,102600.0,+3.43%,899239.0,91754.0,802143.0,066570,https://kr.tradingview.com/symbols/KRX-066570/,"167,121억"
에치에프알 *,16670.0,+3.41%,273279.0,4539.0,425809.0,230240,https://kr.tradingview.com/symbols/KRX-230240/,"2,219억"
코스텍시스 *,13630.0,+3.41%,120439.0,1617.0,235079.0,355150,https://kr.tradingview.com/symbols/KRX-355150/,"1,063억"
