종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
덕산네오룩스 *,43000.0,+17.17%,647607.0,26802.0,129090.0,213420,https://kr.tradingview.com/symbols/KRX-213420/,"1,677억"
비에이치,19890.0,+17.00%,1752865.0,34007.0,221081.0,090460,https://kr.tradingview.com/symbols/KRX-090460/,"6,705억"
제이앤티씨 *,24050.0,+11.86%,372554.0,8793.0,332904.0,204270,https://kr.tradingview.com/symbols/KRX-204270/,"13,913억"
이녹스첨단소재 *,42050.0,+11.10%,1617636.0,68347.0,1218737.0,272290,https://kr.tradingview.com/symbols/KRX-272290/,"8,380억"
PI첨단소재,20650.0,+9.09%,760791.0,15597.0,468536.0,178920,https://kr.tradingview.com/symbols/KRX-178920/,"6,064억"
신화콘텍 *,3935.0,+9.00%,903268.0,3527.0,102618.0,187270,https://kr.tradingview.com/symbols/KRX-187270/,399억
코리아써키트,57700.0,+8.87%,451476.0,25462.0,818121.0,007810,https://kr.tradingview.com/symbols/KRX-007810/,"13,629억"
켐트로닉스 *,35000.0,+7.69%,321510.0,11100.0,291523.0,089010,https://kr.tradingview.com/symbols/KRX-089010/,"5,719억"
유티아이 *,23250.0,+7.39%,88614.0,2040.0,77216.0,179900,https://kr.tradingview.com/symbols/KRX-179900/,"4,601억"
삼성전기,304000.0,+7.04%,685190.0,205546.0,545238.0,009150,https://kr.tradingview.com/symbols/KRX-009150/,"227,069억"
뉴프렉스 *,6700.0,+7.03%,583777.0,3853.0,430770.0,085670,https://kr.tradingview.com/symbols/KRX-085670/,"1,638억"
아모텍 *,9480.0,+7.00%,161718.0,1504.0,333815.0,052710,https://kr.tradingview.com/symbols/KRX-052710/,"1,386억"
도우인시스 *,24350.0,+6.80%,37656.0,902.0,18655.0,484120,https://kr.tradingview.com/symbols/KRX-484120/,"2,668억"
한솔테크닉스,5760.0,+6.08%,335312.0,1884.0,302804.0,004710,https://kr.tradingview.com/symbols/KRX-004710/,"1,850억"
이랜텍 *,10940.0,+6.01%,341920.0,3729.0,254447.0,054210,https://kr.tradingview.com/symbols/KRX-054210/,"2,767억"
인탑스 *,20500.0,+5.67%,108499.0,2216.0,105211.0,049070,https://kr.tradingview.com/symbols/KRX-049070/,"3,526억"
KH바텍 *,17430.0,+5.13%,465944.0,8042.0,533665.0,060720,https://kr.tradingview.com/symbols/KRX-060720/,"4,127억"
삼성전자,166400.0,+4.92%,24964732.0,4169899.0,36358081.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,"985,278억"
아모그린텍 *,7440.0,+4.79%,152829.0,1130.0,148255.0,125210,https://kr.tradingview.com/symbols/KRX-125210/,"1,227억"
세경하이테크 *,5130.0,+4.69%,227512.0,1154.0,168953.0,148150,https://kr.tradingview.com/symbols/KRX-148150/,"1,823억"
엠씨넥스,29650.0,+4.40%,51532.0,1517.0,95816.0,097520,https://kr.tradingview.com/symbols/KRX-097520/,"5,160억"
인터플렉스 *,13090.0,+4.30%,290400.0,3766.0,298815.0,051370,https://kr.tradingview.com/symbols/KRX-051370/,"3,054억"
드림텍,8000.0,+4.30%,380746.0,3030.0,518108.0,192650,https://kr.tradingview.com/symbols/KRX-192650/,"5,516억"
세코닉스 *,6010.0,+3.98%,191817.0,1142.0,198946.0,053450,https://kr.tradingview.com/symbols/KRX-053450/,889억
앤디포스 *,1648.0,+2.94%,168910.0,270.0,156036.0,238090,https://kr.tradingview.com/symbols/KRX-238090/,388억
자화전자,39350.0,+2.61%,410795.0,16228.0,476385.0,033240,https://kr.tradingview.com/symbols/KRX-033240/,"8,561억"
나무가 *,23750.0,+2.59%,122437.0,2898.0,157156.0,190510,https://kr.tradingview.com/symbols/KRX-190510/,"3,336억"
파워로직스 *,6120.0,+2.34%,665959.0,4075.0,1014558.0,047310,https://kr.tradingview.com/symbols/KRX-047310/,"2,241억"
옵트론텍 *,1999.0,+2.15%,72332.0,144.0,149968.0,082210,https://kr.tradingview.com/symbols/KRX-082210/,664억
알에프텍 *,1805.0,+2.04%,166663.0,303.0,171771.0,061040,https://kr.tradingview.com/symbols/KRX-061040/,579억
파트론 *,7150.0,+1.85%,247030.0,1763.0,262054.0,091700,https://kr.tradingview.com/symbols/KRX-091700/,"3,932억"
기가레인 *,523.0,+1.55%,242400.0,127.0,462276.0,049080,https://kr.tradingview.com/symbols/KRX-049080/,444억
에스코넥 *,663.0,+1.38%,487878.0,326.0,593131.0,096630,https://kr.tradingview.com/symbols/KRX-096630/,526억
씨유테크 *,2890.0,+0.52%,8650.0,25.0,13909.0,376290,https://kr.tradingview.com/symbols/KRX-376290/,510억
캠시스 *,541.0,0.00%,0.0,0.0,0.0,050110,https://kr.tradingview.com/symbols/KRX-050110/,399억
레몬 *,6580.0,0.00%,97896.0,648.0,95668.0,294140,https://kr.tradingview.com/symbols/KRX-294140/,"1,475억"
시노펙스 *,7090.0,-0.70%,852660.0,6078.0,1106998.0,025320,https://kr.tradingview.com/symbols/KRX-025320/,"6,531억"
PS일렉트로닉스 *,6350.0,-0.78%,1415139.0,9023.0,1324995.0,332570,https://kr.tradingview.com/symbols/KRX-332570/,"2,781억"
모베이스 *,5720.0,-13.98%,2786507.0,16752.0,1608178.0,101330,https://kr.tradingview.com/symbols/KRX-101330/,"1,324억"
