종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
성호전자 *,27550.0,+29.95%,3386297.0,88410.0,1672974.0,043260,https://kr.tradingview.com/symbols/KRX-043260/,"19,539억"
코아시아 *,6540.0,+17.63%,1396850.0,8846.0,172660.0,045970,https://kr.tradingview.com/symbols/KRX-045970/,"1,721억"
케이엔제이 *,37750.0,+17.24%,908577.0,33283.0,632817.0,272110,https://kr.tradingview.com/symbols/KRX-272110/,"3,030억"
나노신소재 *,73500.0,+14.66%,446440.0,32264.0,132481.0,121600,https://kr.tradingview.com/symbols/KRX-121600/,"8,975억"
에이치엠넥스 *,1798.0,+10.58%,1272995.0,2222.0,1272843.0,036170,https://kr.tradingview.com/symbols/KRX-036170/,"1,103억"
와이투솔루션,6920.0,+7.29%,1713076.0,11645.0,2158768.0,011690,https://kr.tradingview.com/symbols/KRX-011690/,"2,531억"
아이엘 *,3940.0,+7.07%,1196968.0,4757.0,865347.0,307180,https://kr.tradingview.com/symbols/KRX-307180/,"1,300억"
한솔테크닉스,5760.0,+6.08%,335312.0,1884.0,302804.0,004710,https://kr.tradingview.com/symbols/KRX-004710/,"1,850억"
빛샘전자 *,6010.0,+5.62%,188750.0,1123.0,73342.0,072950,https://kr.tradingview.com/symbols/KRX-072950/,484억
삼성전자,166400.0,+4.92%,24964732.0,4169899.0,36358081.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,"985,278억"
우리엔터프라이즈 *,978.0,+4.82%,5398926.0,5806.0,292359.0,037400,https://kr.tradingview.com/symbols/KRX-037400/,256억
케이엠더블유 *,19200.0,+4.35%,250440.0,4765.0,307588.0,032500,https://kr.tradingview.com/symbols/KRX-032500/,"7,859억"
서울반도체 *,7390.0,+3.65%,302405.0,2210.0,295799.0,046890,https://kr.tradingview.com/symbols/KRX-046890/,"4,309억"
LG전자,102600.0,+3.43%,899239.0,91754.0,802143.0,066570,https://kr.tradingview.com/symbols/KRX-066570/,"167,121억"
한라IMS *,15120.0,+3.28%,44775.0,672.0,93249.0,092460,https://kr.tradingview.com/symbols/KRX-092460/,"2,587억"
한국단자,73600.0,+3.08%,25158.0,1839.0,43277.0,025540,https://kr.tradingview.com/symbols/KRX-025540/,"7,445억"
엘디티 *,2330.0,+2.87%,24420.0,56.0,15987.0,096870,https://kr.tradingview.com/symbols/KRX-096870/,194억
레이크머티리얼즈 *,24000.0,+2.35%,864893.0,20570.0,1311395.0,281740,https://kr.tradingview.com/symbols/KRX-281740/,"15,775억"
알에프텍 *,1805.0,+2.04%,166663.0,303.0,171771.0,061040,https://kr.tradingview.com/symbols/KRX-061040/,579억
엘컴텍 *,829.0,+1.84%,228490.0,189.0,638786.0,037950,https://kr.tradingview.com/symbols/KRX-037950/,700억
삼진엘앤디 *,795.0,+1.27%,45847.0,36.0,104321.0,054090,https://kr.tradingview.com/symbols/KRX-054090/,198억
우리이앤엘 *,658.0,+1.23%,166845.0,111.0,47137.0,153490,https://kr.tradingview.com/symbols/KRX-153490/,339억
루멘스 *,658.0,+1.23%,90846.0,59.0,119001.0,038060,https://kr.tradingview.com/symbols/KRX-038060/,317억
오디텍 *,3075.0,+1.15%,12064.0,37.0,14462.0,080520,https://kr.tradingview.com/symbols/KRX-080520/,348억
소룩스 *,3870.0,+0.78%,384202.0,1501.0,572052.0,290690,https://kr.tradingview.com/symbols/KRX-290690/,"1,887억"
포인트엔지니어링 *,1000.0,+0.60%,27038.0,27.0,14901.0,256630,https://kr.tradingview.com/symbols/KRX-256630/,580억
우리바이오 *,1969.0,+0.46%,304242.0,602.0,359103.0,082850,https://kr.tradingview.com/symbols/KRX-082850/,954억
지앤비에스 에코 *,3860.0,+0.39%,943409.0,3687.0,4646521.0,382800,https://kr.tradingview.com/symbols/KRX-382800/,"1,229억"
광전자,1945.0,+0.36%,148018.0,288.0,152587.0,017900,https://kr.tradingview.com/symbols/KRX-017900/,"1,127억"
에스폴리텍 *,1253.0,+0.32%,28223.0,35.0,22206.0,050760,https://kr.tradingview.com/symbols/KRX-050760/,205억
태경산업,4785.0,+0.21%,38791.0,186.0,66232.0,015890,https://kr.tradingview.com/symbols/KRX-015890/,"1,399억"
태경비케이,4690.0,+0.21%,164539.0,772.0,232528.0,014580,https://kr.tradingview.com/symbols/KRX-014580/,"1,294억"
에프알텍 *,2000.0,+0.10%,15827.0,32.0,28986.0,073540,https://kr.tradingview.com/symbols/KRX-073540/,228억
파커스 *,1317.0,-0.60%,71243.0,93.0,90837.0,065690,https://kr.tradingview.com/symbols/KRX-065690/,185억
파인테크닉스 *,1977.0,-0.70%,151148.0,297.0,229939.0,106240,https://kr.tradingview.com/symbols/KRX-106240/,418억
금호에이치티,522.0,-1.14%,601233.0,316.0,1266912.0,214330,https://kr.tradingview.com/symbols/KRX-214330/,"1,138억"
서울바이오시스 *,2850.0,-1.89%,47608.0,137.0,69323.0,092190,https://kr.tradingview.com/symbols/KRX-092190/,"1,307억"
금호전기,887.0,-4.00%,2331916.0,2099.0,1637060.0,001210,https://kr.tradingview.com/symbols/KRX-001210/,546억
일월지엠엘 *,2760.0,-5.32%,62246.0,168.0,148586.0,178780,https://kr.tradingview.com/symbols/KRX-178780/,514억
