종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
성호전자 *,27550.0,+29.95%,3386297.0,88410.0,1672974.0,043260,https://kr.tradingview.com/symbols/KRX-043260/,"19,539억"
코웨이,82600.0,+5.63%,348862.0,28641.0,617528.0,021240,https://kr.tradingview.com/symbols/KRX-021240/,"59,397억"
삼성전자,166400.0,+4.92%,24964732.0,4169899.0,36358081.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,"985,278억"
LG전자,102600.0,+3.43%,899239.0,91754.0,802143.0,066570,https://kr.tradingview.com/symbols/KRX-066570/,"167,121억"
쿠쿠홈시스,24300.0,+1.46%,10755.0,260.0,19481.0,284740,https://kr.tradingview.com/symbols/KRX-284740/,"5,452억"
케이웨더 *,3195.0,+1.43%,32601.0,104.0,94230.0,068100,https://kr.tradingview.com/symbols/KRX-068100/,318억
에스피지 *,138000.0,+1.40%,497479.0,69087.0,729310.0,058610,https://kr.tradingview.com/symbols/KRX-058610/,"3,605억"
신일전자,1397.0,+0.58%,581703.0,809.0,773864.0,002700,https://kr.tradingview.com/symbols/KRX-002700/,993억
씨앤투스 *,2140.0,+0.47%,40235.0,86.0,223130.0,352700,https://kr.tradingview.com/symbols/KRX-352700/,562억
오텍 *,1820.0,+0.05%,42768.0,78.0,70475.0,067170,https://kr.tradingview.com/symbols/KRX-067170/,435억
위닉스 *,5140.0,-0.19%,37812.0,195.0,21890.0,044340,https://kr.tradingview.com/symbols/KRX-044340/,919억
크린앤사이언스 *,3395.0,-1.02%,15842.0,54.0,47031.0,045520,https://kr.tradingview.com/symbols/KRX-045520/,221억
