종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
웰킵스하이텍 *,1023.0,+29.99%,391929.0,401.0,1279652.0,043590,https://kr.tradingview.com/symbols/KRX-043590/,278억
비에이치,19890.0,+17.00%,1752865.0,34007.0,221081.0,090460,https://kr.tradingview.com/symbols/KRX-090460/,"6,705억"
켐트로닉스 *,35000.0,+7.69%,321510.0,11100.0,291523.0,089010,https://kr.tradingview.com/symbols/KRX-089010/,"5,719억"
한솔테크닉스,5760.0,+6.08%,335312.0,1884.0,302804.0,004710,https://kr.tradingview.com/symbols/KRX-004710/,"1,850억"
이랜텍 *,10940.0,+6.01%,341920.0,3729.0,254447.0,054210,https://kr.tradingview.com/symbols/KRX-054210/,"2,767억"
LS,226000.0,+5.36%,156910.0,35296.0,192502.0,006260,https://kr.tradingview.com/symbols/KRX-006260/,"71,642억"
삼성전자,166400.0,+4.92%,24964732.0,4169899.0,36358081.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,"985,278억"
위츠 *,6840.0,+4.91%,66174.0,449.0,81311.0,459100,https://kr.tradingview.com/symbols/KRX-459100/,914억
LG전자,102600.0,+3.43%,899239.0,91754.0,802143.0,066570,https://kr.tradingview.com/symbols/KRX-066570/,"167,121억"
알에프텍 *,1805.0,+2.04%,166663.0,303.0,171771.0,061040,https://kr.tradingview.com/symbols/KRX-061040/,579억
LG이노텍,235500.0,+1.29%,153306.0,36097.0,164426.0,011070,https://kr.tradingview.com/symbols/KRX-011070/,"55,736억"
아모센스 *,12560.0,-8.85%,350313.0,4467.0,336999.0,357580,https://kr.tradingview.com/symbols/KRX-357580/,"1,417억"
