종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
하이비젼시스템 *,19200.0,+13.81%,593639.0,11073.0,157363.0,126700,https://kr.tradingview.com/symbols/KRX-126700/,"2,869억"
링크드 *,492.0,+8.13%,2556081.0,1303.0,877935.0,193250,https://kr.tradingview.com/symbols/KRX-193250/,318억
토탈소프트 *,6390.0,+7.04%,162409.0,1025.0,280834.0,045340,https://kr.tradingview.com/symbols/KRX-045340/,547억
라온텍 *,6230.0,+6.68%,236888.0,1466.0,375230.0,418420,https://kr.tradingview.com/symbols/KRX-418420/,"1,899억"
칩스앤미디어 *,19820.0,+6.05%,380213.0,7501.0,283503.0,094360,https://kr.tradingview.com/symbols/KRX-094360/,"4,218억"
이랜텍 *,10940.0,+6.01%,341920.0,3729.0,254447.0,054210,https://kr.tradingview.com/symbols/KRX-054210/,"2,767억"
E8 *,1381.0,+5.99%,168247.0,228.0,137936.0,418620,https://kr.tradingview.com/symbols/KRX-418620/,274억
SOOP *,70500.0,+5.86%,66941.0,4653.0,82712.0,067160,https://kr.tradingview.com/symbols/KRX-067160/,"8,104억"
데브시스터즈 *,39100.0,+5.11%,186407.0,7204.0,157288.0,194480,https://kr.tradingview.com/symbols/KRX-194480/,"4,742억"
삼성전자,166400.0,+4.92%,24964732.0,4169899.0,36358081.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,"985,278억"
세코닉스 *,6010.0,+3.98%,191817.0,1142.0,198946.0,053450,https://kr.tradingview.com/symbols/KRX-053450/,889억
에스넷 *,3265.0,+3.49%,39980.0,129.0,105879.0,038680,https://kr.tradingview.com/symbols/KRX-038680/,650억
LG전자,102600.0,+3.43%,899239.0,91754.0,802143.0,066570,https://kr.tradingview.com/symbols/KRX-066570/,"167,121억"
스코넥 *,1080.0,+3.25%,206695.0,223.0,148600.0,276040,https://kr.tradingview.com/symbols/KRX-276040/,234억
덱스터 *,3895.0,+2.77%,94690.0,367.0,89143.0,206560,https://kr.tradingview.com/symbols/KRX-206560/,990억
나무가 *,23750.0,+2.59%,122437.0,2898.0,157156.0,190510,https://kr.tradingview.com/symbols/KRX-190510/,"3,336억"
큐에스아이 *,8380.0,+2.20%,69742.0,583.0,83619.0,066310,https://kr.tradingview.com/symbols/KRX-066310/,777억
동운아나텍 *,30550.0,+2.00%,127701.0,3918.0,144732.0,094170,https://kr.tradingview.com/symbols/KRX-094170/,"6,388억"
시공테크 *,4160.0,+1.96%,389093.0,1637.0,124326.0,020710,https://kr.tradingview.com/symbols/KRX-020710/,834억
위지윅스튜디오 *,626.0,+1.46%,576129.0,362.0,742363.0,299900,https://kr.tradingview.com/symbols/KRX-299900/,"1,071억"
에스피지 *,138000.0,+1.40%,497479.0,69087.0,729310.0,058610,https://kr.tradingview.com/symbols/KRX-058610/,"3,605억"
에스코넥 *,663.0,+1.38%,487878.0,326.0,593131.0,096630,https://kr.tradingview.com/symbols/KRX-096630/,526억
케이이엠텍 *,582.0,+1.04%,460380.0,271.0,2623155.0,106080,https://kr.tradingview.com/symbols/KRX-106080/,168억
케이쓰리아이 *,5040.0,+1.00%,80676.0,411.0,125870.0,431190,https://kr.tradingview.com/symbols/KRX-431190/,377억
신도기연 *,1769.0,+0.74%,16624.0,29.0,17863.0,290520,https://kr.tradingview.com/symbols/KRX-290520/,282억
제이씨현시스템 *,4170.0,+0.72%,86922.0,361.0,119105.0,033320,https://kr.tradingview.com/symbols/KRX-033320/,797억
바른손이앤에이 *,329.0,+0.61%,235951.0,77.0,397676.0,035620,https://kr.tradingview.com/symbols/KRX-035620/,245억
이노시뮬레이션 *,3915.0,+0.38%,11452.0,45.0,17286.0,274400,https://kr.tradingview.com/symbols/KRX-274400/,356억
한빛소프트 *,1220.0,+0.25%,119263.0,144.0,25118.0,047080,https://kr.tradingview.com/symbols/KRX-047080/,303억
