종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
SK이터닉스,22600.0,+12.16%,2562101.0,56478.0,443081.0,475150,https://kr.tradingview.com/symbols/KRX-475150/,"7,628억"
태웅 *,30800.0,+8.45%,273985.0,8430.0,184162.0,044490,https://kr.tradingview.com/symbols/KRX-044490/,"6,162억"
효성중공업,2396000.0,+8.37%,63867.0,151983.0,63344.0,298040,https://kr.tradingview.com/symbols/KRX-298040/,"223,416억"
LS머트리얼즈 *,15410.0,+8.22%,917813.0,14043.0,984307.0,417200,https://kr.tradingview.com/symbols/KRX-417200/,"1,425억"
효성,151400.0,+8.14%,34570.0,5142.0,35698.0,004800,https://kr.tradingview.com/symbols/KRX-004800/,"25,345억"
금양그린파워 *,12680.0,+7.64%,3185201.0,43106.0,1888649.0,282720,https://kr.tradingview.com/symbols/KRX-282720/,"1,537억"
두산에너빌리티,95400.0,+7.19%,9843507.0,940449.0,5838705.0,034020,https://kr.tradingview.com/symbols/KRX-034020/,"611,095억"
현대건설,114200.0,+7.13%,2217238.0,254972.0,1070332.0,000720,https://kr.tradingview.com/symbols/KRX-000720/,"127,168억"
LS,226000.0,+5.36%,156910.0,35296.0,192502.0,006260,https://kr.tradingview.com/symbols/KRX-006260/,"71,642억"
LS마린솔루션 *,28950.0,+4.51%,171394.0,4896.0,280075.0,060370,https://kr.tradingview.com/symbols/KRX-060370/,"15,123억"
대명에너지 *,20350.0,+4.47%,369159.0,7528.0,302477.0,389260,https://kr.tradingview.com/symbols/KRX-389260/,"3,646억"
씨에스윈드,43100.0,+4.23%,332011.0,14242.0,289090.0,112610,https://kr.tradingview.com/symbols/KRX-112610/,"18,176억"
LS에코에너지,42500.0,+3.79%,199651.0,8474.0,267915.0,229640,https://kr.tradingview.com/symbols/KRX-229640/,"13,016억"
한전기술,151700.0,+3.76%,655789.0,99386.0,782489.0,052690,https://kr.tradingview.com/symbols/KRX-052690/,"57,980억"
대창솔루션 *,2185.0,+3.55%,244002.0,530.0,374444.0,096350,https://kr.tradingview.com/symbols/KRX-096350/,805억
동국산업 *,2820.0,+3.49%,85142.0,238.0,115169.0,005160,https://kr.tradingview.com/symbols/KRX-005160/,"1,530억"
세아제강지주,141200.0,+3.44%,27504.0,3870.0,19495.0,003030,https://kr.tradingview.com/symbols/KRX-003030/,"5,848억"
우림피티에스 *,16330.0,+3.29%,398784.0,6535.0,679278.0,101170,https://kr.tradingview.com/symbols/KRX-101170/,"2,205억"
한국전력,62600.0,+3.13%,2719421.0,168793.0,2464612.0,015760,https://kr.tradingview.com/symbols/KRX-015760/,"401,870억"
코오롱글로벌,9280.0,+3.00%,34035.0,315.0,51470.0,003070,https://kr.tradingview.com/symbols/KRX-003070/,"2,359억"
씨에스베어링 *,6150.0,+2.84%,231258.0,1422.0,160471.0,297090,https://kr.tradingview.com/symbols/KRX-297090/,"1,677억"
삼영엠텍 *,13570.0,+2.65%,146581.0,1980.0,330931.0,054540,https://kr.tradingview.com/symbols/KRX-054540/,"1,764억"
SK오션플랜트,17270.0,+2.37%,338979.0,5851.0,418129.0,100090,https://kr.tradingview.com/symbols/KRX-100090/,"1,790억"
케이피에프 *,6060.0,+2.19%,144545.0,870.0,192642.0,024880,https://kr.tradingview.com/symbols/KRX-024880/,"1,213억"
동국S&C *,1938.0,+2.16%,118031.0,227.0,143815.0,100130,https://kr.tradingview.com/symbols/KRX-100130/,"1,107억"
포메탈 *,4625.0,+1.87%,206241.0,961.0,323786.0,119500,https://kr.tradingview.com/symbols/KRX-119500/,548억
세진중공업,18050.0,+1.58%,181807.0,3288.0,271402.0,075580,https://kr.tradingview.com/symbols/KRX-075580/,"1,261억"
삼일씨엔에스,6270.0,+1.29%,49388.0,305.0,69201.0,004440,https://kr.tradingview.com/symbols/KRX-004440/,798억
POSCO홀딩스,363500.0,+1.11%,449546.0,163473.0,569731.0,005490,https://kr.tradingview.com/symbols/KRX-005490/,"294,191억"
세아제강,123400.0,+0.82%,7634.0,944.0,10778.0,306200,https://kr.tradingview.com/symbols/KRX-306200/,"3,500억"
우리기술 *,9520.0,+0.32%,10992240.0,104856.0,10896510.0,032820,https://kr.tradingview.com/symbols/KRX-032820/,"15,875억"
유니슨 *,1013.0,-0.49%,2145469.0,2180.0,2325940.0,018000,https://kr.tradingview.com/symbols/KRX-018000/,"2,483억"
스페코 *,2590.0,-0.77%,111557.0,291.0,102628.0,013810,https://kr.tradingview.com/symbols/KRX-013810/,380억
서암기계공업 *,4800.0,-1.23%,163924.0,790.0,158422.0,100660,https://kr.tradingview.com/symbols/KRX-100660/,605억
씨엔플러스 *,316.0,-2.77%,3028939.0,994.0,10940441.0,115530,https://kr.tradingview.com/symbols/KRX-115530/,215억
