종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
제주항공,6090.0,+9.53%,1208880.0,7241.0,326183.0,089590,https://kr.tradingview.com/symbols/KRX-089590/,"4,911억"
현대건설,114200.0,+7.13%,2217238.0,254972.0,1070332.0,000720,https://kr.tradingview.com/symbols/KRX-000720/,"127,168억"
켄코아에어로스페이스 *,26700.0,+6.16%,1226786.0,33097.0,1827903.0,274090,https://kr.tradingview.com/symbols/KRX-274090/,"3,572억"
SK텔레콤,73400.0,+6.07%,1479780.0,108409.0,2886610.0,017670,https://kr.tradingview.com/symbols/KRX-017670/,"157,656억"
파이버프로 *,15920.0,+5.85%,668466.0,10636.0,1188239.0,368770,https://kr.tradingview.com/symbols/KRX-368770/,"5,230억"
KT,59300.0,+5.33%,626248.0,36460.0,704494.0,030200,https://kr.tradingview.com/symbols/KRX-030200/,"149,449억"
GS,71300.0,+5.32%,291646.0,20945.0,216621.0,078930,https://kr.tradingview.com/symbols/KRX-078930/,"66,249억"
LIG넥스원,448000.0,+4.92%,94918.0,42390.0,146588.0,079550,https://kr.tradingview.com/symbols/KRX-079550/,"98,560억"
퍼스텍,4750.0,+3.60%,1194252.0,5660.0,1255271.0,010820,https://kr.tradingview.com/symbols/KRX-010820/,"2,317억"
우수AMS *,3120.0,+3.31%,265637.0,824.0,322675.0,066590,https://kr.tradingview.com/symbols/KRX-066590/,"1,207억"
베셀 *,1158.0,+3.12%,108051.0,124.0,243597.0,177350,https://kr.tradingview.com/symbols/KRX-177350/,228억
대한항공,24200.0,+2.98%,2386143.0,57363.0,2827768.0,003490,https://kr.tradingview.com/symbols/KRX-003490/,"89,109억"
한국항공우주,162600.0,+2.72%,617986.0,100048.0,1359849.0,047810,https://kr.tradingview.com/symbols/KRX-047810/,"158,495억"
넥센타이어,9200.0,+2.68%,407125.0,3732.0,551226.0,002350,https://kr.tradingview.com/symbols/KRX-002350/,"8,985억"
한국카본,35250.0,+2.62%,512760.0,18263.0,482646.0,017960,https://kr.tradingview.com/symbols/KRX-017960/,"18,298억"
카카오,57500.0,+2.31%,1879959.0,108388.0,3889924.0,035720,https://kr.tradingview.com/symbols/KRX-035720/,"254,498억"
현대차,478000.0,+2.25%,1518143.0,726961.0,2023516.0,005380,https://kr.tradingview.com/symbols/KRX-005380/,"978,742억"
남성,820.0,+2.24%,77272.0,62.0,75007.0,004270,https://kr.tradingview.com/symbols/KRX-004270/,297억
지아이에스 *,2590.0,+1.97%,673334.0,1739.0,562697.0,306620,https://kr.tradingview.com/symbols/KRX-306620/,"1,166억"
하이즈항공 *,2865.0,+1.96%,222874.0,624.0,195659.0,221840,https://kr.tradingview.com/symbols/KRX-221840/,536억
서연이화,15140.0,+1.82%,274053.0,4148.0,224623.0,200880,https://kr.tradingview.com/symbols/KRX-200880/,"4,092억"
LG유플러스,15750.0,+1.55%,829476.0,13058.0,1561669.0,032640,https://kr.tradingview.com/symbols/KRX-032640/,"67,698억"
한화시스템,104400.0,+1.36%,1930541.0,202478.0,3168488.0,272210,https://kr.tradingview.com/symbols/KRX-272210/,"197,232억"
기산텔레콤 *,2015.0,+1.26%,39875.0,80.0,53323.0,035460,https://kr.tradingview.com/symbols/KRX-035460/,294억
한화에어로스페이스,1193000.0,+1.02%,275049.0,338107.0,295504.0,012450,https://kr.tradingview.com/symbols/KRX-012450/,"615,151억"
