종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
한화솔루션,47700.0,+13.57%,35966171.0,1688923.0,53082158.0,009830,https://kr.tradingview.com/symbols/KRX-009830/,"81,993억"
이녹스첨단소재 *,42050.0,+11.10%,1617636.0,68347.0,1218737.0,272290,https://kr.tradingview.com/symbols/KRX-272290/,"8,380억"
에스앤에스텍 *,93700.0,+9.85%,325213.0,30133.0,268331.0,101490,https://kr.tradingview.com/symbols/KRX-101490/,"19,991억"
PI첨단소재,20650.0,+9.09%,760791.0,15597.0,468536.0,178920,https://kr.tradingview.com/symbols/KRX-178920/,"6,064억"
율촌화학,28350.0,+6.98%,173235.0,4938.0,60228.0,008730,https://kr.tradingview.com/symbols/KRX-008730/,"7,031억"
풍원정밀 *,14600.0,+6.26%,525583.0,7455.0,888718.0,371950,https://kr.tradingview.com/symbols/KRX-371950/,"3,309억"
솔브레인 *,429000.0,+5.41%,64660.0,27292.0,61448.0,357780,https://kr.tradingview.com/symbols/KRX-357780/,"33,370억"
디이엔티 *,5510.0,+5.15%,137918.0,748.0,137943.0,079810,https://kr.tradingview.com/symbols/KRX-079810/,"1,186억"
후성,8330.0,+4.39%,586192.0,4851.0,555283.0,093370,https://kr.tradingview.com/symbols/KRX-093370/,"8,934억"
켐트로스 *,5850.0,+4.09%,416684.0,2418.0,488242.0,220260,https://kr.tradingview.com/symbols/KRX-220260/,"1,554억"
동진쎄미켐 *,53200.0,+3.50%,580298.0,30635.0,720583.0,005290,https://kr.tradingview.com/symbols/KRX-005290/,"27,353억"
삼양엔씨켐 *,40650.0,+2.91%,381951.0,15187.0,663821.0,482630,https://kr.tradingview.com/symbols/KRX-482630/,"4,449억"
아진산업 *,3460.0,+2.82%,365779.0,1255.0,657811.0,013310,https://kr.tradingview.com/symbols/KRX-013310/,"1,343억"
램테크놀러지 *,3910.0,+2.62%,99201.0,388.0,100002.0,171010,https://kr.tradingview.com/symbols/KRX-171010/,559억
우리로 *,1487.0,+2.34%,411411.0,615.0,666069.0,046970,https://kr.tradingview.com/symbols/KRX-046970/,652억
일지테크 *,5100.0,+2.31%,239530.0,1210.0,293951.0,019540,https://kr.tradingview.com/symbols/KRX-019540/,689억
송원산업,9310.0,+1.75%,79302.0,736.0,80829.0,004430,https://kr.tradingview.com/symbols/KRX-004430/,"2,234억"
경인양행,4730.0,+0.75%,699706.0,3352.0,580447.0,012610,https://kr.tradingview.com/symbols/KRX-012610/,"1,968억"
삼륭물산 *,7000.0,+0.57%,29931.0,209.0,88702.0,014970,https://kr.tradingview.com/symbols/KRX-014970/,"1,059억"
케이피엠테크 *,202.0,-1.94%,519940.0,107.0,653840.0,042040,https://kr.tradingview.com/symbols/KRX-042040/,394억
