종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
두산에너빌리티,95400.0,+7.19%,9843507.0,940449.0,5838705.0,034020,https://kr.tradingview.com/symbols/KRX-034020/,"611,095억"
현대건설,114200.0,+7.13%,2217238.0,254972.0,1070332.0,000720,https://kr.tradingview.com/symbols/KRX-000720/,"127,168억"
케이엔알시스템 *,32100.0,+5.94%,85243.0,2711.0,137135.0,199430,https://kr.tradingview.com/symbols/KRX-199430/,"3,530억"
한텍 *,36500.0,+4.89%,76867.0,2800.0,88648.0,098070,https://kr.tradingview.com/symbols/KRX-098070/,"4,059억"
우진,25500.0,+4.08%,444019.0,11428.0,487378.0,105840,https://kr.tradingview.com/symbols/KRX-105840/,"5,150억"
한전기술,151700.0,+3.76%,655789.0,99386.0,782489.0,052690,https://kr.tradingview.com/symbols/KRX-052690/,"57,980억"
원일티엔아이 *,18750.0,+3.71%,38737.0,727.0,49210.0,136150,https://kr.tradingview.com/symbols/KRX-136150/,"1,571억"
대창솔루션 *,2185.0,+3.55%,244002.0,530.0,374444.0,096350,https://kr.tradingview.com/symbols/KRX-096350/,805억
비츠로테크 *,10230.0,+3.44%,355969.0,3632.0,442170.0,042370,https://kr.tradingview.com/symbols/KRX-042370/,"2,680억"
한전KPS,59000.0,+3.33%,300802.0,17672.0,231157.0,051600,https://kr.tradingview.com/symbols/KRX-051600/,"26,550억"
위드텍 *,9120.0,+3.17%,32210.0,292.0,37227.0,348350,https://kr.tradingview.com/symbols/KRX-348350/,910억
오르비텍 *,4815.0,+2.88%,1415406.0,6799.0,1152503.0,046120,https://kr.tradingview.com/symbols/KRX-046120/,"1,334억"
비에이치아이 *,77100.0,+2.12%,497079.0,38406.0,704111.0,083650,https://kr.tradingview.com/symbols/KRX-083650/,"23,858억"
우리기술 *,9520.0,+0.32%,10992240.0,104856.0,10896510.0,032820,https://kr.tradingview.com/symbols/KRX-032820/,"15,875억"
에스앤더블류 *,3975.0,+0.13%,21224.0,84.0,56221.0,103230,https://kr.tradingview.com/symbols/KRX-103230/,286억
