종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
헥토파이낸셜 *,28800.0,+22.29%,8232405.0,239937.0,1846365.0,234340,https://kr.tradingview.com/symbols/KRX-234340/,"4,024억"
헥토이노베이션 *,24800.0,+20.98%,2472206.0,59766.0,539075.0,214180,https://kr.tradingview.com/symbols/KRX-214180/,"3,222억"
코나아이 *,63200.0,+14.29%,283012.0,17591.0,186507.0,052400,https://kr.tradingview.com/symbols/KRX-052400/,"9,204억"
NHN KCP *,22650.0,+7.86%,2548595.0,58875.0,1244116.0,060250,https://kr.tradingview.com/symbols/KRX-060250/,"9,096억"
브리지텍 *,6160.0,+7.50%,460646.0,2764.0,175360.0,064480,https://kr.tradingview.com/symbols/KRX-064480/,736억
아톤 *,7740.0,+7.35%,920773.0,7086.0,880057.0,158430,https://kr.tradingview.com/symbols/KRX-158430/,"1,895억"
아모텍 *,9480.0,+7.00%,161718.0,1504.0,333815.0,052710,https://kr.tradingview.com/symbols/KRX-052710/,"1,386억"
다날 *,9010.0,+5.38%,10404521.0,95242.0,8902282.0,064260,https://kr.tradingview.com/symbols/KRX-064260/,"6,792억"
KT,59300.0,+5.33%,626248.0,36460.0,704494.0,030200,https://kr.tradingview.com/symbols/KRX-030200/,"149,449억"
한국정보인증 *,6720.0,+5.00%,372374.0,2490.0,396570.0,053300,https://kr.tradingview.com/symbols/KRX-053300/,"2,852억"
갤럭시아머니트리 *,10870.0,+4.82%,356904.0,3883.0,409853.0,094480,https://kr.tradingview.com/symbols/KRX-094480/,"4,264억"
SK,330000.0,+4.76%,222322.0,73014.0,297159.0,034730,https://kr.tradingview.com/symbols/KRX-034730/,"239,259억"
핑거 *,12140.0,+4.39%,141646.0,1729.0,143987.0,163730,https://kr.tradingview.com/symbols/KRX-163730/,"1,142억"
이스트소프트 *,17000.0,+4.29%,82816.0,1400.0,97802.0,047560,https://kr.tradingview.com/symbols/KRX-047560/,"1,995억"
한국전자인증 *,4075.0,+3.43%,227056.0,918.0,125982.0,041460,https://kr.tradingview.com/symbols/KRX-041460/,774억
라온시큐어 *,9580.0,+3.34%,68387.0,654.0,95320.0,042510,https://kr.tradingview.com/symbols/KRX-042510/,"1,073억"
KG모빌리언스 *,5520.0,+2.99%,729289.0,4021.0,249020.0,046440,https://kr.tradingview.com/symbols/KRX-046440/,"2,098억"
웹케시 *,9910.0,+2.91%,64392.0,639.0,104567.0,053580,https://kr.tradingview.com/symbols/KRX-053580/,"1,351억"
한컴위드 *,5390.0,+2.86%,1039343.0,5666.0,1238972.0,054920,https://kr.tradingview.com/symbols/KRX-054920/,"1,521억"
카카오,57500.0,+2.31%,1879959.0,108388.0,3889924.0,035720,https://kr.tradingview.com/symbols/KRX-035720/,"254,498억"
KG이니시스 *,11500.0,+2.22%,99518.0,1147.0,131368.0,035600,https://kr.tradingview.com/symbols/KRX-035600/,"3,169억"
한국정보통신 *,8030.0,+1.01%,12991.0,104.0,24421.0,025770,https://kr.tradingview.com/symbols/KRX-025770/,"3,007억"
이글루 *,5200.0,+0.78%,77996.0,403.0,36713.0,067920,https://kr.tradingview.com/symbols/KRX-067920/,572억
SGA솔루션즈 *,604.0,+0.50%,187968.0,113.0,224787.0,184230,https://kr.tradingview.com/symbols/KRX-184230/,536억
NAVER,250000.0,+0.40%,1426634.0,358265.0,1919017.0,035420,https://kr.tradingview.com/symbols/KRX-035420/,"392,132억"
인포뱅크 *,5650.0,+0.18%,21820.0,124.0,23334.0,039290,https://kr.tradingview.com/symbols/KRX-039290/,491억
이니텍 *,4110.0,+0.12%,47351.0,195.0,172973.0,053350,https://kr.tradingview.com/symbols/KRX-053350/,946억
시큐브 *,3870.0,0.00%,8387.0,33.0,9141.0,131090,https://kr.tradingview.com/symbols/KRX-131090/,310억
성우전자 *,2655.0,-0.75%,309666.0,827.0,263695.0,081580,https://kr.tradingview.com/symbols/KRX-081580/,412억
아이티센피엔에스 *,1993.0,-0.85%,168205.0,337.0,39501.0,232830,https://kr.tradingview.com/symbols/KRX-232830/,330억
가비아 *,31850.0,-2.00%,25150.0,804.0,25714.0,079940,https://kr.tradingview.com/symbols/KRX-079940/,"4,274억"
카카오페이,63600.0,-2.00%,1122278.0,72663.0,913932.0,377300,https://kr.tradingview.com/symbols/KRX-377300/,"85,952억"
