종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
광무 *,2505.0,+10.35%,740232.0,1817.0,192884.0,029480,https://kr.tradingview.com/symbols/KRX-029480/,"1,550억"
엔켐 *,82500.0,+9.56%,273009.0,22183.0,222670.0,348370,https://kr.tradingview.com/symbols/KRX-348370/,"18,026억"
코스모화학,16970.0,+7.34%,405898.0,6824.0,191273.0,005420,https://kr.tradingview.com/symbols/KRX-005420/,"6,518억"
미래산업,13840.0,+7.12%,100509.0,1368.0,49643.0,025560,https://kr.tradingview.com/symbols/KRX-025560/,620억
미래나노텍 *,11980.0,+6.77%,314834.0,3710.0,222890.0,095500,https://kr.tradingview.com/symbols/KRX-095500/,"3,715억"
대보마그네틱 *,13220.0,+5.84%,41420.0,543.0,30433.0,290670,https://kr.tradingview.com/symbols/KRX-290670/,"1,039억"
천보 *,54600.0,+5.81%,160831.0,8622.0,100798.0,278280,https://kr.tradingview.com/symbols/KRX-278280/,"6,427억"
포스코엠텍 *,19980.0,+5.55%,367449.0,7299.0,299620.0,009520,https://kr.tradingview.com/symbols/KRX-009520/,"8,320억"
성일하이텍 *,63600.0,+5.47%,57735.0,3628.0,86844.0,365340,https://kr.tradingview.com/symbols/KRX-365340/,"7,782억"
새빗켐 *,34050.0,+5.09%,38240.0,1296.0,54532.0,107600,https://kr.tradingview.com/symbols/KRX-107600/,"1,917억"
중앙첨단소재 *,2390.0,+5.05%,1450635.0,3457.0,1926342.0,051980,https://kr.tradingview.com/symbols/KRX-051980/,"2,655억"
후성,8330.0,+4.39%,586192.0,4851.0,555283.0,093370,https://kr.tradingview.com/symbols/KRX-093370/,"8,934억"
포스코퓨처엠,225500.0,+3.44%,396828.0,89036.0,441504.0,003670,https://kr.tradingview.com/symbols/KRX-003670/,"20,574억"
유일에너테크 *,1388.0,+3.35%,2602495.0,3655.0,2013113.0,340930,https://kr.tradingview.com/symbols/KRX-340930/,956억
강원에너지 *,16040.0,+3.28%,251949.0,4049.0,241953.0,114190,https://kr.tradingview.com/symbols/KRX-114190/,"4,190억"
세방전지,65000.0,+3.17%,38943.0,2513.0,47677.0,004490,https://kr.tradingview.com/symbols/KRX-004490/,"9,009억"
LG에너지솔루션,394500.0,+2.47%,230057.0,90378.0,265446.0,373220,https://kr.tradingview.com/symbols/KRX-373220/,"923,130억"
에코프로 *,159300.0,+2.25%,3691114.0,585879.0,3372413.0,086520,https://kr.tradingview.com/symbols/KRX-086520/,"216,291억"
LG화학,310500.0,+2.14%,259118.0,80386.0,266373.0,051910,https://kr.tradingview.com/symbols/KRX-051910/,"219,189억"
리튬포어스 *,870.0,+1.64%,225856.0,197.0,304567.0,073570,https://kr.tradingview.com/symbols/KRX-073570/,524억
POSCO홀딩스,363500.0,+1.11%,449546.0,163473.0,569731.0,005490,https://kr.tradingview.com/symbols/KRX-005490/,"294,191억"
하이드로리튬 *,2290.0,+0.66%,1181907.0,2694.0,1172274.0,101670,https://kr.tradingview.com/symbols/KRX-101670/,"1,294억"
앱튼 *,338.0,-5.85%,4712748.0,1608.0,4000497.0,270520,https://kr.tradingview.com/symbols/KRX-270520/,664억
