종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
에코프로에이치엔 *,37700.0,+11.21%,802001.0,30275.0,289678.0,383310,https://kr.tradingview.com/symbols/KRX-383310/,"7,908억"
에이치엠넥스 *,1798.0,+10.58%,1272995.0,2222.0,1272843.0,036170,https://kr.tradingview.com/symbols/KRX-036170/,"1,103억"
미코 *,18350.0,+8.07%,614857.0,11136.0,697975.0,059090,https://kr.tradingview.com/symbols/KRX-059090/,"6,132억"
TKG휴켐스,21200.0,+4.95%,323817.0,6887.0,122460.0,069260,https://kr.tradingview.com/symbols/KRX-069260/,"8,666억"
에어레인 *,12900.0,+4.62%,80203.0,1023.0,112989.0,163280,https://kr.tradingview.com/symbols/KRX-163280/,877억
SJG세종,10630.0,+4.42%,351035.0,3689.0,501279.0,033530,https://kr.tradingview.com/symbols/KRX-033530/,"2,957억"
후성,8330.0,+4.39%,586192.0,4851.0,555283.0,093370,https://kr.tradingview.com/symbols/KRX-093370/,"8,934억"
켐트로스 *,5850.0,+4.09%,416684.0,2418.0,488242.0,220260,https://kr.tradingview.com/symbols/KRX-220260/,"1,554억"
그린케미칼,6230.0,+2.81%,66720.0,414.0,61437.0,083420,https://kr.tradingview.com/symbols/KRX-083420/,"1,495억"
에코아이 *,10300.0,+2.49%,18154.0,187.0,32642.0,448280,https://kr.tradingview.com/symbols/KRX-448280/,"3,052억"
에코프로 *,159300.0,+2.25%,3691114.0,585879.0,3372413.0,086520,https://kr.tradingview.com/symbols/KRX-086520/,"216,291억"
유니드,81600.0,+2.00%,24952.0,2029.0,53902.0,014830,https://kr.tradingview.com/symbols/KRX-014830/,"5,522억"
SGC에너지,29100.0,+1.75%,186754.0,5480.0,253728.0,005090,https://kr.tradingview.com/symbols/KRX-005090/,"4,193억"
한솔홈데코,608.0,+0.83%,207245.0,125.0,256774.0,025750,https://kr.tradingview.com/symbols/KRX-025750/,490억
동방,2520.0,0.00%,431964.0,1093.0,688947.0,004140,https://kr.tradingview.com/symbols/KRX-004140/,"1,209억"
이건산업,4720.0,-0.42%,104441.0,498.0,109256.0,008250,https://kr.tradingview.com/symbols/KRX-008250/,517억
에코바이오 *,3145.0,-1.10%,157786.0,495.0,321936.0,038870,https://kr.tradingview.com/symbols/KRX-038870/,441억
