종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
비엘팜텍 *,6300.0,+26.00%,16640680.0,82415.0,34072062.0,065170,https://kr.tradingview.com/symbols/KRX-065170/,"1,681억"
삼성물산,312500.0,+7.94%,561474.0,173107.0,779733.0,028260,https://kr.tradingview.com/symbols/KRX-028260/,"531,177억"
GS,71300.0,+5.32%,291646.0,20945.0,216621.0,078930,https://kr.tradingview.com/symbols/KRX-078930/,"66,249억"
LX인터내셔널,42750.0,+4.52%,201610.0,8575.0,140539.0,001120,https://kr.tradingview.com/symbols/KRX-001120/,"16,570억"
SK이노베이션,109700.0,+3.30%,310740.0,34021.0,416129.0,096770,https://kr.tradingview.com/symbols/KRX-096770/,"185,451억"
큐로홀딩스 *,1080.0,+2.86%,153184.0,165.0,167023.0,051780,https://kr.tradingview.com/symbols/KRX-051780/,279억
엘컴텍 *,829.0,+1.84%,228490.0,189.0,638786.0,037950,https://kr.tradingview.com/symbols/KRX-037950/,700억
GS글로벌,2420.0,+1.68%,627229.0,1509.0,528684.0,001250,https://kr.tradingview.com/symbols/KRX-001250/,"1,997억"
현대코퍼레이션,24750.0,+1.64%,61140.0,1508.0,82793.0,011760,https://kr.tradingview.com/symbols/KRX-011760/,"3,274억"
한국가스공사,41400.0,+1.60%,351802.0,14535.0,283151.0,036460,https://kr.tradingview.com/symbols/KRX-036460/,"38,218억"
대성산업,8560.0,+1.54%,3246026.0,28621.0,4840723.0,128820,https://kr.tradingview.com/symbols/KRX-128820/,"3,872억"
에스아이리소스 *,212.0,+1.44%,675886.0,142.0,880246.0,065420,https://kr.tradingview.com/symbols/KRX-065420/,152억
서울가스,64800.0,+0.47%,3568.0,231.0,9238.0,017390,https://kr.tradingview.com/symbols/KRX-017390/,"3,240억"
포스코인터내셔널,64000.0,0.00%,551767.0,35335.0,642609.0,047050,https://kr.tradingview.com/symbols/KRX-047050/,"112,591억"
