종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
필옵틱스 *,54100.0,+12.47%,568516.0,29855.0,515306.0,161580,https://kr.tradingview.com/symbols/KRX-161580/,"12,661억"
제이앤티씨 *,24050.0,+11.86%,372554.0,8793.0,332904.0,204270,https://kr.tradingview.com/symbols/KRX-204270/,"13,913억"
기가비스 *,65100.0,+11.28%,315777.0,20278.0,182568.0,420770,https://kr.tradingview.com/symbols/KRX-420770/,"8,252억"
아이씨디 *,4550.0,+8.59%,154012.0,675.0,42177.0,040910,https://kr.tradingview.com/symbols/KRX-040910/,845억
한빛레이저 *,4960.0,+8.53%,456482.0,2233.0,220596.0,452190,https://kr.tradingview.com/symbols/KRX-452190/,"1,159억"
켐트로닉스 *,35000.0,+7.69%,321510.0,11100.0,291523.0,089010,https://kr.tradingview.com/symbols/KRX-089010/,"5,719억"
씨앤지하이테크 *,20300.0,+7.58%,802074.0,16135.0,476005.0,264660,https://kr.tradingview.com/symbols/KRX-264660/,"1,973억"
에프엔에스테크 *,17000.0,+7.46%,254554.0,4312.0,204185.0,083500,https://kr.tradingview.com/symbols/KRX-083500/,"1,458억"
삼성전기,304000.0,+7.04%,685190.0,205546.0,545238.0,009150,https://kr.tradingview.com/symbols/KRX-009150/,"227,069억"
아이비젼웍스 *,1434.0,+6.07%,1147406.0,1632.0,855202.0,469750,https://kr.tradingview.com/symbols/KRX-469750/,494억
태성 *,77600.0,+6.01%,369276.0,28171.0,444838.0,323280,https://kr.tradingview.com/symbols/KRX-323280/,"23,697억"
SKC,114000.0,+5.95%,339475.0,38444.0,309556.0,011790,https://kr.tradingview.com/symbols/KRX-011790/,"43,170억"
미래컴퍼니 *,17840.0,+5.94%,83739.0,1476.0,75421.0,049950,https://kr.tradingview.com/symbols/KRX-049950/,"1,573억"
와이씨켐 *,24350.0,+5.87%,268928.0,6465.0,185477.0,112290,https://kr.tradingview.com/symbols/KRX-112290/,"2,462억"
하스 *,6120.0,+5.34%,40075.0,238.0,15992.0,450330,https://kr.tradingview.com/symbols/KRX-450330/,501억
HB테크놀러지 *,2215.0,+5.23%,2763780.0,6036.0,1996622.0,078150,https://kr.tradingview.com/symbols/KRX-078150/,"2,054억"
피아이이 *,6980.0,+4.80%,632278.0,4386.0,388928.0,452450,https://kr.tradingview.com/symbols/KRX-452450/,"2,504억"
나인테크 *,3180.0,+4.26%,678441.0,2149.0,929942.0,267320,https://kr.tradingview.com/symbols/KRX-267320/,"1,826억"
램테크놀러지 *,3910.0,+2.62%,99201.0,388.0,100002.0,171010,https://kr.tradingview.com/symbols/KRX-171010/,559억
이노메트리 *,7860.0,+2.61%,75688.0,591.0,85802.0,302430,https://kr.tradingview.com/symbols/KRX-302430/,773억
