종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
비츠로시스 *,577.0,+21.22%,32934334.0,19036.0,2019535.0,054220,https://kr.tradingview.com/symbols/KRX-054220/,346억
일진전기,71800.0,+12.72%,1082805.0,77035.0,433642.0,103590,https://kr.tradingview.com/symbols/KRX-103590/,"34,238억"
비츠로셀 *,21900.0,+11.73%,565083.0,12051.0,255802.0,082920,https://kr.tradingview.com/symbols/KRX-082920/,"9,929억"
LS ELECTRIC,646000.0,+8.57%,253376.0,162910.0,220679.0,010120,https://kr.tradingview.com/symbols/KRX-010120/,"193,800억"
삼화콘덴서,33050.0,+6.61%,134674.0,4420.0,72872.0,001820,https://kr.tradingview.com/symbols/KRX-001820/,"3,436억"
일진홀딩스,7590.0,+6.15%,237927.0,1786.0,220312.0,015860,https://kr.tradingview.com/symbols/KRX-015860/,"3,745억"
CS *,856.0,+5.03%,222049.0,187.0,221161.0,065770,https://kr.tradingview.com/symbols/KRX-065770/,166억
지투파워 *,9520.0,+4.85%,2465270.0,23762.0,857813.0,388050,https://kr.tradingview.com/symbols/KRX-388050/,"1,781억"
아모그린텍 *,7440.0,+4.79%,152829.0,1130.0,148255.0,125210,https://kr.tradingview.com/symbols/KRX-125210/,"1,227억"
포스코DX,39150.0,+4.26%,833517.0,32577.0,865158.0,022100,https://kr.tradingview.com/symbols/KRX-022100/,"59,522억"
스맥 *,5970.0,+3.47%,818788.0,4829.0,1124750.0,099440,https://kr.tradingview.com/symbols/KRX-099440/,"4,074억"
서전기전 *,4195.0,+2.94%,121759.0,507.0,121884.0,189860,https://kr.tradingview.com/symbols/KRX-189860/,407억
한전산업,17300.0,+2.79%,1187252.0,20663.0,1534323.0,130660,https://kr.tradingview.com/symbols/KRX-130660/,"5,640억"
아이앤씨 *,3140.0,+0.96%,212527.0,665.0,197958.0,052860,https://kr.tradingview.com/symbols/KRX-052860/,561억
누리플렉스 *,6250.0,+0.64%,95301.0,589.0,423365.0,040160,https://kr.tradingview.com/symbols/KRX-040160/,753억
코콤 *,3425.0,+0.59%,19585.0,67.0,25145.0,015710,https://kr.tradingview.com/symbols/KRX-015710/,600억
옴니시스템 *,857.0,+0.12%,441840.0,380.0,403203.0,057540,https://kr.tradingview.com/symbols/KRX-057540/,509억
인스코비,599.0,0.00%,722693.0,435.0,585151.0,006490,https://kr.tradingview.com/symbols/KRX-006490/,754억
피앤씨테크 *,5400.0,-4.42%,117874.0,636.0,419053.0,237750,https://kr.tradingview.com/symbols/KRX-237750/,351억
피에스텍 *,13200.0,-4.83%,702679.0,9393.0,662877.0,002230,https://kr.tradingview.com/symbols/KRX-002230/,"2,544억"
