종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
인텔리안테크 *,128400.0,+29.96%,587790.0,72610.0,329781.0,189300,https://kr.tradingview.com/symbols/KRX-189300/,"13,782억"
웨이비스 *,18130.0,+18.57%,1420231.0,24622.0,317103.0,289930,https://kr.tradingview.com/symbols/KRX-289930/,"2,270억"
라이콤 *,2855.0,+14.66%,4093058.0,11562.0,269740.0,388790,https://kr.tradingview.com/symbols/KRX-388790/,874억
한울소재과학 *,3090.0,+10.95%,426066.0,1283.0,91513.0,091440,https://kr.tradingview.com/symbols/KRX-091440/,953억
RF머트리얼즈 *,40350.0,+8.47%,286602.0,11759.0,222537.0,327260,https://kr.tradingview.com/symbols/KRX-327260/,"3,406억"
이노와이어리스 *,34550.0,+7.97%,263042.0,8860.0,263760.0,073490,https://kr.tradingview.com/symbols/KRX-073490/,"2,627억"
자람테크놀로지 *,45350.0,+7.34%,386022.0,17163.0,225641.0,389020,https://kr.tradingview.com/symbols/KRX-389020/,"2,811억"
RFHIC *,49100.0,+6.51%,446308.0,21637.0,381464.0,218410,https://kr.tradingview.com/symbols/KRX-218410/,"13,013억"
서진시스템 *,35650.0,+5.63%,884054.0,30921.0,914231.0,178320,https://kr.tradingview.com/symbols/KRX-178320/,"2,396억"
빛샘전자 *,6010.0,+5.62%,188750.0,1123.0,73342.0,072950,https://kr.tradingview.com/symbols/KRX-072950/,484억
CS *,856.0,+5.03%,222049.0,187.0,221161.0,065770,https://kr.tradingview.com/symbols/KRX-065770/,166억
오이솔루션 *,16780.0,+4.61%,237178.0,3960.0,229037.0,138080,https://kr.tradingview.com/symbols/KRX-138080/,"1,996억"
LS마린솔루션 *,28950.0,+4.51%,171394.0,4896.0,280075.0,060370,https://kr.tradingview.com/symbols/KRX-060370/,"15,123억"
유비쿼스 *,13080.0,+4.39%,129328.0,1684.0,183165.0,264450,https://kr.tradingview.com/symbols/KRX-264450/,"1,918억"
케이엠더블유 *,19200.0,+4.35%,250440.0,4765.0,307588.0,032500,https://kr.tradingview.com/symbols/KRX-032500/,"7,859억"
우리넷 *,7760.0,+4.30%,199660.0,1531.0,156941.0,115440,https://kr.tradingview.com/symbols/KRX-115440/,838억
휴먼테크놀로지 *,4460.0,+3.96%,98937.0,439.0,50840.0,175140,https://kr.tradingview.com/symbols/KRX-175140/,"1,113억"
웨이브일렉트로 *,4460.0,+3.84%,32686.0,146.0,48109.0,095270,https://kr.tradingview.com/symbols/KRX-095270/,641억
에치에프알 *,16670.0,+3.41%,273279.0,4539.0,425809.0,230240,https://kr.tradingview.com/symbols/KRX-230240/,"2,219억"
한국첨단소재 *,2590.0,+3.39%,336944.0,870.0,337634.0,062970,https://kr.tradingview.com/symbols/KRX-062970/,597억
