종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
셀루메드 *,1900.0,+26.41%,8696276.0,15513.0,957599.0,049180,https://kr.tradingview.com/symbols/KRX-049180/,"1,044억"
파미셀,14710.0,+9.86%,1565195.0,22553.0,494334.0,005690,https://kr.tradingview.com/symbols/KRX-005690/,"8,828억"
올릭스 *,134000.0,+9.48%,287370.0,37148.0,476537.0,226950,https://kr.tradingview.com/symbols/KRX-226950/,"27,054억"
에스티팜 *,154800.0,+5.52%,329444.0,51692.0,174855.0,237690,https://kr.tradingview.com/symbols/KRX-237690/,"32,097억"
나이벡 *,32100.0,+4.05%,70746.0,2245.0,102619.0,138610,https://kr.tradingview.com/symbols/KRX-138610/,"3,648억"
큐라티스 *,1087.0,+3.62%,164614.0,176.0,316362.0,348080,https://kr.tradingview.com/symbols/KRX-348080/,889억
한미사이언스,47900.0,+3.12%,327252.0,15710.0,348633.0,008930,https://kr.tradingview.com/symbols/KRX-008930/,"32,760억"
녹십자,169400.0,+3.10%,63477.0,10775.0,55750.0,006280,https://kr.tradingview.com/symbols/KRX-006280/,"19,797억"
아이진 *,1493.0,+2.75%,156790.0,230.0,159359.0,185490,https://kr.tradingview.com/symbols/KRX-185490/,645억
엔지켐생명과학 *,1237.0,+2.49%,387969.0,475.0,542596.0,183490,https://kr.tradingview.com/symbols/KRX-183490/,"1,052억"
한미약품,563000.0,+1.99%,164953.0,91086.0,252614.0,128940,https://kr.tradingview.com/symbols/KRX-128940/,"72,126억"
서린바이오 *,6300.0,+1.61%,25179.0,159.0,40042.0,038070,https://kr.tradingview.com/symbols/KRX-038070/,573억
이연제약,11600.0,+0.09%,51870.0,599.0,69637.0,102460,https://kr.tradingview.com/symbols/KRX-102460/,"2,156억"
아미노로직스 *,1566.0,-0.63%,352668.0,555.0,553578.0,074430,https://kr.tradingview.com/symbols/KRX-074430/,"1,375억"
진원생명과학,1883.0,-5.80%,3157577.0,6051.0,3043130.0,011000,https://kr.tradingview.com/symbols/KRX-011000/,"1,608억"
