종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
하이비젼시스템 *,19200.0,+13.81%,593639.0,11073.0,157363.0,126700,https://kr.tradingview.com/symbols/KRX-126700/,"2,869억"
에스티아이 *,36500.0,+8.63%,483501.0,17509.0,278849.0,039440,https://kr.tradingview.com/symbols/KRX-039440/,"5,660억"
티앤알바이오팹 *,3300.0,+5.60%,400406.0,1313.0,425174.0,246710,https://kr.tradingview.com/symbols/KRX-246710/,"1,570억"
로보스타 *,78500.0,+4.53%,81459.0,6394.0,148591.0,090360,https://kr.tradingview.com/symbols/KRX-090360/,"7,654억"
로킷헬스케어 *,54200.0,+3.63%,235752.0,12735.0,401213.0,376900,https://kr.tradingview.com/symbols/KRX-376900/,"8,489억"
스맥 *,5970.0,+3.47%,818788.0,4829.0,1124750.0,099440,https://kr.tradingview.com/symbols/KRX-099440/,"4,074억"
모아텍 *,3600.0,+1.55%,25869.0,92.0,15593.0,033200,https://kr.tradingview.com/symbols/KRX-033200/,516억
코렌텍 *,6590.0,+1.38%,67404.0,442.0,115492.0,104540,https://kr.tradingview.com/symbols/KRX-104540/,843억
휴림로봇 *,13920.0,+1.09%,8672716.0,122565.0,27235479.0,090710,https://kr.tradingview.com/symbols/KRX-090710/,"16,628억"
링크솔루션 *,75000.0,+0.81%,417565.0,31141.0,775479.0,474650,https://kr.tradingview.com/symbols/KRX-474650/,"4,218억"
TPC *,4095.0,-2.03%,899070.0,3666.0,1888551.0,048770,https://kr.tradingview.com/symbols/KRX-048770/,643억
