종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,차트링크
카카오,035720,+1.39%,108940,1863119,거래대금,108940,7,AI 챗봇(챗GPT 등),두나무(Dunamu),웹툰,음성인식,인터넷 대표주,인터넷은행,카카오뱅크(kakao BANK),https://kr.tradingview.com/symbols/KRX-035720/
NAVER,035420,+1.60%,377032,1475536,거래대금,377032,4,AI 챗봇(챗GPT 등),웹툰,음성인식,인터넷 대표주,,,,https://kr.tradingview.com/symbols/KRX-035420/
KB금융,105560,+2.71%,293640,1875041,거래대금,293640,4,STO(토큰증권 발행),은행,인터넷은행,카카오뱅크(kakao BANK),,,,https://kr.tradingview.com/symbols/KRX-105560/
이마트,139480,+9.50%,202026,1723986,거래대금,202026,4,부동산 보유 자산주,소매유통,편의점,호텔/리조트,,,,https://kr.tradingview.com/symbols/KRX-139480/
대우건설,047040,+22.36%,361657,51272010,거래대금,361657,3,GTX(수도권 광역급행철도),건설 대표주,수자원(양적/질적 개선),,,,,https://kr.tradingview.com/symbols/KRX-047040/
비엘팜텍,065170,+8.73%,256749,36734788,거래대금,256749,3,건강기능식품,마리화나(대마),자원개발,,,,,https://kr.tradingview.com/symbols/KRX-065170/
카카오뱅크,323410,+3.01%,177862,6375668,거래대금,177862,3,은행,인터넷은행,카카오뱅크(kakao BANK),,,,,https://kr.tradingview.com/symbols/KRX-323410/
삼천당제약,000250,-5.00%,166983,329715,거래대금,166983,3,바이오시밀러(복제 바이오의약품),비만치료제,제약업체,,,,,https://kr.tradingview.com/symbols/KRX-000250/
하나금융지주,086790,+2.86%,130625,1056956,거래대금,130625,3,STO(토큰증권 발행),은행,토스(toss),,,,,https://kr.tradingview.com/symbols/KRX-086790/
한미약품,128940,+4.97%,129978,219899,거래대금,129978,3,바이오시밀러(복제 바이오의약품),비만치료제,제약업체,,,,,https://kr.tradingview.com/symbols/KRX-128940/
신한지주,055550,+4.82%,146509,1501360,거래대금,146509,2,STO(토큰증권 발행),은행,,,,,,https://kr.tradingview.com/symbols/KRX-055550/
코데즈컴바인,047770,+3.96%,129571,31062920,거래대금,129571,2,日제품 불매운동(수혜),패션/의류,,,,,,https://kr.tradingview.com/symbols/KRX-047770/
우리금융지주,316140,+3.04%,107044,2991759,거래대금,107044,2,밸류업(26년 기업가치 제고계획 발표),은행,,,,,,https://kr.tradingview.com/symbols/KRX-316140/
LG화학,051910,+3.38%,104699,328782,거래대금,104699,2,바이오시밀러(복제 바이오의약품),비만치료제,,,,,,https://kr.tradingview.com/symbols/KRX-051910/
