종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
유라클 *,14830.0,+10.01%,607623.0,9163.0,54625.0,088340,https://kr.tradingview.com/symbols/KRX-088340/,647억,2026.02.09,0,15458
서울옥션 *,8410.0,+7.82%,1972960.0,17018.0,76904.0,063170,https://kr.tradingview.com/symbols/KRX-063170/,"1,495억",2026.02.09,-8,19274
NH투자증권,28450.0,+6.36%,1580715.0,44776.0,1025337.0,005940,https://kr.tradingview.com/symbols/KRX-005940/,"101,380억",2026.02.09,97233,16971
한국금융지주,235500.0,+5.37%,322751.0,75963.0,292236.0,071050,https://kr.tradingview.com/symbols/KRX-071050/,"131,235억",2026.02.09,79657,-13180
신한지주,97900.0,+4.82%,1501360.0,146509.0,1997017.0,055550,https://kr.tradingview.com/symbols/KRX-055550/,"475,300억",2026.02.09,242759,-287075
교보증권,12690.0,+4.70%,142050.0,1778.0,197593.0,030610,https://kr.tradingview.com/symbols/KRX-030610/,"14,462억",2026.02.09,49120,19795
케이옥션 *,3900.0,+4.00%,896877.0,3542.0,78451.0,102370,https://kr.tradingview.com/symbols/KRX-102370/,"1,062억",2026.02.09,0,26985
유진투자증권,4355.0,+3.69%,1649129.0,7121.0,1273543.0,001200,https://kr.tradingview.com/symbols/KRX-001200/,"4,219억",2026.02.09,17101,-13399
SK증권,936.0,+3.65%,27671995.0,25901.0,41196481.0,001510,https://kr.tradingview.com/symbols/KRX-001510/,"4,423억",2026.02.09,150492,-1765565
뱅크웨어글로벌 *,5700.0,+3.64%,86817.0,489.0,201245.0,199480,https://kr.tradingview.com/symbols/KRX-199480/,581억,2026.02.09,0,16096
하나금융지주,122200.0,+2.86%,1056956.0,130625.0,948117.0,086790,https://kr.tradingview.com/symbols/KRX-086790/,"34,114억",2026.02.09,110996,-35586
KB금융,155500.0,+2.71%,1875041.0,293640.0,1668370.0,105560,https://kr.tradingview.com/symbols/KRX-105560/,"579,782억",2026.02.09,344012,-366240
아이티센글로벌 *,49800.0,+2.05%,323627.0,16428.0,227109.0,124500,https://kr.tradingview.com/symbols/KRX-124500/,"11,556억",2026.02.09,-28600,16088
한국정보인증 *,6850.0,+1.93%,698174.0,4825.0,373315.0,053300,https://kr.tradingview.com/symbols/KRX-053300/,"2,907억",2026.02.09,-497,122546
키움증권,449000.0,+1.24%,114813.0,51325.0,176528.0,039490,https://kr.tradingview.com/symbols/KRX-039490/,"121,734억",2026.02.09,21548,3805
코리아에셋투자증권 *,7870.0,+1.03%,17770.0,140.0,15507.0,190650,https://kr.tradingview.com/symbols/KRX-190650/,503억,2026.02.09,0,-1560
헥토파이낸셜 *,29050.0,+0.87%,2454203.0,72112.0,8293806.0,234340,https://kr.tradingview.com/symbols/KRX-234340/,"4,058억",2026.02.09,-57989,8669
한화투자증권,6370.0,+0.63%,4638901.0,29769.0,3904201.0,003530,https://kr.tradingview.com/symbols/KRX-003530/,"13,667억",2026.02.09,85146,192454
갤럭시아에스엠,1933.0,+0.57%,124409.0,240.0,182357.0,011420,https://kr.tradingview.com/symbols/KRX-011420/,533억,2026.02.09,-77,29410
핑거 *,12190.0,+0.41%,150603.0,1857.0,142040.0,163730,https://kr.tradingview.com/symbols/KRX-163730/,"1,147억",2026.02.09,-53,15250
갤럭시아머니트리 *,10900.0,+0.28%,319431.0,3518.0,356904.0,094480,https://kr.tradingview.com/symbols/KRX-094480/,"4,276억",2026.02.09,-265,68120
우리기술투자 *,7860.0,-0.38%,636778.0,5014.0,867815.0,041190,https://kr.tradingview.com/symbols/KRX-041190/,"6,602억",2026.02.09,56182,254818
다날 *,8910.0,-1.11%,3890670.0,35280.0,10480458.0,064260,https://kr.tradingview.com/symbols/KRX-064260/,"6,716억",2026.02.09,-21270,1029474
아톤 *,7600.0,-1.81%,524953.0,4047.0,928594.0,158430,https://kr.tradingview.com/symbols/KRX-158430/,"1,861억",2026.02.09,-197,164178
아이티아이즈 *,5000.0,-2.72%,132729.0,666.0,91712.0,372800,https://kr.tradingview.com/symbols/KRX-372800/,352억,2026.02.09,-26467,19788
