종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
신한지주,97900.0,+4.82%,1501360.0,146509.0,1997017.0,055550,https://kr.tradingview.com/symbols/KRX-055550/,"475,300억",2026.02.09,242759,-287075
iM금융지주,18510.0,+3.58%,658441.0,12107.0,640320.0,139130,https://kr.tradingview.com/symbols/KRX-139130/,"29,732억",2026.02.09,111697,4193
우리금융지주,35600.0,+3.04%,2991759.0,107044.0,2950430.0,316140,https://kr.tradingview.com/symbols/KRX-316140/,"261,331억",2026.02.09,371271,208270
카카오뱅크,27400.0,+3.01%,6375668.0,177862.0,2791098.0,323410,https://kr.tradingview.com/symbols/KRX-323410/,"13,701억",2026.02.09,634662,49428
하나금융지주,122200.0,+2.86%,1056956.0,130625.0,948117.0,086790,https://kr.tradingview.com/symbols/KRX-086790/,"34,114억",2026.02.09,110996,-35586
기업은행,24150.0,+2.77%,1211168.0,29203.0,1802196.0,024110,https://kr.tradingview.com/symbols/KRX-024110/,"192,578억",2026.02.09,41205,324480
KB금융,155500.0,+2.71%,1875041.0,293640.0,1668370.0,105560,https://kr.tradingview.com/symbols/KRX-105560/,"579,782억",2026.02.09,344012,-366240
BNK금융지주,19700.0,+1.29%,973305.0,19153.0,1472985.0,138930,https://kr.tradingview.com/symbols/KRX-138930/,"61,134억",2026.02.09,148332,-52791
JB금융지주,29800.0,+0.85%,391415.0,11694.0,769342.0,175330,https://kr.tradingview.com/symbols/KRX-175330/,"56,586억",2026.02.09,-205856,-49001
제주은행,15450.0,-1.90%,409106.0,6353.0,1270531.0,006220,https://kr.tradingview.com/symbols/KRX-006220/,"5,840억",2026.02.09,91320,207068
