종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
BYC,54100.0,+13.66%,33582.0,1682.0,23701.0,001460,https://kr.tradingview.com/symbols/KRX-001460/,"3,379억",2026.02.09,-51,4694
이마트,117600.0,+9.50%,1723986.0,202026.0,763834.0,139480,https://kr.tradingview.com/symbols/KRX-139480/,"32,453억",2026.02.09,15428,1667
HDC현대산업개발,23550.0,+7.53%,836674.0,19290.0,736310.0,294870,https://kr.tradingview.com/symbols/KRX-294870/,"15,521억",2026.02.09,38028,110180
신세계,376500.0,+6.06%,114129.0,43102.0,132753.0,004170,https://kr.tradingview.com/symbols/KRX-004170/,"36,314억",2026.02.09,34710,-448
KCTC,7500.0,+5.78%,2796806.0,21037.0,1862206.0,009070,https://kr.tradingview.com/symbols/KRX-009070/,"2,250억",2026.02.09,-216,2820
세이브존I&C,3375.0,+4.17%,472809.0,1591.0,504024.0,067830,https://kr.tradingview.com/symbols/KRX-067830/,"1,385억",2026.02.09,-45433,2914
경방,10730.0,+3.57%,939418.0,10246.0,755798.0,000050,https://kr.tradingview.com/symbols/KRX-000050/,"2,942억",2026.02.09,-231,62676
서부T&D *,18300.0,+2.81%,810255.0,14787.0,1039800.0,006730,https://kr.tradingview.com/symbols/KRX-006730/,"11,882억",2026.02.09,70821,31467
대성산업,8800.0,+2.80%,2069594.0,18574.0,3294786.0,128820,https://kr.tradingview.com/symbols/KRX-128820/,"3,981억",2026.02.09,69170,136605
일신방직,14380.0,+2.20%,60654.0,853.0,80443.0,003200,https://kr.tradingview.com/symbols/KRX-003200/,"3,302억",2026.02.09,-696,14847
동원산업,44000.0,+2.09%,93768.0,4096.0,90665.0,006040,https://kr.tradingview.com/symbols/KRX-006040/,"19,425억",2026.02.09,17386,27312
DI동일,21400.0,+1.90%,75561.0,1590.0,59180.0,001530,https://kr.tradingview.com/symbols/KRX-001530/,"4,222억",2026.02.09,-773,19237
신영와코루,17180.0,+1.72%,11849.0,202.0,17867.0,005800,https://kr.tradingview.com/symbols/KRX-005800/,"1,546억",2026.02.09,-1969,153
방림,5950.0,-0.34%,118657.0,707.0,329185.0,003610,https://kr.tradingview.com/symbols/KRX-003610/,"2,392억",2026.02.09,-5805,12123
아이에스동서,29250.0,-1.02%,195863.0,5738.0,364573.0,010780,https://kr.tradingview.com/symbols/KRX-010780/,"8,830억",2026.02.09,94360,-61580
천일고속,294500.0,-1.83%,12095.0,3574.0,16301.0,000650,https://kr.tradingview.com/symbols/KRX-000650/,"4,209억",2026.02.09,-22,311
롯데칠성,138400.0,-3.01%,24525.0,3424.0,64679.0,005300,https://kr.tradingview.com/symbols/KRX-005300/,"12,842억",2026.02.09,-5770,3097
하림지주 *,16190.0,-3.34%,2656653.0,44048.0,6215297.0,003380,https://kr.tradingview.com/symbols/KRX-003380/,"18,134억",2026.02.09,61925,147259
신도리코,56400.0,-4.08%,29662.0,1695.0,30933.0,029530,https://kr.tradingview.com/symbols/KRX-029530/,"5,685억",2026.02.09,-3900,1450
동양고속,57400.0,-4.17%,117219.0,6844.0,198379.0,084670,https://kr.tradingview.com/symbols/KRX-084670/,"1,662억",2026.02.09,-55,3658
삼표시멘트 *,16120.0,-4.39%,29411114.0,451914.0,26002324.0,038500,https://kr.tradingview.com/symbols/KRX-038500/,"17,396억",2026.02.09,-7796,-61933
SG세계물산,433.0,-5.87%,16154216.0,7051.0,29970086.0,004060,https://kr.tradingview.com/symbols/KRX-004060/,876억,2026.02.09,-300923,357998
