종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
한섬,21200.0,+16.16%,830314.0,17207.0,386575.0,020000,https://kr.tradingview.com/symbols/KRX-020000/,"4,757억"
BYC,54100.0,+13.66%,33582.0,1682.0,23701.0,001460,https://kr.tradingview.com/symbols/KRX-001460/,"3,379억"
감성코퍼레이션 *,7370.0,+10.66%,2434999.0,17558.0,675265.0,036620,https://kr.tradingview.com/symbols/KRX-036620/,"6,670억"
신세계인터내셔날,12740.0,+8.70%,426863.0,5340.0,280019.0,031430,https://kr.tradingview.com/symbols/KRX-031430/,"4,503억"
동인기연,15880.0,+7.01%,33521.0,519.0,9224.0,111380,https://kr.tradingview.com/symbols/KRX-111380/,973억
윙스풋 *,2210.0,+6.25%,61318.0,131.0,204039.0,335870,https://kr.tradingview.com/symbols/KRX-335870/,370억
영원무역,97200.0,+5.31%,161102.0,15743.0,56355.0,111770,https://kr.tradingview.com/symbols/KRX-111770/,"43,071억"
화승엔터프라이즈,5620.0,+4.27%,217697.0,1213.0,206232.0,241590,https://kr.tradingview.com/symbols/KRX-241590/,"3,405억"
LF,21350.0,+4.15%,181347.0,3838.0,84029.0,093050,https://kr.tradingview.com/symbols/KRX-093050/,"6,243억"
좋은사람들 *,1899.0,+4.05%,18879619.0,36185.0,10103409.0,033340,https://kr.tradingview.com/symbols/KRX-033340/,"1,841억"
배럴 *,3865.0,+4.04%,31401.0,120.0,21332.0,267790,https://kr.tradingview.com/symbols/KRX-267790/,297억
코데즈컴바인 *,4065.0,+3.96%,31062920.0,129571.0,17867955.0,047770,https://kr.tradingview.com/symbols/KRX-047770/,"1,538억"
더네이쳐홀딩스 *,8280.0,+3.76%,85618.0,703.0,35859.0,298540,https://kr.tradingview.com/symbols/KRX-298540/,"1,199억"
에이피알,275500.0,+3.57%,921850.0,256687.0,372674.0,278470,https://kr.tradingview.com/symbols/KRX-278470/,"103,121억"
F&F,77500.0,+3.06%,140444.0,10887.0,72866.0,383220,https://kr.tradingview.com/symbols/KRX-383220/,"29,688억"
젝시믹스 *,5640.0,+2.55%,783427.0,4460.0,1028402.0,337930,https://kr.tradingview.com/symbols/KRX-337930/,"1,674억"
폴라리스AI *,1754.0,+2.27%,584104.0,1024.0,451393.0,039980,https://kr.tradingview.com/symbols/KRX-039980/,"1,277억"
대현,1711.0,+2.21%,247978.0,421.0,146546.0,016090,https://kr.tradingview.com/symbols/KRX-016090/,758억
그리티 *,2100.0,+2.19%,56134.0,117.0,64378.0,204020,https://kr.tradingview.com/symbols/KRX-204020/,408억
지엔코 *,771.0,+2.12%,129415.0,99.0,759966.0,065060,https://kr.tradingview.com/symbols/KRX-065060/,184억
화승인더,3385.0,+2.11%,213348.0,718.0,90465.0,006060,https://kr.tradingview.com/symbols/KRX-006060/,"1,873억"
