종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
나무기술 *,3300.0,+18.49%,14461022.0,46384.0,7592797.0,242040,https://kr.tradingview.com/symbols/KRX-242040/,"1,142억"
한솔인티큐브 *,1975.0,+10.34%,128289.0,244.0,40412.0,070590,https://kr.tradingview.com/symbols/KRX-070590/,274억
광무 *,2635.0,+5.19%,504870.0,1317.0,742749.0,029480,https://kr.tradingview.com/symbols/KRX-029480/,"1,631억"
신세계 I&C,18060.0,+4.57%,264488.0,4739.0,236717.0,035510,https://kr.tradingview.com/symbols/KRX-035510/,"2,525억"
롯데이노베이트,23200.0,+4.50%,61829.0,1411.0,38256.0,286940,https://kr.tradingview.com/symbols/KRX-286940/,"3,510억"
에스트래픽 *,3735.0,+3.75%,306685.0,1134.0,95632.0,234300,https://kr.tradingview.com/symbols/KRX-234300/,"1,016억"
현대오토에버,431000.0,+3.36%,317109.0,142516.0,157244.0,307950,https://kr.tradingview.com/symbols/KRX-307950/,"118,197억"
데이타솔루션 *,5160.0,+2.18%,173192.0,894.0,81561.0,263800,https://kr.tradingview.com/symbols/KRX-263800/,837억
아이티센글로벌 *,49800.0,+2.05%,323627.0,16428.0,227109.0,124500,https://kr.tradingview.com/symbols/KRX-124500/,"11,556억"
다우기술,52200.0,+1.75%,104801.0,5430.0,228650.0,023590,https://kr.tradingview.com/symbols/KRX-023590/,"23,420억"
오상자이엘 *,3300.0,+1.69%,45824.0,150.0,29672.0,053980,https://kr.tradingview.com/symbols/KRX-053980/,626억
아시아나IDT,10920.0,+1.68%,16671.0,180.0,10124.0,267850,https://kr.tradingview.com/symbols/KRX-267850/,"1,212억"
링네트 *,3950.0,+1.67%,138813.0,545.0,160786.0,042500,https://kr.tradingview.com/symbols/KRX-042500/,880억
삼성에스디에스,169700.0,+1.13%,149358.0,25383.0,138816.0,018260,https://kr.tradingview.com/symbols/KRX-018260/,"131,310억"
대신정보통신 *,1005.0,+1.11%,225360.0,225.0,176049.0,020180,https://kr.tradingview.com/symbols/KRX-020180/,386억
SGA솔루션즈 *,609.0,+0.83%,126727.0,77.0,187998.0,184230,https://kr.tradingview.com/symbols/KRX-184230/,541억
현대무벡스 *,30400.0,+0.66%,2503303.0,77041.0,2843322.0,319400,https://kr.tradingview.com/symbols/KRX-319400/,"33,858억"
정원엔시스 *,871.0,+0.58%,15756.0,14.0,57108.0,045510,https://kr.tradingview.com/symbols/KRX-045510/,281억
케이엘넷 *,2755.0,+0.55%,51274.0,140.0,53678.0,039420,https://kr.tradingview.com/symbols/KRX-039420/,665억
아이티센엔텍 *,1132.0,+0.27%,316726.0,362.0,331729.0,010280,https://kr.tradingview.com/symbols/KRX-010280/,737억
SK,330500.0,+0.15%,137897.0,45384.0,222322.0,034730,https://kr.tradingview.com/symbols/KRX-034730/,"239,621억"
DB,1677.0,-0.18%,602770.0,1018.0,1623594.0,012030,https://kr.tradingview.com/symbols/KRX-012030/,"3,374억"
비트컴퓨터 *,5240.0,-0.19%,131776.0,692.0,254075.0,032850,https://kr.tradingview.com/symbols/KRX-032850/,871억
케이씨에스 *,9510.0,-0.52%,40363.0,384.0,116221.0,115500,https://kr.tradingview.com/symbols/KRX-115500/,"1,141억"
LG씨엔에스,69000.0,-0.58%,699585.0,48462.0,1053668.0,064400,https://kr.tradingview.com/symbols/KRX-064400/,"66,851억"
오파스넷 *,6770.0,-0.88%,61242.0,414.0,125678.0,173130,https://kr.tradingview.com/symbols/KRX-173130/,883억
포스코DX,38550.0,-1.53%,607466.0,23691.0,833517.0,022100,https://kr.tradingview.com/symbols/KRX-022100/,"58,609억"
비트플래닛 *,823.0,-2.72%,390970.0,324.0,1617534.0,049470,https://kr.tradingview.com/symbols/KRX-049470/,969억
한화시스템,101300.0,-2.97%,1815207.0,185978.0,1930541.0,272210,https://kr.tradingview.com/symbols/KRX-272210/,"191,375억"
아이크래프트 *,3400.0,-12.82%,854081.0,3032.0,848286.0,052460,https://kr.tradingview.com/symbols/KRX-052460/,497억
