종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
비엘팜텍 *,6850.0,+8.73%,36734788.0,256749.0,16778002.0,065170,https://kr.tradingview.com/symbols/KRX-065170/,"1,828억"
엔에프씨 *,7320.0,+2.38%,3150951.0,22934.0,5205475.0,265740,https://kr.tradingview.com/symbols/KRX-265740/,"1,308억"
화일약품 *,1058.0,+1.44%,152825.0,161.0,233303.0,061250,https://kr.tradingview.com/symbols/KRX-061250/,915억
인벤티지랩 *,70500.0,+1.15%,66076.0,4633.0,68958.0,389470,https://kr.tradingview.com/symbols/KRX-389470/,"9,127억"
씨티씨바이오 *,4225.0,+0.84%,48051.0,203.0,59455.0,060590,https://kr.tradingview.com/symbols/KRX-060590/,"1,022억"
HLB바이오스텝 *,1306.0,+0.69%,253031.0,331.0,251983.0,278650,https://kr.tradingview.com/symbols/KRX-278650/,"1,136억"
우리바이오 *,1982.0,+0.66%,232054.0,459.0,304477.0,082850,https://kr.tradingview.com/symbols/KRX-082850/,960억
애머릿지 *,517.0,+0.39%,183241.0,94.0,97639.0,900100,https://kr.tradingview.com/symbols/KRX-900100/,238억
한국비엔씨 *,4680.0,+0.21%,460675.0,2158.0,709727.0,256840,https://kr.tradingview.com/symbols/KRX-256840/,"3,201억"
오성첨단소재 *,1587.0,-0.44%,1559928.0,2523.0,1269884.0,052420,https://kr.tradingview.com/symbols/KRX-052420/,"1,499억"
