종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
현대바이오 *,11550.0,+11.38%,8269636.0,96174.0,3086904.0,048410,https://kr.tradingview.com/symbols/KRX-048410/,"11,093억"
한국파마 *,13100.0,+9.44%,658419.0,8983.0,18177.0,032300,https://kr.tradingview.com/symbols/KRX-032300/,"1,429억"
코미팜 *,8350.0,+7.46%,557429.0,4558.0,244994.0,041960,https://kr.tradingview.com/symbols/KRX-041960/,"6,170억"
강스템바이오텍 *,2235.0,+4.93%,898480.0,1943.0,590220.0,217730,https://kr.tradingview.com/symbols/KRX-217730/,"2,102억"
앱클론 *,64100.0,+4.91%,221730.0,14019.0,222661.0,174900,https://kr.tradingview.com/symbols/KRX-174900/,"12,772억"
셀리드 *,3575.0,+4.08%,1709542.0,6163.0,1426597.0,299660,https://kr.tradingview.com/symbols/KRX-299660/,"1,055억"
에이비온 *,3510.0,+3.08%,864542.0,3024.0,1220799.0,203400,https://kr.tradingview.com/symbols/KRX-203400/,"3,163억"
신풍제약,12940.0,+2.29%,170364.0,2192.0,151849.0,019170,https://kr.tradingview.com/symbols/KRX-019170/,"6,856억"
샤페론 *,1944.0,+2.15%,684153.0,1322.0,672525.0,378800,https://kr.tradingview.com/symbols/KRX-378800/,899억
SK바이오사이언스,50400.0,+2.13%,188209.0,9466.0,147586.0,302440,https://kr.tradingview.com/symbols/KRX-302440/,"39,531억"
차백신연구소 *,2710.0,+1.69%,72190.0,193.0,46643.0,261780,https://kr.tradingview.com/symbols/KRX-261780/,728억
큐라티스 *,1105.0,+1.66%,76084.0,83.0,164669.0,348080,https://kr.tradingview.com/symbols/KRX-348080/,904억
JW중외제약,32900.0,+1.23%,116900.0,3877.0,207195.0,001060,https://kr.tradingview.com/symbols/KRX-001060/,"7,661억"
진매트릭스 *,2490.0,+1.01%,82277.0,204.0,111008.0,109820,https://kr.tradingview.com/symbols/KRX-109820/,508억
국전약품 *,3165.0,+0.80%,85162.0,272.0,185728.0,307750,https://kr.tradingview.com/symbols/KRX-307750/,"1,588억"
옵티팜 *,5370.0,+0.75%,12219.0,65.0,17408.0,153710,https://kr.tradingview.com/symbols/KRX-153710/,788억
아이진 *,1498.0,+0.33%,100658.0,151.0,156796.0,185490,https://kr.tradingview.com/symbols/KRX-185490/,648억
진원생명과학,1888.0,+0.27%,1392330.0,2632.0,3207548.0,011000,https://kr.tradingview.com/symbols/KRX-011000/,"1,613억"
한국비엔씨 *,4680.0,+0.21%,460675.0,2158.0,709727.0,256840,https://kr.tradingview.com/symbols/KRX-256840/,"3,201억"
리가켐바이오 *,178500.0,+0.17%,308152.0,55518.0,388473.0,141080,https://kr.tradingview.com/symbols/KRX-141080/,"65,349억"
일동제약,36300.0,-0.14%,263530.0,9631.0,327537.0,249420,https://kr.tradingview.com/symbols/KRX-249420/,"11,485억"
압타바이오 *,8010.0,-0.25%,77641.0,622.0,108502.0,293780,https://kr.tradingview.com/symbols/KRX-293780/,"2,250억"
인바이오젠,10960.0,-0.27%,12546.0,139.0,8191.0,101140,https://kr.tradingview.com/symbols/KRX-101140/,"1,101억"
케어젠 *,118100.0,-0.67%,89080.0,10566.0,216150.0,214370,https://kr.tradingview.com/symbols/KRX-214370/,"63,437억"
유바이오로직스 *,13480.0,-1.10%,236708.0,3215.0,389382.0,206650,https://kr.tradingview.com/symbols/KRX-206650/,"4,943억"
네이처셀 *,22800.0,-1.94%,232369.0,5363.0,280681.0,007390,https://kr.tradingview.com/symbols/KRX-007390/,"14,691억"
펩트론 *,255500.0,-4.13%,110158.0,28616.0,160948.0,087010,https://kr.tradingview.com/symbols/KRX-087010/,"59,576억"
케이바이오 *,306.0,-5.26%,4634712.0,1431.0,10897270.0,038530,https://kr.tradingview.com/symbols/KRX-038530/,354억
