종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
대동금속 *,8020.0,+13.44%,2189681.0,17719.0,508767.0,020400,https://kr.tradingview.com/symbols/KRX-020400/,256억
디와이파워,14940.0,+6.41%,208307.0,3057.0,65300.0,210540,https://kr.tradingview.com/symbols/KRX-210540/,"1,650억"
HD건설기계,130200.0,+5.43%,1011134.0,131340.0,785231.0,267270,https://kr.tradingview.com/symbols/KRX-267270/,"62,462억"
대창단조,6820.0,+3.49%,121864.0,821.0,70575.0,015230,https://kr.tradingview.com/symbols/KRX-015230/,"1,949억"
전진건설로봇,57800.0,+3.03%,696302.0,40750.0,285017.0,079900,https://kr.tradingview.com/symbols/KRX-079900/,"8,434억"
현대에버다임 *,8970.0,+2.63%,683598.0,6119.0,761519.0,041440,https://kr.tradingview.com/symbols/KRX-041440/,"1,607억"
서연탑메탈 *,3990.0,+2.44%,49734.0,196.0,35174.0,019770,https://kr.tradingview.com/symbols/KRX-019770/,465억
동일금속 *,7730.0,+1.84%,7155.0,55.0,2801.0,109860,https://kr.tradingview.com/symbols/KRX-109860/,703억
두산밥캣,62200.0,+1.63%,311295.0,19452.0,279363.0,241560,https://kr.tradingview.com/symbols/KRX-241560/,"59,622억"
프리엠스 *,6910.0,+1.62%,11097.0,76.0,12831.0,053160,https://kr.tradingview.com/symbols/KRX-053160/,415억
흥국 *,5190.0,+0.58%,26836.0,139.0,23032.0,010240,https://kr.tradingview.com/symbols/KRX-010240/,608억
혜인,5470.0,+0.37%,100632.0,551.0,128344.0,003010,https://kr.tradingview.com/symbols/KRX-003010/,695억
수산세보틱스,1757.0,+0.11%,182707.0,320.0,406482.0,017550,https://kr.tradingview.com/symbols/KRX-017550/,"1,096억"
진성티이씨 *,15480.0,0.00%,190582.0,2947.0,237682.0,036890,https://kr.tradingview.com/symbols/KRX-036890/,"3,411억"
대모 *,8910.0,0.00%,651313.0,5888.0,435721.0,317850,https://kr.tradingview.com/symbols/KRX-317850/,742억
삼미금속 *,14450.0,-3.54%,437153.0,6463.0,591980.0,012210,https://kr.tradingview.com/symbols/KRX-012210/,"3,207억"
