종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
포바이포 *,9330.0,+29.94%,5054750.0,44644.0,239012.0,389140,https://kr.tradingview.com/symbols/KRX-389140/,"1,331억"
롯데쇼핑,113500.0,+14.88%,678290.0,75170.0,161967.0,023530,https://kr.tradingview.com/symbols/KRX-023530/,"32,108억"
CJ ENM *,76500.0,+5.23%,164355.0,12388.0,122229.0,035760,https://kr.tradingview.com/symbols/KRX-035760/,"16,776억"
아센디오,1667.0,+4.06%,698355.0,1208.0,237509.0,012170,https://kr.tradingview.com/symbols/KRX-012170/,323억
덱스터 *,4010.0,+2.95%,97186.0,389.0,94690.0,206560,https://kr.tradingview.com/symbols/KRX-206560/,"1,019억"
CJ CGV,6090.0,+0.83%,730495.0,4442.0,562532.0,079160,https://kr.tradingview.com/symbols/KRX-079160/,184억
콘텐트리중앙,7340.0,+0.55%,71079.0,525.0,80244.0,036420,https://kr.tradingview.com/symbols/KRX-036420/,"1,414억"
쎄니트 *,1818.0,+0.55%,5189.0,9.0,19725.0,037760,https://kr.tradingview.com/symbols/KRX-037760/,615억
쇼박스 *,2690.0,0.00%,325566.0,881.0,867841.0,086980,https://kr.tradingview.com/symbols/KRX-086980/,"1,685억"
바른손 *,918.0,-0.11%,49225.0,45.0,43162.0,018700,https://kr.tradingview.com/symbols/KRX-018700/,322억
NEW *,2580.0,-0.19%,302931.0,777.0,702038.0,160550,https://kr.tradingview.com/symbols/KRX-160550/,720억
바른손이앤에이 *,321.0,-2.43%,287447.0,93.0,235951.0,035620,https://kr.tradingview.com/symbols/KRX-035620/,239억
