종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
포바이포 *,9330.0,+29.94%,5054750.0,44644.0,239012.0,389140,https://kr.tradingview.com/symbols/KRX-389140/,"1,331억"
SAMG엔터 *,40200.0,+5.93%,147421.0,5804.0,106638.0,419530,https://kr.tradingview.com/symbols/KRX-419530/,"3,949억"
CJ ENM *,76500.0,+5.23%,164355.0,12388.0,122229.0,035760,https://kr.tradingview.com/symbols/KRX-035760/,"16,776억"
M83 *,8680.0,+3.70%,75091.0,652.0,52952.0,476080,https://kr.tradingview.com/symbols/KRX-476080/,701억
에이스토리 *,7220.0,+3.59%,91126.0,653.0,48116.0,241840,https://kr.tradingview.com/symbols/KRX-241840/,689억
와이랩 *,3870.0,+3.34%,52868.0,202.0,43641.0,432430,https://kr.tradingview.com/symbols/KRX-432430/,639억
위지윅스튜디오 *,645.0,+3.04%,949464.0,611.0,578957.0,299900,https://kr.tradingview.com/symbols/KRX-299900/,"1,103억"
덱스터 *,4010.0,+2.95%,97186.0,389.0,94690.0,206560,https://kr.tradingview.com/symbols/KRX-206560/,"1,019억"
초록뱀미디어 *,4720.0,+2.72%,95843.0,453.0,63928.0,047820,https://kr.tradingview.com/symbols/KRX-047820/,"1,154억"
캐리소프트 *,4390.0,+2.69%,8053.0,35.0,14924.0,317530,https://kr.tradingview.com/symbols/KRX-317530/,695억
애니플러스 *,3070.0,+2.68%,233923.0,713.0,151577.0,310200,https://kr.tradingview.com/symbols/KRX-310200/,"1,601억"
SBS,18690.0,+2.52%,71788.0,1329.0,48645.0,034120,https://kr.tradingview.com/symbols/KRX-034120/,"3,467억"
스튜디오드래곤 *,48150.0,+2.23%,107847.0,5218.0,108818.0,253450,https://kr.tradingview.com/symbols/KRX-253450/,"14,473억"
아티스트스튜디오 *,5470.0,+2.05%,30317.0,164.0,23823.0,200350,https://kr.tradingview.com/symbols/KRX-200350/,547억
SM C&C *,1297.0,+1.89%,474299.0,615.0,252812.0,048550,https://kr.tradingview.com/symbols/KRX-048550/,"1,254억"
자이언트스텝 *,4285.0,+1.66%,106904.0,462.0,67058.0,289220,https://kr.tradingview.com/symbols/KRX-289220/,956억
팬엔터테인먼트 *,1751.0,+1.45%,118653.0,206.0,51500.0,068050,https://kr.tradingview.com/symbols/KRX-068050/,485억
대원미디어 *,7760.0,+1.44%,38673.0,299.0,35527.0,048910,https://kr.tradingview.com/symbols/KRX-048910/,976억
삼화네트웍스 *,1046.0,+1.26%,87933.0,91.0,75854.0,046390,https://kr.tradingview.com/symbols/KRX-046390/,452억
스튜디오미르 *,2765.0,+1.10%,97184.0,268.0,100488.0,408900,https://kr.tradingview.com/symbols/KRX-408900/,906억
고스트스튜디오 *,8440.0,+1.08%,19771.0,166.0,24712.0,950190,https://kr.tradingview.com/symbols/KRX-950190/,"1,099억"
KX *,3575.0,+0.56%,46860.0,167.0,70711.0,122450,https://kr.tradingview.com/symbols/KRX-122450/,"1,602억"
콘텐트리중앙,7340.0,+0.55%,71079.0,525.0,80244.0,036420,https://kr.tradingview.com/symbols/KRX-036420/,"1,414억"
쇼박스 *,2690.0,0.00%,325566.0,881.0,867841.0,086980,https://kr.tradingview.com/symbols/KRX-086980/,"1,685억"
바른손 *,918.0,-0.11%,49225.0,45.0,43162.0,018700,https://kr.tradingview.com/symbols/KRX-018700/,322억
NEW *,2580.0,-0.19%,302931.0,777.0,702038.0,160550,https://kr.tradingview.com/symbols/KRX-160550/,720억
JYP Ent. *,71200.0,-0.28%,182804.0,13043.0,354531.0,035900,https://kr.tradingview.com/symbols/KRX-035900/,"25,299억"
키이스트 *,2960.0,-0.84%,90101.0,267.0,125380.0,054780,https://kr.tradingview.com/symbols/KRX-054780/,582억
더핑크퐁컴퍼니 *,22100.0,-0.90%,75662.0,1650.0,97135.0,403850,https://kr.tradingview.com/symbols/KRX-403850/,"3,172억"
에프엔씨엔터 *,3720.0,-1.33%,8755.0,32.0,4196.0,173940,https://kr.tradingview.com/symbols/KRX-173940/,573억
코퍼스코리아 *,569.0,-1.90%,914384.0,521.0,699959.0,322780,https://kr.tradingview.com/symbols/KRX-322780/,244억
바른손이앤에이 *,321.0,-2.43%,287447.0,93.0,235951.0,035620,https://kr.tradingview.com/symbols/KRX-035620/,239억
큐로홀딩스 *,1053.0,-2.50%,166669.0,177.0,153592.0,051780,https://kr.tradingview.com/symbols/KRX-051780/,272억
캔버스엔 *,1840.0,-4.66%,365879.0,685.0,482894.0,210120,https://kr.tradingview.com/symbols/KRX-210120/,446억
