종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
코아스템켐온 *,3275.0,+9.35%,1253370.0,4035.0,394295.0,166480,https://kr.tradingview.com/symbols/KRX-166480/,"1,732억"
동구바이오제약 *,5700.0,+7.14%,900251.0,5127.0,489188.0,006620,https://kr.tradingview.com/symbols/KRX-006620/,"1,622억"
바이오솔루션 *,8120.0,+6.84%,532283.0,4415.0,96051.0,086820,https://kr.tradingview.com/symbols/KRX-086820/,"1,973억"
강스템바이오텍 *,2235.0,+4.93%,898480.0,1943.0,590220.0,217730,https://kr.tradingview.com/symbols/KRX-217730/,"2,102억"
에스바이오메딕스 *,34450.0,+3.92%,103764.0,3617.0,65277.0,304360,https://kr.tradingview.com/symbols/KRX-304360/,"4,267억"
마크로젠 *,18410.0,+1.99%,54003.0,1001.0,56535.0,038290,https://kr.tradingview.com/symbols/KRX-038290/,"1,996억"
이엔셀 *,16890.0,+1.32%,338012.0,5694.0,253321.0,456070,https://kr.tradingview.com/symbols/KRX-456070/,"1,852억"
메디포스트 *,24500.0,+1.03%,237651.0,5860.0,401551.0,078160,https://kr.tradingview.com/symbols/KRX-078160/,"9,605억"
제일약품,14730.0,+1.03%,19656.0,287.0,35789.0,271980,https://kr.tradingview.com/symbols/KRX-271980/,"2,166억"
차바이오텍 *,20900.0,+0.72%,503028.0,10592.0,859083.0,085660,https://kr.tradingview.com/symbols/KRX-085660/,"17,107억"
파미셀,14810.0,+0.68%,1019510.0,15074.0,1565195.0,005690,https://kr.tradingview.com/symbols/KRX-005690/,"8,889억"
HLB생명과학 *,4065.0,+0.25%,216494.0,883.0,228211.0,067630,https://kr.tradingview.com/symbols/KRX-067630/,"4,956억"
메타케어,300.0,0.00%,232062.0,69.0,501659.0,118000,https://kr.tradingview.com/symbols/KRX-118000/,515억
엑셀세라퓨틱스 *,1618.0,-0.12%,477017.0,772.0,598070.0,373110,https://kr.tradingview.com/symbols/KRX-373110/,280억
에스씨엠생명과학 *,873.0,-0.23%,273345.0,234.0,272418.0,298060,https://kr.tradingview.com/symbols/KRX-298060/,386억
안트로젠 *,38950.0,-0.38%,14873.0,585.0,20261.0,065660,https://kr.tradingview.com/symbols/KRX-065660/,"3,897억"
테고사이언스 *,14320.0,-1.45%,8659.0,125.0,13890.0,191420,https://kr.tradingview.com/symbols/KRX-191420/,"1,161억"
네이처셀 *,22800.0,-1.94%,232369.0,5363.0,280681.0,007390,https://kr.tradingview.com/symbols/KRX-007390/,"14,691억"
