종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
DXVX *,4665.0,+15.19%,1164457.0,5266.0,494405.0,180400,https://kr.tradingview.com/symbols/KRX-180400/,"4,592억"
젠큐릭스 *,1664.0,+3.81%,435427.0,739.0,83986.0,229000,https://kr.tradingview.com/symbols/KRX-229000/,390억
수젠텍 *,6550.0,+2.34%,569639.0,3745.0,1982611.0,253840,https://kr.tradingview.com/symbols/KRX-253840/,"1,097억"
광동제약,6250.0,+2.29%,241559.0,1502.0,123796.0,009290,https://kr.tradingview.com/symbols/KRX-009290/,"3,112억"
엑세스바이오 *,3745.0,+1.63%,90210.0,336.0,94235.0,950130,https://kr.tradingview.com/symbols/KRX-950130/,"1,413억"
국제약품,4625.0,+0.98%,153774.0,710.0,141091.0,002720,https://kr.tradingview.com/symbols/KRX-002720/,979억
국전약품 *,3165.0,+0.80%,85162.0,272.0,185728.0,307750,https://kr.tradingview.com/symbols/KRX-307750/,"1,588억"
위더스제약 *,8810.0,+0.57%,220038.0,1949.0,240201.0,330350,https://kr.tradingview.com/symbols/KRX-330350/,"1,163억"
경동제약 *,5610.0,+0.54%,35427.0,198.0,66699.0,011040,https://kr.tradingview.com/symbols/KRX-011040/,"1,726억"
팜젠사이언스,4185.0,+0.12%,100777.0,422.0,46646.0,004720,https://kr.tradingview.com/symbols/KRX-004720/,919억
멕아이씨에스 *,1860.0,0.00%,48107.0,90.0,53415.0,058110,https://kr.tradingview.com/symbols/KRX-058110/,299억
인트론바이오 *,3595.0,-1.24%,108405.0,392.0,200891.0,048530,https://kr.tradingview.com/symbols/KRX-048530/,"1,193억"
