종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
푸른기술 *,11550.0,+6.85%,673432.0,7640.0,334741.0,094940,https://kr.tradingview.com/symbols/KRX-094940/,966억
포스뱅크 *,5340.0,+3.49%,106781.0,569.0,28594.0,105760,https://kr.tradingview.com/symbols/KRX-105760/,543억
NICE인프라 *,4280.0,+3.01%,65900.0,280.0,34895.0,063570,https://kr.tradingview.com/symbols/KRX-063570/,"1,462억"
윈스테크넷 *,11100.0,+1.28%,26018.0,288.0,34348.0,136540,https://kr.tradingview.com/symbols/KRX-136540/,"1,363억"
한네트 *,3660.0,+0.55%,21262.0,77.0,50464.0,052600,https://kr.tradingview.com/symbols/KRX-052600/,423억
씨아이테크,1139.0,+0.53%,248415.0,283.0,78022.0,004920,https://kr.tradingview.com/symbols/KRX-004920/,594억
파버나인 *,2850.0,+0.35%,38319.0,108.0,29805.0,177830,https://kr.tradingview.com/symbols/KRX-177830/,385억
인바이오젠,10960.0,-0.27%,12546.0,139.0,8191.0,101140,https://kr.tradingview.com/symbols/KRX-101140/,"1,101억"
케이씨에스 *,9510.0,-0.52%,40363.0,384.0,116221.0,115500,https://kr.tradingview.com/symbols/KRX-115500/,"1,141억"
케이씨티 *,2760.0,-0.72%,38248.0,106.0,52374.0,089150,https://kr.tradingview.com/symbols/KRX-089150/,473억
