종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
아크릴 *,56600.0,+28.64%,4638300.0,236557.0,2264573.0,0007C0,https://kr.tradingview.com/symbols/KRX-000070/,"5,085억",2026.02.10,-554,11615
아이엘 *,4505.0,+9.88%,3594338.0,15821.0,2207316.0,307180,https://kr.tradingview.com/symbols/KRX-307180/,"1,510억",2026.02.10,-144304,-202300
케이엔에스 *,15360.0,+7.04%,1460146.0,23275.0,109908.0,432470,https://kr.tradingview.com/symbols/KRX-432470/,"1,347억",2026.02.10,0,1356
현대차,509000.0,+5.93%,3259650.0,1633913.0,1738747.0,005380,https://kr.tradingview.com/symbols/KRX-005380/,"1,042,217억",2026.02.10,25018,-466772
현대글로비스,255500.0,+4.93%,453905.0,115182.0,239903.0,086280,https://kr.tradingview.com/symbols/KRX-086280/,"191,625억",2026.02.10,-3827,36340
기아,161800.0,+4.59%,1622428.0,259283.0,1011933.0,000270,https://kr.tradingview.com/symbols/KRX-000270/,"631,688억",2026.02.10,69317,17059
현대위아,86500.0,+3.84%,242260.0,20809.0,187738.0,011210,https://kr.tradingview.com/symbols/KRX-011210/,"23,524억",2026.02.10,-2677,13415
현대오토에버,445500.0,+3.36%,175578.0,77754.0,317109.0,307950,https://kr.tradingview.com/symbols/KRX-307950/,"122,174억",2026.02.10,-4313,-29428
에스오에스랩 *,19980.0,+2.46%,1078528.0,21718.0,2049211.0,464080,https://kr.tradingview.com/symbols/KRX-464080/,"3,556억",2026.02.10,4046,-239849
화천기공,42450.0,+2.29%,14112.0,592.0,8642.0,000850,https://kr.tradingview.com/symbols/KRX-000850/,934억,2026.02.10,38,2273
티로보틱스 *,24900.0,+2.26%,334060.0,8387.0,413035.0,117730,https://kr.tradingview.com/symbols/KRX-117730/,"5,517억",2026.02.10,82,-65871
현대모비스,446000.0,+2.06%,312230.0,137992.0,219665.0,012330,https://kr.tradingview.com/symbols/KRX-012330/,"404,667억",2026.02.10,-5020,1840
로보티즈 *,281500.0,+1.99%,168524.0,47271.0,283122.0,108490,https://kr.tradingview.com/symbols/KRX-108490/,"41,238억",2026.02.10,2741,-76021
삼성전자,167800.0,+1.21%,22247243.0,3695330.0,19369566.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,"9,933,152억",2026.02.10,880521,1837045
우림피티에스 *,16650.0,+0.85%,478657.0,8075.0,515760.0,101170,https://kr.tradingview.com/symbols/KRX-101170/,"2,248억",2026.02.10,0,-3722
레인보우로보틱스 *,671000.0,+0.45%,97829.0,65327.0,153532.0,277810,https://kr.tradingview.com/symbols/KRX-277810/,"13,173억",2026.02.10,-13229,-39500
알에스오토메이션 *,25600.0,+0.20%,379224.0,9740.0,1155017.0,140670,https://kr.tradingview.com/symbols/KRX-140670/,"3,287억",2026.02.10,78,-329974
나우로보틱스 *,30000.0,+0.17%,171168.0,5135.0,156395.0,459510,https://kr.tradingview.com/symbols/KRX-459510/,"3,887억",2026.02.10,-1003,-7830
유니테크노 *,3880.0,-0.13%,122163.0,473.0,116624.0,241690,https://kr.tradingview.com/symbols/KRX-241690/,949억,2026.02.10,4040,12936
한국피아이엠 *,75500.0,-0.26%,143201.0,10687.0,195270.0,448900,https://kr.tradingview.com/symbols/KRX-448900/,"4,533억",2026.02.10,48344,-5104
클로봇 *,66800.0,-0.89%,228687.0,15379.0,358164.0,466100,https://kr.tradingview.com/symbols/KRX-466100/,"16,695억",2026.02.10,7695,-70834
케이엔알시스템 *,31550.0,-0.94%,78695.0,2482.0,99834.0,199430,https://kr.tradingview.com/symbols/KRX-199430/,"3,470억",2026.02.10,0,-22257
싸이닉솔루션 *,9170.0,-1.29%,309896.0,2831.0,328549.0,234030,https://kr.tradingview.com/symbols/KRX-234030/,"2,165억",2026.02.10,300,-15944
마음AI *,17510.0,-1.30%,61025.0,1071.0,165036.0,377480,https://kr.tradingview.com/symbols/KRX-377480/,"1,245억",2026.02.10,1,16230
씨메스 *,38750.0,-1.40%,69220.0,2693.0,102099.0,475400,https://kr.tradingview.com/symbols/KRX-475400/,"4,534억",2026.02.10,-916,-6258
유비쿼스 *,12690.0,-1.40%,76220.0,972.0,66412.0,264450,https://kr.tradingview.com/symbols/KRX-264450/,"1,861억",2026.02.10,-361,-8
이랜시스 *,7750.0,-1.52%,442752.0,3429.0,755511.0,264850,https://kr.tradingview.com/symbols/KRX-264850/,"2,348억",2026.02.10,1,-141652
롯데이노베이트,22800.0,-1.72%,25349.0,582.0,61829.0,286940,https://kr.tradingview.com/symbols/KRX-286940/,"3,449억",2026.02.10,62,7967
슈어소프트테크 *,8170.0,-1.80%,724617.0,5961.0,1534858.0,298830,https://kr.tradingview.com/symbols/KRX-298830/,"4,368억",2026.02.10,-289,40766
나인테크 *,3690.0,-2.12%,4363557.0,16163.0,34991993.0,267320,https://kr.tradingview.com/symbols/KRX-267320/,"2,119억",2026.02.10,5841,-221120
에스비비테크 *,59300.0,-2.31%,189623.0,11291.0,217303.0,389500,https://kr.tradingview.com/symbols/KRX-389500/,"3,756억",2026.02.10,1107,-6937
삼현 *,55700.0,-2.45%,139468.0,7783.0,255431.0,437730,https://kr.tradingview.com/symbols/KRX-437730/,"17,661억",2026.02.10,-6305,-41314
포스코DX,37600.0,-2.46%,527897.0,19940.0,607466.0,022100,https://kr.tradingview.com/symbols/KRX-022100/,"57,165억",2026.02.10,-4049,-106682
MDS테크 *,1452.0,-2.81%,1990039.0,2906.0,4771282.0,086960,https://kr.tradingview.com/symbols/KRX-086960/,"1,476억",2026.02.10,0,456542
한라캐스트 *,19940.0,-4.82%,1321091.0,26593.0,2401231.0,125490,https://kr.tradingview.com/symbols/KRX-125490/,"7,279억",2026.02.10,6125,122252
뉴로메카 *,83600.0,-5.64%,607670.0,51873.0,628560.0,348340,https://kr.tradingview.com/symbols/KRX-348340/,"1,321억",2026.02.10,4096,-21493
아진엑스텍 *,8360.0,-7.11%,523006.0,4435.0,229891.0,059120,https://kr.tradingview.com/symbols/KRX-059120/,765억,2026.02.10,4,-7236
