종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
LG전자,127900.0,+22.98%,13160492.0,1584726.0,1117921.0,066570,https://kr.tradingview.com/symbols/KRX-066570/,"208,332억",2026.02.10,8375,281923
스코넥 *,1085.0,+5.24%,188088.0,202.0,227653.0,276040,https://kr.tradingview.com/symbols/KRX-276040/,235억,2026.02.10,0,-19852
데브시스터즈 *,39000.0,+3.31%,139993.0,5471.0,100902.0,194480,https://kr.tradingview.com/symbols/KRX-194480/,"4,730억",2026.02.10,-15978,-35314
에스피지 *,137100.0,+2.93%,663822.0,90983.0,657549.0,058610,https://kr.tradingview.com/symbols/KRX-058610/,"3,405억",2026.02.10,-38497,-176986
칩스앤미디어 *,19550.0,+2.84%,359053.0,7024.0,275751.0,094360,https://kr.tradingview.com/symbols/KRX-094360/,"4,160억",2026.02.10,499,-46981
바른손이앤에이 *,328.0,+2.18%,146211.0,48.0,291487.0,035620,https://kr.tradingview.com/symbols/KRX-035620/,244억,2026.02.10,51739,2858
한빛소프트 *,1233.0,+2.15%,82595.0,100.0,85064.0,047080,https://kr.tradingview.com/symbols/KRX-047080/,306억,2026.02.10,-8990,-990
SOOP *,71500.0,+2.00%,30536.0,2176.0,42468.0,067160,https://kr.tradingview.com/symbols/KRX-067160/,"8,219억",2026.02.10,1821,-1158
제이씨현시스템 *,4205.0,+1.45%,64579.0,269.0,56698.0,033320,https://kr.tradingview.com/symbols/KRX-033320/,804억,2026.02.10,1,15436
덱스터 *,4060.0,+1.25%,102120.0,417.0,97538.0,206560,https://kr.tradingview.com/symbols/KRX-206560/,"1,032억",2026.02.10,-4138,45840
삼성전자,167800.0,+1.21%,22247243.0,3695330.0,19369566.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,"9,933,152억",2026.02.10,880521,1837045
에스넷 *,3360.0,+0.90%,53973.0,180.0,43755.0,038680,https://kr.tradingview.com/symbols/KRX-038680/,669억,2026.02.10,0,7076
에스코넥 *,697.0,+0.43%,376153.0,261.0,609337.0,096630,https://kr.tradingview.com/symbols/KRX-096630/,553억,2026.02.10,0,742
케이쓰리아이 *,5070.0,+0.40%,56787.0,285.0,46731.0,431190,https://kr.tradingview.com/symbols/KRX-431190/,380억,2026.02.10,0,1139
세코닉스 *,5990.0,0.00%,107147.0,639.0,158110.0,053450,https://kr.tradingview.com/symbols/KRX-053450/,886억,2026.02.10,-253,55886
신도기연 *,1771.0,0.00%,21211.0,38.0,26579.0,290520,https://kr.tradingview.com/symbols/KRX-290520/,282억,2026.02.10,0,642
시공테크 *,4170.0,0.00%,125497.0,520.0,98444.0,020710,https://kr.tradingview.com/symbols/KRX-020710/,836억,2026.02.10,-5,36746
토탈소프트 *,6550.0,-0.15%,51498.0,335.0,78930.0,045340,https://kr.tradingview.com/symbols/KRX-045340/,561억,2026.02.10,0,21880
이노시뮬레이션 *,3945.0,-0.50%,17340.0,69.0,16214.0,274400,https://kr.tradingview.com/symbols/KRX-274400/,358억,2026.02.10,0,2391
위지윅스튜디오 *,641.0,-0.62%,353411.0,227.0,951281.0,299900,https://kr.tradingview.com/symbols/KRX-299900/,"1,096억",2026.02.10,-45013,390795
나무가 *,23800.0,-0.83%,82338.0,1961.0,263460.0,190510,https://kr.tradingview.com/symbols/KRX-190510/,"3,343억",2026.02.10,69,24220
이랜텍 *,10650.0,-1.02%,140746.0,1508.0,191576.0,054210,https://kr.tradingview.com/symbols/KRX-054210/,"2,694억",2026.02.10,31048,-81331
케이이엠텍 *,602.0,-1.31%,306975.0,188.0,1403456.0,106080,https://kr.tradingview.com/symbols/KRX-106080/,173억,2026.02.10,0,-8213
큐에스아이 *,8330.0,-1.42%,44702.0,377.0,29200.0,066310,https://kr.tradingview.com/symbols/KRX-066310/,772억,2026.02.10,1,208
라온텍 *,5940.0,-1.49%,172428.0,1038.0,1002672.0,418420,https://kr.tradingview.com/symbols/KRX-418420/,"1,810억",2026.02.10,2688,-100344
E8 *,1349.0,-1.89%,92966.0,126.0,96055.0,418620,https://kr.tradingview.com/symbols/KRX-418620/,268억,2026.02.10,0,26189
동운아나텍 *,30550.0,-2.08%,72242.0,2220.0,173162.0,094170,https://kr.tradingview.com/symbols/KRX-094170/,"6,388억",2026.02.10,-10,31485
링크드 *,475.0,-2.86%,323977.0,153.0,471501.0,193250,https://kr.tradingview.com/symbols/KRX-193250/,307억,2026.02.10,0,37226
하이비젼시스템 *,20450.0,-3.08%,363911.0,7423.0,1014205.0,126700,https://kr.tradingview.com/symbols/KRX-126700/,"3,056억",2026.02.10,352904,-22744
