종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
뉴인텍 *,644.0,+29.84%,9249645.0,5840.0,2457656.0,012340,https://kr.tradingview.com/symbols/KRX-012340/,345억
글로벌에스엠 *,581.0,+23.88%,22683563.0,12775.0,169309.0,900070,https://kr.tradingview.com/symbols/KRX-900070/,312억
LG전자,127900.0,+22.98%,13160492.0,1584726.0,1117921.0,066570,https://kr.tradingview.com/symbols/KRX-066570/,"208,332억"
삼영,8230.0,+21.93%,33292098.0,271897.0,791992.0,003720,https://kr.tradingview.com/symbols/KRX-003720/,"2,798억"
코스텍시스 *,15550.0,+11.95%,426748.0,6458.0,77342.0,355150,https://kr.tradingview.com/symbols/KRX-355150/,"1,212억"
화신,10150.0,+10.09%,1361685.0,13361.0,247790.0,010690,https://kr.tradingview.com/symbols/KRX-010690/,"3,544억"
네오티스 *,12230.0,+9.59%,328820.0,3833.0,122105.0,085910,https://kr.tradingview.com/symbols/KRX-085910/,"1,704억"
모베이스전자 *,4070.0,+9.12%,14535780.0,62622.0,2159538.0,012860,https://kr.tradingview.com/symbols/KRX-012860/,"2,981억"
서진시스템 *,37350.0,+8.58%,2315085.0,85631.0,735619.0,178320,https://kr.tradingview.com/symbols/KRX-178320/,"21,369억"
삼화콘덴서,38000.0,+8.57%,915756.0,36008.0,438604.0,001820,https://kr.tradingview.com/symbols/KRX-001820/,"3,950억"
현대차,509000.0,+5.93%,3259650.0,1633913.0,1738747.0,005380,https://kr.tradingview.com/symbols/KRX-005380/,"1,042,217억"
LS ELECTRIC,667000.0,+4.71%,171771.0,113746.0,169854.0,010120,https://kr.tradingview.com/symbols/KRX-010120/,"20,100억"
기아,161800.0,+4.59%,1622428.0,259283.0,1011933.0,000270,https://kr.tradingview.com/symbols/KRX-000270/,"631,688억"
현대위아,86500.0,+3.84%,242260.0,20809.0,187738.0,011210,https://kr.tradingview.com/symbols/KRX-011210/,"23,524억"
원익피앤이 *,4230.0,+2.92%,287786.0,1207.0,304173.0,217820,https://kr.tradingview.com/symbols/KRX-217820/,"2,007억"
한온시스템,4695.0,+2.74%,48147508.0,223433.0,124964899.0,018880,https://kr.tradingview.com/symbols/KRX-018880/,"48,183억"
디아이씨,10620.0,+2.61%,775363.0,8181.0,818907.0,092200,https://kr.tradingview.com/symbols/KRX-092200/,"4,130억"
아진전자부품,1090.0,+2.44%,691451.0,763.0,157577.0,009320,https://kr.tradingview.com/symbols/KRX-009320/,537억
세아메카닉스 *,4705.0,+2.28%,934858.0,4406.0,1277702.0,396300,https://kr.tradingview.com/symbols/KRX-396300/,"1,246억"
솔루스첨단소재,9120.0,+2.24%,527746.0,4826.0,791619.0,336370,https://kr.tradingview.com/symbols/KRX-336370/,"6,404억"
현대모비스,446000.0,+2.06%,312230.0,137992.0,219665.0,012330,https://kr.tradingview.com/symbols/KRX-012330/,"404,667억"
동아화성 *,6840.0,+1.94%,40938.0,277.0,43488.0,041930,https://kr.tradingview.com/symbols/KRX-041930/,"1,081억"
포스코스틸리온,42500.0,+1.92%,20090.0,849.0,12156.0,058430,https://kr.tradingview.com/symbols/KRX-058430/,"2,550억"
우리산업 *,9010.0,+1.81%,75305.0,673.0,66012.0,215360,https://kr.tradingview.com/symbols/KRX-215360/,823억
삼화전자,2875.0,+1.77%,96854.0,279.0,45332.0,011230,https://kr.tradingview.com/symbols/KRX-011230/,551억
엠에스오토텍 *,2335.0,+1.74%,136438.0,314.0,175434.0,123040,https://kr.tradingview.com/symbols/KRX-123040/,"1,462억"
경창산업 *,2145.0,+1.66%,259019.0,548.0,3580058.0,024910,https://kr.tradingview.com/symbols/KRX-024910/,768억
에코플라스틱 *,3405.0,+1.64%,1035430.0,3500.0,536830.0,038110,https://kr.tradingview.com/symbols/KRX-038110/,"1,402억"
씨티알모빌리티,6810.0,+1.64%,63708.0,432.0,47574.0,308170,https://kr.tradingview.com/symbols/KRX-308170/,586억
한국단자,75600.0,+1.61%,29976.0,2246.0,29314.0,025540,https://kr.tradingview.com/symbols/KRX-025540/,"7,647억"
HL만도,59900.0,+1.53%,547572.0,32919.0,943481.0,204320,https://kr.tradingview.com/symbols/KRX-204320/,"28,127억"
SK이노베이션,113500.0,+1.52%,333667.0,37703.0,371527.0,096770,https://kr.tradingview.com/symbols/KRX-096770/,"191,875억"
영화테크 *,8490.0,+1.43%,78904.0,668.0,60918.0,265560,https://kr.tradingview.com/symbols/KRX-265560/,908억
현대공업 *,6290.0,+1.13%,111686.0,700.0,86147.0,170030,https://kr.tradingview.com/symbols/KRX-170030/,965억
지엠비코리아,5460.0,+1.11%,130375.0,712.0,135229.0,013870,https://kr.tradingview.com/symbols/KRX-013870/,"1,041억"
와이엠텍 *,8330.0,+1.09%,20010.0,166.0,26535.0,273640,https://kr.tradingview.com/symbols/KRX-273640/,913억
아모그린텍 *,7450.0,+0.95%,82588.0,604.0,293697.0,125210,https://kr.tradingview.com/symbols/KRX-125210/,"1,229억"
로스웰 *,1597.0,+0.82%,20971.0,33.0,30737.0,900260,https://kr.tradingview.com/symbols/KRX-900260/,735억
삼영에스앤씨 *,3470.0,+0.73%,3827.0,13.0,8000.0,361670,https://kr.tradingview.com/symbols/KRX-361670/,197억
디와이덕양,2150.0,+0.70%,62388.0,133.0,53351.0,024900,https://kr.tradingview.com/symbols/KRX-024900/,700억
인팩,8420.0,+0.60%,62633.0,526.0,46138.0,023810,https://kr.tradingview.com/symbols/KRX-023810/,842억
아진산업 *,3475.0,+0.58%,407281.0,1402.0,408230.0,013310,https://kr.tradingview.com/symbols/KRX-013310/,"1,349억"
이지트로닉스 *,3490.0,+0.58%,8123.0,29.0,8458.0,377330,https://kr.tradingview.com/symbols/KRX-377330/,284억
신성에스티 *,39000.0,+0.52%,100350.0,3942.0,79980.0,416180,https://kr.tradingview.com/symbols/KRX-416180/,"3,526억"
LG화학,322500.0,+0.47%,287777.0,93096.0,413203.0,051910,https://kr.tradingview.com/symbols/KRX-051910/,"227,660억"
SNT모티브,34950.0,+0.43%,61483.0,2128.0,91020.0,064960,https://kr.tradingview.com/symbols/KRX-064960/,"9,276억"
LG에너지솔루션,392000.0,+0.38%,187479.0,73378.0,302157.0,373220,https://kr.tradingview.com/symbols/KRX-373220/,"917,280억"
인지컨트롤스,7500.0,+0.27%,83692.0,621.0,88097.0,023800,https://kr.tradingview.com/symbols/KRX-023800/,"1,186억"
엠투엔 *,1975.0,+0.25%,110422.0,217.0,283349.0,033310,https://kr.tradingview.com/symbols/KRX-033310/,797억
금호에이치티,531.0,+0.19%,691070.0,365.0,496011.0,214330,https://kr.tradingview.com/symbols/KRX-214330/,"1,158억"
폴라리스세원 *,1194.0,+0.17%,305997.0,367.0,295713.0,234100,https://kr.tradingview.com/symbols/KRX-234100/,845억
모티브링크 *,8860.0,+0.11%,41617.0,365.0,49714.0,463480,https://kr.tradingview.com/symbols/KRX-463480/,"1,098억"
이닉스 *,10960.0,+0.09%,27954.0,305.0,18700.0,452400,https://kr.tradingview.com/symbols/KRX-452400/,994억
LS머트리얼즈 *,16900.0,+0.06%,1628323.0,27502.0,5325033.0,417200,https://kr.tradingview.com/symbols/KRX-417200/,"11,433억"
우수AMS *,3160.0,0.00%,164217.0,516.0,238872.0,066590,https://kr.tradingview.com/symbols/KRX-066590/,"1,222억"
삼기 *,1788.0,0.00%,345261.0,608.0,261749.0,122350,https://kr.tradingview.com/symbols/KRX-122350/,686억
네오오토 *,10440.0,-0.10%,126977.0,1320.0,159869.0,212560,https://kr.tradingview.com/symbols/KRX-212560/,"1,233억"
KG모빌리티,4015.0,-0.12%,2192558.0,8801.0,3172999.0,003620,https://kr.tradingview.com/symbols/KRX-003620/,"8,125억"
우신시스템,6920.0,-0.14%,52726.0,363.0,80434.0,017370,https://kr.tradingview.com/symbols/KRX-017370/,"1,267억"
휴맥스 *,909.0,-0.22%,93330.0,84.0,103466.0,115160,https://kr.tradingview.com/symbols/KRX-115160/,400억
대창스틸 *,2130.0,-0.23%,20985.0,45.0,12794.0,140520,https://kr.tradingview.com/symbols/KRX-140520/,450억
명신산업,9370.0,-0.32%,132730.0,1242.0,232714.0,009900,https://kr.tradingview.com/symbols/KRX-009900/,"4,916억"
티플랙스 *,3150.0,-0.32%,188061.0,597.0,144364.0,081150,https://kr.tradingview.com/symbols/KRX-081150/,764억
나라엠앤디 *,4000.0,-0.37%,85257.0,340.0,37725.0,051490,https://kr.tradingview.com/symbols/KRX-051490/,568억
삼보모터스 *,7190.0,-0.42%,484259.0,3498.0,652714.0,053700,https://kr.tradingview.com/symbols/KRX-053700/,"1,814억"
유에스티 *,2240.0,-0.44%,68932.0,155.0,95014.0,263770,https://kr.tradingview.com/symbols/KRX-263770/,531억
삼기에너지솔루션즈 *,1774.0,-0.45%,107439.0,190.0,136909.0,419050,https://kr.tradingview.com/symbols/KRX-419050/,"1,015억"
한빛레이저 *,4865.0,-0.51%,155748.0,759.0,185352.0,452190,https://kr.tradingview.com/symbols/KRX-452190/,"1,137억"
성창오토텍 *,4510.0,-0.55%,18205.0,82.0,55398.0,080470,https://kr.tradingview.com/symbols/KRX-080470/,329억
아이윈 *,709.0,-0.56%,45676.0,32.0,275667.0,090150,https://kr.tradingview.com/symbols/KRX-090150/,297억
한일단조 *,2300.0,-0.65%,206955.0,476.0,291912.0,024740,https://kr.tradingview.com/symbols/KRX-024740/,757억
엣지파운드리 *,1520.0,-0.98%,426057.0,652.0,580808.0,105550,https://kr.tradingview.com/symbols/KRX-105550/,"1,190억"
삼성SDI,377000.0,-1.05%,367852.0,139111.0,504263.0,006400,https://kr.tradingview.com/symbols/KRX-006400/,"303,807억"
강원에너지 *,15770.0,-1.07%,119473.0,1886.0,146875.0,114190,https://kr.tradingview.com/symbols/KRX-114190/,"4,120억"
엘앤에프,116700.0,-1.10%,184750.0,21731.0,282391.0,066970,https://kr.tradingview.com/symbols/KRX-066970/,"46,960억"
KEC,757.0,-1.30%,990812.0,751.0,1605816.0,092220,https://kr.tradingview.com/symbols/KRX-092220/,"1,520억"
코스모신소재,51400.0,-1.34%,127392.0,6564.0,192401.0,005070,https://kr.tradingview.com/symbols/KRX-005070/,"16,711억"
아이에이 *,142.0,-1.39%,1680094.0,238.0,1241866.0,038880,https://kr.tradingview.com/symbols/KRX-038880/,534억
한중엔시에스 *,50900.0,-1.55%,140442.0,7277.0,141172.0,107640,https://kr.tradingview.com/symbols/KRX-107640/,"4,614억"
SKC,109700.0,-1.79%,196603.0,21619.0,210103.0,011790,https://kr.tradingview.com/symbols/KRX-011790/,"41,542억"
신흥에스이씨 *,6040.0,-1.95%,171677.0,1042.0,150569.0,243840,https://kr.tradingview.com/symbols/KRX-243840/,"2,329억"
유일에너테크 *,1402.0,-1.96%,1605823.0,2261.0,5511644.0,340930,https://kr.tradingview.com/symbols/KRX-340930/,966억
상아프론테크 *,17450.0,-1.97%,29054.0,507.0,25684.0,089980,https://kr.tradingview.com/symbols/KRX-089980/,"2,790억"
엔켐 *,77500.0,-2.39%,112730.0,8832.0,151228.0,348370,https://kr.tradingview.com/symbols/KRX-348370/,"16,934억"
한주라이트메탈 *,696.0,-2.66%,204919.0,144.0,144589.0,198940,https://kr.tradingview.com/symbols/KRX-198940/,271억
하이젠알앤엠 *,66600.0,-2.92%,82124.0,5552.0,120967.0,160190,https://kr.tradingview.com/symbols/KRX-160190/,"2,571억"
엠플러스 *,12870.0,-2.94%,176400.0,2289.0,187016.0,259630,https://kr.tradingview.com/symbols/KRX-259630/,"1,569억"
나노팀 *,13470.0,-3.09%,1110986.0,15617.0,3098975.0,417010,https://kr.tradingview.com/symbols/KRX-417010/,"2,717억"
씨아이에스 *,13310.0,-3.20%,1881950.0,25598.0,3886442.0,222080,https://kr.tradingview.com/symbols/KRX-222080/,"1,298억"
상신이디피 *,15550.0,-3.60%,345553.0,5298.0,332629.0,091580,https://kr.tradingview.com/symbols/KRX-091580/,"2,073억"
알멕 *,66800.0,-3.75%,208411.0,14319.0,319064.0,354320,https://kr.tradingview.com/symbols/KRX-354320/,"4,269억"
삼화전기,48100.0,-3.99%,152790.0,7559.0,158562.0,009470,https://kr.tradingview.com/symbols/KRX-009470/,"3,181억"
한국앤컴퍼니,29950.0,-4.01%,105220.0,3189.0,267180.0,000240,https://kr.tradingview.com/symbols/KRX-000240/,"28,433억"
파워로직스 *,5730.0,-4.66%,2921872.0,18149.0,616614.0,047310,https://kr.tradingview.com/symbols/KRX-047310/,"2,098억"
계양전기,8070.0,-5.17%,1368669.0,11081.0,2708176.0,012200,https://kr.tradingview.com/symbols/KRX-012200/,"2,197억"
피에스텍 *,11440.0,-6.08%,827885.0,9781.0,723725.0,002230,https://kr.tradingview.com/symbols/KRX-002230/,"2,205억"
성문전자,1888.0,-7.68%,1075739.0,2063.0,2424856.0,014910,https://kr.tradingview.com/symbols/KRX-014910/,424억
성호전자 *,24650.0,-7.85%,1329356.0,33467.0,2520511.0,043260,https://kr.tradingview.com/symbols/KRX-043260/,"17,482억"
