종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
BGF리테일,140700.0,+11.49%,278535.0,38580.0,80935.0,282330,https://kr.tradingview.com/symbols/KRX-282330/,"24,318억"
롯데하이마트,9000.0,+10.43%,1611437.0,15026.0,61701.0,071840,https://kr.tradingview.com/symbols/KRX-071840/,"2,125억"
이마트,127600.0,+8.50%,2278640.0,285763.0,1723986.0,139480,https://kr.tradingview.com/symbols/KRX-139480/,"35,212억"
현대홈쇼핑,72400.0,+8.06%,163621.0,11497.0,128798.0,057050,https://kr.tradingview.com/symbols/KRX-057050/,"8,688억"
한화갤러리아,2205.0,+4.01%,14391426.0,31845.0,14637687.0,452260,https://kr.tradingview.com/symbols/KRX-452260/,"4,275억"
대구백화점,5430.0,+3.04%,81836.0,439.0,64633.0,006370,https://kr.tradingview.com/symbols/KRX-006370/,588억
GS리테일,22850.0,+2.24%,513989.0,11875.0,518869.0,007070,https://kr.tradingview.com/symbols/KRX-007070/,"19,104억"
롯데쇼핑,115200.0,+1.50%,376206.0,43433.0,678290.0,023530,https://kr.tradingview.com/symbols/KRX-023530/,"32,589억"
스튜디오삼익 *,2275.0,+1.34%,26036.0,59.0,53689.0,415380,https://kr.tradingview.com/symbols/KRX-415380/,260억
광주신세계,35000.0,+0.43%,25618.0,892.0,42868.0,037710,https://kr.tradingview.com/symbols/KRX-037710/,"2,785억"
지어소프트 *,7570.0,+0.40%,57769.0,433.0,109450.0,051160,https://kr.tradingview.com/symbols/KRX-051160/,"1,171억"
그래디언트 *,11770.0,+0.34%,39549.0,470.0,30550.0,035080,https://kr.tradingview.com/symbols/KRX-035080/,"1,610억"
오아 *,7300.0,+0.27%,7512.0,54.0,11222.0,342870,https://kr.tradingview.com/symbols/KRX-342870/,456억
청담글로벌 *,5920.0,-0.50%,223266.0,1320.0,263957.0,362320,https://kr.tradingview.com/symbols/KRX-362320/,"1,252억"
현대백화점,107100.0,-1.02%,434660.0,45953.0,207027.0,069960,https://kr.tradingview.com/symbols/KRX-069960/,"24,235억"
세이브존I&C,3340.0,-1.04%,268502.0,888.0,473913.0,067830,https://kr.tradingview.com/symbols/KRX-067830/,"1,371억"
CJ ENM *,75600.0,-1.18%,79206.0,5991.0,164355.0,035760,https://kr.tradingview.com/symbols/KRX-035760/,"16,578억"
신세계,365000.0,-3.05%,98417.0,36150.0,114129.0,004170,https://kr.tradingview.com/symbols/KRX-004170/,"35,205억"
엑시온그룹 *,702.0,-3.17%,392300.0,282.0,787124.0,069920,https://kr.tradingview.com/symbols/KRX-069920/,326억
호텔신라,50800.0,-3.97%,588762.0,30120.0,1203609.0,008770,https://kr.tradingview.com/symbols/KRX-008770/,"19,938억"
