종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
비츠로시스 *,589.0,+11.55%,10086422.0,5757.0,6038710.0,054220,https://kr.tradingview.com/symbols/KRX-054220/,353억
동부건설,7300.0,+8.79%,354802.0,2503.0,207232.0,005960,https://kr.tradingview.com/symbols/KRX-005960/,"1,675억"
대우건설,7480.0,+5.95%,22559799.0,166791.0,51272010.0,047040,https://kr.tradingview.com/symbols/KRX-047040/,"31,089억"
금호건설,5130.0,+4.27%,716494.0,3691.0,779371.0,002990,https://kr.tradingview.com/symbols/KRX-002990/,"1,898억"
태영건설,1739.0,+3.82%,1105800.0,1896.0,1204444.0,009410,https://kr.tradingview.com/symbols/KRX-009410/,"5,175억"
유진기업 *,4420.0,+3.15%,424537.0,1844.0,455603.0,023410,https://kr.tradingview.com/symbols/KRX-023410/,"3,417억"
DL이앤씨,50800.0,+2.83%,680836.0,34906.0,516088.0,375500,https://kr.tradingview.com/symbols/KRX-375500/,"19,656억"
서한 *,961.0,+2.67%,664820.0,637.0,832443.0,011370,https://kr.tradingview.com/symbols/KRX-011370/,970억
GS건설,21950.0,+2.57%,1813757.0,39247.0,2129759.0,006360,https://kr.tradingview.com/symbols/KRX-006360/,"18,785억"
세명전기 *,10110.0,+2.43%,387400.0,3910.0,380087.0,017510,https://kr.tradingview.com/symbols/KRX-017510/,"1,541억"
현대건설,114600.0,+2.32%,1322380.0,151263.0,976442.0,000720,https://kr.tradingview.com/symbols/KRX-000720/,"127,614억"
HL D&I,3235.0,+1.57%,94021.0,305.0,286002.0,014790,https://kr.tradingview.com/symbols/KRX-014790/,"1,225억"
다원시스 *,2500.0,+1.42%,595478.0,1494.0,1592429.0,068240,https://kr.tradingview.com/symbols/KRX-068240/,954억
현대로템,202500.0,+1.25%,487920.0,98607.0,833858.0,064350,https://kr.tradingview.com/symbols/KRX-064350/,"221,013억"
도화엔지니어링,6630.0,+1.07%,140566.0,936.0,183660.0,002150,https://kr.tradingview.com/symbols/KRX-002150/,"2,236억"
우원개발 *,4465.0,+1.02%,143231.0,636.0,227380.0,046940,https://kr.tradingview.com/symbols/KRX-046940/,807억
삼현철강 *,4415.0,+0.80%,15909.0,70.0,23089.0,017480,https://kr.tradingview.com/symbols/KRX-017480/,693억
HJ중공업,23750.0,+0.64%,508919.0,12090.0,557558.0,097230,https://kr.tradingview.com/symbols/KRX-097230/,"21,445억"
유신 *,25000.0,+0.60%,24272.0,607.0,27593.0,054930,https://kr.tradingview.com/symbols/KRX-054930/,750억
동아지질,18320.0,+0.16%,18525.0,339.0,35206.0,028100,https://kr.tradingview.com/symbols/KRX-028100/,"2,453억"
대아티아이 *,4585.0,-0.11%,894149.0,4098.0,1852053.0,045390,https://kr.tradingview.com/symbols/KRX-045390/,"3,231억"
HDC현대산업개발,23500.0,-0.21%,456847.0,10645.0,836674.0,294870,https://kr.tradingview.com/symbols/KRX-294870/,"15,488억"
폴라리스AI *,1731.0,-1.31%,272995.0,474.0,584999.0,039980,https://kr.tradingview.com/symbols/KRX-039980/,"1,260억"
남광토건,8680.0,-1.36%,41907.0,362.0,37714.0,001260,https://kr.tradingview.com/symbols/KRX-001260/,853억
특수건설 *,7180.0,-2.18%,165288.0,1191.0,226517.0,026150,https://kr.tradingview.com/symbols/KRX-026150/,"1,260억"
