종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
키다리스튜디오,4150.0,+24.62%,10743487.0,44185.0,123261.0,020120,https://kr.tradingview.com/symbols/KRX-020120/,"1,538억"
탑코미디어 *,1901.0,+4.39%,612995.0,1184.0,45350.0,134580,https://kr.tradingview.com/symbols/KRX-134580/,937억
이스트에이드 *,1657.0,+1.78%,92114.0,151.0,458362.0,239340,https://kr.tradingview.com/symbols/KRX-239340/,447억
디앤씨미디어 *,13040.0,+1.56%,86475.0,1130.0,87204.0,263720,https://kr.tradingview.com/symbols/KRX-263720/,"1,619억"
NAVER,257500.0,+1.38%,1133876.0,291914.0,1475536.0,035420,https://kr.tradingview.com/symbols/KRX-035420/,"403,896억"
미스터블루 *,1237.0,+1.31%,10607682.0,13778.0,158121.0,207760,https://kr.tradingview.com/symbols/KRX-207760/,"1,028억"
핑거스토리 *,1823.0,+1.28%,514552.0,961.0,65483.0,417180,https://kr.tradingview.com/symbols/KRX-417180/,320억
카카오,58900.0,+1.03%,1673583.0,98384.0,1863119.0,035720,https://kr.tradingview.com/symbols/KRX-035720/,"26,695억"
와이랩 *,3905.0,+0.90%,131801.0,521.0,52873.0,432430,https://kr.tradingview.com/symbols/KRX-432430/,645억
NHN,33150.0,+0.45%,87006.0,2853.0,67556.0,181710,https://kr.tradingview.com/symbols/KRX-181710/,"1,858억"
대원미디어 *,7760.0,0.00%,85300.0,658.0,38894.0,048910,https://kr.tradingview.com/symbols/KRX-048910/,976억
조이시티 *,2890.0,-0.69%,676499.0,1955.0,1212262.0,067000,https://kr.tradingview.com/symbols/KRX-067000/,"2,020억"
엔비티 *,1996.0,-1.67%,50247.0,101.0,51630.0,236810,https://kr.tradingview.com/symbols/KRX-236810/,339억
수성웹툰 *,1649.0,-1.85%,378476.0,622.0,269162.0,084180,https://kr.tradingview.com/symbols/KRX-084180/,298억
미투온 *,4040.0,-1.94%,444118.0,1792.0,481634.0,201490,https://kr.tradingview.com/symbols/KRX-201490/,"1,317억"
