종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
CJ대한통운,145700.0,+6.58%,461651.0,68490.0,665296.0,000120,https://kr.tradingview.com/symbols/KRX-000120/,"33,238억"
현대글로비스,255500.0,+4.93%,453905.0,115182.0,239903.0,086280,https://kr.tradingview.com/symbols/KRX-086280/,"191,625억"
한진,22800.0,+1.79%,410197.0,9416.0,389309.0,002320,https://kr.tradingview.com/symbols/KRX-002320/,"3,474억"
한익스프레스,2890.0,+1.76%,60666.0,173.0,69822.0,014130,https://kr.tradingview.com/symbols/KRX-014130/,347억
동방,2640.0,+1.73%,852937.0,2229.0,1040001.0,004140,https://kr.tradingview.com/symbols/KRX-004140/,"1,266억"
유성티엔에스 *,3460.0,+1.47%,137237.0,473.0,76395.0,024800,https://kr.tradingview.com/symbols/KRX-024800/,"1,282억"
로젠 *,2285.0,+1.33%,1419177.0,3281.0,3787516.0,033290,https://kr.tradingview.com/symbols/KRX-033290/,"1,283억"
SG&G *,1974.0,+0.82%,174407.0,343.0,99864.0,040610,https://kr.tradingview.com/symbols/KRX-040610/,673억
삼일 *,1463.0,+0.69%,65672.0,96.0,11374.0,032280,https://kr.tradingview.com/symbols/KRX-032280/,237억
세방,15390.0,+0.65%,47128.0,720.0,78819.0,004360,https://kr.tradingview.com/symbols/KRX-004360/,"2,942억"
선광 *,22050.0,+0.46%,34076.0,748.0,23888.0,003100,https://kr.tradingview.com/symbols/KRX-003100/,"1,455억"
한솔로지스틱스,2935.0,+0.17%,87921.0,257.0,247302.0,009180,https://kr.tradingview.com/symbols/KRX-009180/,826억
태웅로직스 *,2740.0,-0.90%,117569.0,323.0,179792.0,124560,https://kr.tradingview.com/symbols/KRX-124560/,"1,061억"
인터지스,2505.0,-0.99%,96060.0,241.0,118796.0,129260,https://kr.tradingview.com/symbols/KRX-129260/,745억
KCTC,7400.0,-1.33%,2003630.0,15198.0,2819226.0,009070,https://kr.tradingview.com/symbols/KRX-009070/,"2,220억"
STX그린로지스,6200.0,-1.59%,26435.0,163.0,90138.0,465770,https://kr.tradingview.com/symbols/KRX-465770/,445억
