종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
KCC,549000.0,+12.16%,82978.0,44627.0,18515.0,002380,https://kr.tradingview.com/symbols/KRX-002380/,"48,787억"
한솔홈데코,628.0,+3.12%,600027.0,374.0,215942.0,025750,https://kr.tradingview.com/symbols/KRX-025750/,506억
대림바스,5920.0,+2.42%,153024.0,908.0,553545.0,005750,https://kr.tradingview.com/symbols/KRX-005750/,987억
희림 *,4505.0,+2.39%,163901.0,737.0,235036.0,037440,https://kr.tradingview.com/symbols/KRX-037440/,627억
유니드비티플러스,3215.0,+2.06%,71937.0,227.0,52309.0,446070,https://kr.tradingview.com/symbols/KRX-446070/,341억
국보디자인 *,22800.0,+1.79%,10535.0,238.0,12149.0,066620,https://kr.tradingview.com/symbols/KRX-066620/,"1,710억"
현대리바트,6980.0,+1.75%,119806.0,836.0,169455.0,079430,https://kr.tradingview.com/symbols/KRX-079430/,"1,433억"
SUN&L,2495.0,+1.63%,46677.0,115.0,26031.0,002820,https://kr.tradingview.com/symbols/KRX-002820/,315억
KCC글라스,28650.0,+1.60%,46637.0,1323.0,87144.0,344820,https://kr.tradingview.com/symbols/KRX-344820/,"4,576억"
벽산,1953.0,+1.40%,851071.0,1640.0,2886729.0,007210,https://kr.tradingview.com/symbols/KRX-007210/,"1,306억"
파세코 *,8040.0,+1.26%,122789.0,985.0,48581.0,037070,https://kr.tradingview.com/symbols/KRX-037070/,"1,608억"
하츠 *,4445.0,+1.14%,26002.0,115.0,34213.0,066130,https://kr.tradingview.com/symbols/KRX-066130/,569억
LX하우시스,31400.0,+0.96%,51795.0,1607.0,64130.0,108670,https://kr.tradingview.com/symbols/KRX-108670/,"2,816억"
한샘,45850.0,+0.66%,50404.0,2307.0,48312.0,009240,https://kr.tradingview.com/symbols/KRX-009240/,"1,790억"
삼목에스폼 *,20650.0,+0.49%,3797.0,78.0,8681.0,018310,https://kr.tradingview.com/symbols/KRX-018310/,"3,036억"
라이온켐텍 *,2120.0,+0.24%,35781.0,76.0,88923.0,171120,https://kr.tradingview.com/symbols/KRX-171120/,761억
시공테크 *,4170.0,0.00%,125497.0,520.0,98444.0,020710,https://kr.tradingview.com/symbols/KRX-020710/,836억
대림통상,2085.0,0.00%,24010.0,49.0,13762.0,006570,https://kr.tradingview.com/symbols/KRX-006570/,317억
에넥스,517.0,-0.19%,161173.0,82.0,173222.0,011090,https://kr.tradingview.com/symbols/KRX-011090/,310억
이건산업,4740.0,-0.63%,160287.0,764.0,274717.0,008250,https://kr.tradingview.com/symbols/KRX-008250/,519억
진영 *,1526.0,-0.72%,70644.0,107.0,102596.0,285800,https://kr.tradingview.com/symbols/KRX-285800/,267억
조이웍스앤코 *,1026.0,-0.87%,80206.0,82.0,102356.0,309930,https://kr.tradingview.com/symbols/KRX-309930/,251억
동화기업 *,10110.0,-1.56%,94912.0,968.0,139109.0,025900,https://kr.tradingview.com/symbols/KRX-025900/,"5,111억"
이건홀딩스 *,3840.0,-2.17%,348675.0,1352.0,1182581.0,039020,https://kr.tradingview.com/symbols/KRX-039020/,867억
