종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
메디앙스 *,1790.0,+9.41%,6491456.0,13000.0,9660.0,014100,https://kr.tradingview.com/symbols/KRX-014100/,211억
BYC,57000.0,+5.36%,29644.0,1631.0,33582.0,001460,https://kr.tradingview.com/symbols/KRX-001460/,"3,560억"
배럴 *,4005.0,+3.62%,61156.0,242.0,31451.0,267790,https://kr.tradingview.com/symbols/KRX-267790/,308억
비비안,571.0,+2.51%,231581.0,130.0,218600.0,002070,https://kr.tradingview.com/symbols/KRX-002070/,258억
모나리자,2235.0,+0.90%,113852.0,253.0,102866.0,012690,https://kr.tradingview.com/symbols/KRX-012690/,817억
크라운해태홀딩스,7050.0,+0.57%,51045.0,361.0,49986.0,005740,https://kr.tradingview.com/symbols/KRX-005740/,"1,047억"
리드코프 *,3690.0,+0.54%,57782.0,212.0,67641.0,012700,https://kr.tradingview.com/symbols/KRX-012700/,976억
아가방컴퍼니 *,4725.0,+0.53%,306333.0,1454.0,223153.0,013990,https://kr.tradingview.com/symbols/KRX-013990/,"1,554억"
하이트진로홀딩스,9600.0,+0.52%,64026.0,621.0,24281.0,000140,https://kr.tradingview.com/symbols/KRX-000140/,"2,228억"
보라티알 *,8120.0,+0.37%,5820.0,47.0,8748.0,250000,https://kr.tradingview.com/symbols/KRX-250000/,548억
좋은사람들 *,1904.0,+0.26%,4652042.0,8905.0,18985652.0,033340,https://kr.tradingview.com/symbols/KRX-033340/,"1,846억"
크라운제과,8730.0,+0.23%,13589.0,118.0,29179.0,264900,https://kr.tradingview.com/symbols/KRX-264900/,"1,093억"
하이트진로,18090.0,+0.17%,142281.0,2571.0,232109.0,000080,https://kr.tradingview.com/symbols/KRX-000080/,"12,687억"
모나미,1841.0,+0.05%,24079.0,44.0,47041.0,005360,https://kr.tradingview.com/symbols/KRX-005360/,348억
보해양조,413.0,0.00%,499957.0,205.0,406727.0,000890,https://kr.tradingview.com/symbols/KRX-000890/,570억
TBH글로벌,1204.0,0.00%,56037.0,67.0,7270.0,084870,https://kr.tradingview.com/symbols/KRX-084870/,251억
깨끗한나라,1917.0,-0.21%,73601.0,141.0,79507.0,004540,https://kr.tradingview.com/symbols/KRX-004540/,714억
해태제과식품,7000.0,-0.57%,51666.0,361.0,73267.0,101530,https://kr.tradingview.com/symbols/KRX-101530/,"2,038억"
그리티 *,2080.0,-0.95%,52298.0,109.0,72711.0,204020,https://kr.tradingview.com/symbols/KRX-204020/,405억
코데즈컴바인 *,3990.0,-1.85%,3250867.0,13040.0,31168976.0,047770,https://kr.tradingview.com/symbols/KRX-047770/,"1,510억"
