종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
동부건설,7300.0,+8.79%,354802.0,2503.0,207232.0,005960,https://kr.tradingview.com/symbols/KRX-005960/,"1,675억"
KCC건설 *,6590.0,+8.03%,268889.0,1747.0,84294.0,021320,https://kr.tradingview.com/symbols/KRX-021320/,"1,410억"
금호건설,5130.0,+4.27%,716494.0,3691.0,779371.0,002990,https://kr.tradingview.com/symbols/KRX-002990/,"1,898억"
아이에스동서,30400.0,+3.93%,316048.0,9494.0,195863.0,010780,https://kr.tradingview.com/symbols/KRX-010780/,"9,177억"
태영건설,1739.0,+3.82%,1105800.0,1896.0,1204444.0,009410,https://kr.tradingview.com/symbols/KRX-009410/,"5,175억"
삼호개발,4150.0,+3.11%,102759.0,422.0,81031.0,010960,https://kr.tradingview.com/symbols/KRX-010960/,"1,001억"
서한 *,961.0,+2.67%,664820.0,637.0,832443.0,011370,https://kr.tradingview.com/symbols/KRX-011370/,970억
남화토건 *,3760.0,+2.31%,24513.0,91.0,17005.0,091590,https://kr.tradingview.com/symbols/KRX-091590/,441억
HL D&I,3235.0,+1.57%,94021.0,305.0,286002.0,014790,https://kr.tradingview.com/symbols/KRX-014790/,"1,225억"
삼일기업공사 *,3820.0,+1.06%,35506.0,135.0,45935.0,002290,https://kr.tradingview.com/symbols/KRX-002290/,474억
우원개발 *,4465.0,+1.02%,143231.0,636.0,227380.0,046940,https://kr.tradingview.com/symbols/KRX-046940/,807억
상지건설 *,10400.0,+0.97%,213895.0,2257.0,146603.0,042940,https://kr.tradingview.com/symbols/KRX-042940/,710억
신원종합개발 *,3410.0,+0.89%,87401.0,297.0,125812.0,017000,https://kr.tradingview.com/symbols/KRX-017000/,398억
동원개발 *,3015.0,+0.84%,107338.0,320.0,214085.0,013120,https://kr.tradingview.com/symbols/KRX-013120/,"2,738억"
HS화성,12960.0,+0.47%,11905.0,154.0,19178.0,002460,https://kr.tradingview.com/symbols/KRX-002460/,"1,315억"
진흥기업,789.0,+0.25%,922126.0,723.0,1429996.0,002780,https://kr.tradingview.com/symbols/KRX-002780/,"1,148억"
대원 *,4005.0,+0.13%,3463.0,14.0,5269.0,007680,https://kr.tradingview.com/symbols/KRX-007680/,539억
한신공영,12700.0,0.00%,197734.0,2505.0,304556.0,004960,https://kr.tradingview.com/symbols/KRX-004960/,"1,469억"
동신건설 *,18130.0,0.00%,44261.0,806.0,82106.0,025950,https://kr.tradingview.com/symbols/KRX-025950/,"1,523억"
코오롱글로벌,9740.0,-0.20%,57183.0,556.0,163170.0,003070,https://kr.tradingview.com/symbols/KRX-003070/,"2,476억"
SGC E&C *,16700.0,-0.89%,10216.0,169.0,17883.0,016250,https://kr.tradingview.com/symbols/KRX-016250/,841억
계룡건설,24300.0,-1.02%,114800.0,2771.0,261175.0,013580,https://kr.tradingview.com/symbols/KRX-013580/,"2,170억"
남광토건,8680.0,-1.36%,41907.0,362.0,37714.0,001260,https://kr.tradingview.com/symbols/KRX-001260/,853억
일성건설,1995.0,-1.72%,505741.0,1012.0,419799.0,013360,https://kr.tradingview.com/symbols/KRX-013360/,"1,078억"
KD *,394.0,-3.67%,1074859.0,427.0,2874907.0,044180,https://kr.tradingview.com/symbols/KRX-044180/,105억
까뮤이앤씨,1435.0,-7.24%,663799.0,957.0,480804.0,013700,https://kr.tradingview.com/symbols/KRX-013700/,857억
