종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액
와이엔텍 *,7980.0,+13.51%,1378450.0,10675.0,133345.0,067900,https://kr.tradingview.com/symbols/KRX-067900/,"1,452억"
라온피플 *,2135.0,+10.91%,623754.0,1298.0,578314.0,300120,https://kr.tradingview.com/symbols/KRX-300120/,445억
베뉴지 *,4680.0,+8.96%,654479.0,3069.0,138530.0,019010,https://kr.tradingview.com/symbols/KRX-019010/,"2,256억"
브이씨 *,2945.0,+3.88%,30125.0,88.0,17995.0,365900,https://kr.tradingview.com/symbols/KRX-365900/,215억
골프존홀딩스 *,5060.0,+1.50%,84285.0,425.0,77426.0,121440,https://kr.tradingview.com/symbols/KRX-121440/,"2,168억"
골프존 *,59300.0,+1.02%,14886.0,886.0,17910.0,215000,https://kr.tradingview.com/symbols/KRX-215000/,"3,721억"
남화산업 *,4255.0,+0.83%,4071.0,17.0,1238.0,111710,https://kr.tradingview.com/symbols/KRX-111710/,876억
모나용평,3400.0,+0.74%,65243.0,220.0,81236.0,070960,https://kr.tradingview.com/symbols/KRX-070960/,"1,637억"
KX *,3600.0,+0.70%,57355.0,206.0,48667.0,122450,https://kr.tradingview.com/symbols/KRX-122450/,"1,614억"
한세엠케이,641.0,+0.63%,40043.0,25.0,43793.0,069640,https://kr.tradingview.com/symbols/KRX-069640/,287억
미스토홀딩스,54000.0,+0.56%,106064.0,5709.0,164041.0,081660,https://kr.tradingview.com/symbols/KRX-081660/,"28,670억"
아난티 *,8550.0,-0.12%,826700.0,7089.0,1537181.0,025980,https://kr.tradingview.com/symbols/KRX-025980/,"8,097억"
크리스에프앤씨 *,4130.0,-0.60%,11720.0,48.0,21492.0,110790,https://kr.tradingview.com/symbols/KRX-110790/,968억
뷰웍스 *,25450.0,-3.60%,132191.0,3427.0,179096.0,100120,https://kr.tradingview.com/symbols/KRX-100120/,"2,382억"
형지글로벌 *,1202.0,-3.69%,503601.0,606.0,298858.0,308100,https://kr.tradingview.com/symbols/KRX-308100/,289억
