종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
경동나비엔,69000.0,+10.93%,399624.0,27246.0,85143.0,009450,https://kr.tradingview.com/symbols/KRX-009450/,152억,2026.02.12,36810,39088
한미반도체,209500.0,+9.97%,5790612.0,1238347.0,670835.0,042700,https://kr.tradingview.com/symbols/KRX-042700/,"199,679억",2026.02.12,24543,359554
포스코DX,41150.0,+9.44%,1111699.0,43785.0,527897.0,022100,https://kr.tradingview.com/symbols/KRX-022100/,"62,562억",2026.02.12,494411,-75915
한국금융지주,246500.0,+8.83%,727069.0,180652.0,377466.0,071050,https://kr.tradingview.com/symbols/KRX-071050/,"137,365억",2026.02.12,95056,-63831
드림텍,8670.0,+7.97%,1944430.0,16944.0,502203.0,192650,https://kr.tradingview.com/symbols/KRX-192650/,"5,978억",2026.02.12,111716,270273
한솔케미칼,305000.0,+7.77%,62342.0,18636.0,20009.0,014680,https://kr.tradingview.com/symbols/KRX-014680/,"34,572억",2026.02.12,13411,-3130
티씨케이 *,221000.0,+6.76%,105745.0,22106.0,48265.0,064760,https://kr.tradingview.com/symbols/KRX-064760/,"24,706억",2026.02.12,7340,-6498
JB금융지주,34050.0,+6.74%,899735.0,30168.0,935626.0,175330,https://kr.tradingview.com/symbols/KRX-175330/,"64,656억",2026.02.12,186184,-171897
포스코인터내셔널,69000.0,+6.65%,2632754.0,180927.0,406434.0,047050,https://kr.tradingview.com/symbols/KRX-047050/,"121,387억",2026.02.12,143796,-86597
오리온,138600.0,+6.62%,359012.0,49890.0,147575.0,271560,https://kr.tradingview.com/symbols/KRX-271560/,"54,797억",2026.02.12,-77089,162972
삼성전자,178600.0,+6.44%,41156377.0,7254085.0,22760242.0,005930,https://kr.tradingview.com/symbols/KRX-005930/,"10,572,473억",2026.02.12,244823,13526444
삼성화재,581000.0,+5.83%,119593.0,68049.0,95400.0,000810,https://kr.tradingview.com/symbols/KRX-000810/,"267,325억",2026.02.12,14129,-3522
넥스틴 *,81200.0,+5.45%,134914.0,10817.0,68688.0,348210,https://kr.tradingview.com/symbols/KRX-348210/,"8,507억",2026.02.12,-5271,13748
금호석유화학,147000.0,+5.08%,194089.0,28348.0,98775.0,011780,https://kr.tradingview.com/symbols/KRX-011780/,"38,267억",2026.02.12,57155,521
신한지주,106000.0,+5.05%,2268330.0,238247.0,1648821.0,055550,https://kr.tradingview.com/symbols/KRX-055550/,"514,625억",2026.02.12,326416,14909
DB손해보험,186700.0,+5.01%,198100.0,36397.0,243197.0,005830,https://kr.tradingview.com/symbols/KRX-005830/,"129,540억",2026.02.12,42590,-44995
삼양식품,1219000.0,+4.55%,101384.0,122863.0,65158.0,003230,https://kr.tradingview.com/symbols/KRX-003230/,"91,827억",2026.02.12,39151,4840
미원상사,156000.0,+4.42%,6490.0,995.0,3801.0,002840,https://kr.tradingview.com/symbols/KRX-002840/,"7,410억",2026.02.12,1495,-218
HD현대,261000.0,+4.40%,422298.0,111065.0,194814.0,267250,https://kr.tradingview.com/symbols/KRX-267250/,"206,172억",2026.02.12,51700,11817
동진쎄미켐 *,52700.0,+4.36%,579067.0,30084.0,429695.0,005290,https://kr.tradingview.com/symbols/KRX-005290/,"27,095억",2026.02.12,61846,-22710
한화시스템,105800.0,+4.34%,1665398.0,173680.0,828968.0,272210,https://kr.tradingview.com/symbols/KRX-272210/,"199,877억",2026.02.12,411252,-198596
미래에셋증권,53400.0,+4.09%,5430727.0,288145.0,3516456.0,006800,https://kr.tradingview.com/symbols/KRX-006800/,"302,824억",2026.02.12,483725,-152056
피에스케이 *,59300.0,+4.04%,276997.0,16212.0,233359.0,319660,https://kr.tradingview.com/symbols/KRX-319660/,"17,177억",2026.02.12,30580,-8735
메가스터디교육 *,47600.0,+3.70%,29105.0,1370.0,14558.0,215200,https://kr.tradingview.com/symbols/KRX-215200/,"4,934억",2026.02.12,6798,-5034
SK텔레콤,78000.0,+3.45%,1425568.0,110098.0,1278084.0,017670,https://kr.tradingview.com/symbols/KRX-017670/,"167,536억",2026.02.12,417073,2279
우리금융지주,39150.0,+3.43%,3891334.0,151190.0,3883234.0,316140,https://kr.tradingview.com/symbols/KRX-316140/,"287,391억",2026.02.12,585390,-1307924
에스원,94100.0,+3.41%,58109.0,5370.0,37067.0,012750,https://kr.tradingview.com/symbols/KRX-012750/,"35,757억",2026.02.12,14394,-8267
하나금융지주,130000.0,+3.34%,1220731.0,156929.0,1263932.0,086790,https://kr.tradingview.com/symbols/KRX-086790/,"361,824억",2026.02.12,205799,-167469
빙그레,84800.0,+3.29%,89920.0,7608.0,65697.0,005180,https://kr.tradingview.com/symbols/KRX-005180/,"8,103억",2026.02.12,17020,19808
리노공업 *,98100.0,+3.26%,677049.0,65388.0,502786.0,058470,https://kr.tradingview.com/symbols/KRX-058470/,"74,764억",2026.02.12,21514,-43849
SK하이닉스,888000.0,+3.26%,4398647.0,3901280.0,3125590.0,000660,https://kr.tradingview.com/symbols/KRX-000660/,"6,464,661억",2026.02.12,347583,652529
두산밥캣,67000.0,+3.24%,667457.0,44388.0,550004.0,241560,https://kr.tradingview.com/symbols/KRX-241560/,"64,224억",2026.02.12,22285,105780
